SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC40507,159,337,52,80,108,75,16,47,6,884
SSC40508,13,13,26,14,21,25,8,18,7,147
SSC40509,78,41,72,46,54,39,41,78,11,462
SSC40510,85,187,81,77,104,71,27,52,14,709
SSC40511,709,1048,631,594,922,577,207,368,69,5125
SSC40512,22,16,17,5,13,8,8,31,0,117
SSC40513,5,7,0,0,3,0,0,5,0,27
SSC40514,3,0,0,3,0,0,0,0,0,7
SSC40515,241,613,119,140,171,128,28,74,13,1526
SSC40516,66,76,94,87,50,64,25,79,12,557
SSC40517,45,82,128,114,86,69,42,78,12,643
SSC40518,39,43,52,49,31,37,15,39,4,305
SSC40519,46,50,38,52,22,30,25,32,3,301
SSC40520,8,3,0,0,3,0,0,0,0,18
SSC40521,30,20,22,12,17,18,8,14,0,140
SSC40522,6,0,3,3,3,0,0,0,0,15
SSC40523,10,0,7,0,3,0,4,0,0,33
SSC40524,383,686,294,340,390,238,104,183,42,2661
SSC40525,7,5,6,3,14,10,9,16,0,67
SSC40526,14,9,8,0,3,0,0,6,0,38
SSC40527,9,0,0,3,3,0,0,6,0,25
SSC40528,118,282,148,167,178,110,77,160,22,1263
SSC40529,38,80,16,11,32,29,14,3,3,232
SSC40530,91,73,92,58,64,46,43,77,8,560
SSC40531,8,0,0,3,0,0,0,13,0,23
SSC40532,573,848,711,562,851,550,242,368,71,4773
SSC40533,241,315,299,223,353,244,133,156,40,2009
SSC40534,19,4,0,3,4,0,0,4,0,31
SSC40535,4,0,0,0,0,0,0,4,0,8
SSC40536,57,71,69,45,50,28,26,31,7,381
SSC40537,12,10,8,0,3,0,0,10,0,41
SSC40538,109,150,296,247,218,186,131,222,23,1583
SSC40539,62,89,202,205,121,140,111,207,21,1159
SSC40540,12,0,0,0,3,0,0,0,0,16
SSC40541,23,99,7,29,29,18,3,13,3,224
SSC40542,186,278,165,137,142,130,30,80,6,1160
SSC40543,32,3,10,0,13,5,0,12,0,79
SSC40544,24,4,3,3,8,8,6,18,0,73
SSC40545,0,0,0,0,0,0,0,0,0,3
SSC40546,0,0,0,0,0,0,0,0,0,0
SSC40547,30,7,6,0,3,3,3,7,0,66
SSC40548,667,1391,1006,763,1039,687,298,481,99,6431
SSC40549,0,0,0,0,0,0,0,0,0,0
SSC40550,14,5,3,0,3,5,3,13,0,40
SSC40551,0,3,0,0,0,0,0,0,0,8
SSC40552,48,24,47,22,23,18,33,58,4,275
SSC40553,0,0,3,0,0,3,0,0,0,8
SSC40554,13,5,0,0,3,3,3,0,0,22
SSC40555,62,183,90,97,92,55,34,78,9,688
SSC40556,9,3,3,0,0,4,3,6,0,24
SSC40557,3,0,0,0,0,0,3,0,0,10
SSC40558,580,963,929,722,941,591,262,447,83,5515
SSC40559,12,8,5,9,5,4,3,4,0,47
SSC40560,0,0,0,0,0,0,0,0,0,0
SSC40561,37,45,37,18,20,14,8,19,0,211
SSC40562,13,3,0,0,7,0,0,0,0,22
SSC40563,17,13,8,5,10,3,9,13,0,79
SSC40564,14,3,0,4,3,0,0,3,0,24
SSC40565,12,6,10,5,5,6,7,12,0,67
SSC40566,42,16,16,14,12,9,11,18,3,148
SSC40567,13,8,7,11,6,3,5,14,0,62
SSC40568,161,439,66,98,134,94,19,61,10,1081
SSC40569,210,563,183,172,191,126,37,111,18,1609
SSC40570,5,0,0,6,10,0,0,5,0,29
SSC40571,3,0,0,0,0,3,0,0,0,15
SSC40572,76,120,128,146,90,101,39,118,10,829
SSC40573,132,386,80,84,95,89,13,38,7,912
SSC40574,69,176,50,43,43,45,7,31,5,473
SSC40575,42,86,14,36,36,16,0,9,6,241
SSC40576,179,368,235,207,247,173,100,180,29,1714
SSC40577,41,86,79,59,63,68,31,57,8,485
SSC40578,537,806,347,361,391,306,106,151,27,3028
SSC40579,192,356,168,147,198,125,47,82,11,1327
SSC40580,203,252,209,200,252,176,76,147,28,1541
SSC40581,420,808,463,350,559,325,147,210,42,3322
SSC40582,136,314,62,79,90,80,5,39,11,813
SSC40583,34,29,34,15,19,13,3,14,4,162
SSC40584,28,7,3,9,3,6,0,10,3,60
SSC40585,222,358,385,320,373,268,202,246,39,2413
SSC40586,147,363,175,193,238,144,107,175,30,1574
SSC40587,26,22,29,23,24,16,13,15,0,168
SSC40588,9,0,0,3,0,0,6,3,0,28
SSC40589,33,100,51,50,61,33,37,45,4,413
SSC40590,0,0,0,0,0,0,0,0,0,0
SSC40591,9,27,11,21,8,4,3,3,4,99
SSC40592,71,79,64,59,57,53,26,74,13,492
SSC40593,16,5,4,0,3,4,0,4,0,37
SSC40594,37,29,32,27,26,32,16,35,3,241
SSC40595,101,237,224,193,226,145,115,201,26,1465
SSC40596,13,3,5,3,7,3,3,12,0,42
SSC40597,3,0,0,0,3,0,0,0,0,8
SSC40598,12,0,5,0,3,0,0,0,0,19
SSC40599,16,20,9,3,5,4,3,10,0,66
SSC40600,0,0,0,0,0,0,0,0,0,3
SSC40601,271,629,488,411,476,325,187,316,53,3153
SSC40602,13,0,0,0,0,3,0,0,0,22
SSC40603,0,0,0,0,0,0,0,0,0,3
SSC40604,3,0,0,0,0,0,0,0,0,11
SSC40605,33,62,48,35,45,26,15,23,3,284
SSC40606,179,355,121,177,226,104,31,76,18,1284
SSC40607,17,4,3,7,6,3,3,6,0,43
SSC40608,0,0,0,0,0,0,3,0,0,3
SSC40609,23,41,42,16,40,18,12,21,0,210
SSC40610,104,142,289,273,193,197,136,213,26,1583
SSC40611,169,330,52,58,100,63,9,22,14,826
SSC40612,28,10,8,8,3,10,3,12,0,91
SSC40613,217,429,570,528,516,352,337,486,59,3498
SSC40614,41,54,37,17,24,14,6,11,4,207
