SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,14
SSC20156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,11
SSC20157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,10
SSC20158,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,7,7,9,4,5,9,0,49
SSC20159,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,17,19,12,8,13,4,24,3,100
SSC20160,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,4,18,7,14,9,9,3,20,0,68
SSC20161,0,12,6,10,10,3,3,4,0,51,3,10,8,8,4,7,3,8,10,63,70,276,216,249,230,259,161,246,25,1734
SSC20162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20163,0,3,0,0,4,0,0,0,0,10,0,3,0,0,3,0,0,0,0,11,6,31,21,19,23,22,9,28,5,162
SSC20164,0,4,0,3,3,0,3,6,0,21,0,0,3,0,3,0,0,3,5,23,27,71,53,60,58,68,30,78,16,467
SSC20165,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,8,8,3,3,3,0,29
SSC20166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,15
SSC20168,0,5,4,10,20,13,3,6,0,56,0,3,3,8,8,12,3,4,16,56,36,138,98,142,211,214,96,149,30,1110
SSC20169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,8
SSC20170,0,0,3,3,3,0,3,0,0,11,0,3,0,0,6,0,0,3,0,20,12,23,27,30,36,32,19,46,4,230
SSC20171,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,8,7,9,0,10,3,12,3,53
SSC20172,3,20,37,23,49,40,24,25,7,230,15,28,25,20,55,54,22,33,56,303,191,607,589,570,1321,1125,492,574,120,5590
SSC20173,4,16,12,12,31,40,21,28,0,170,6,15,18,17,51,52,17,17,33,232,157,473,432,489,983,902,455,501,55,4453
SSC20174,0,26,13,21,31,26,22,25,0,162,0,25,16,14,42,32,9,26,34,206,92,536,380,350,635,646,332,571,57,3603
SSC20175,0,3,11,7,12,18,4,15,0,67,0,8,3,13,6,18,7,16,10,69,62,197,162,188,179,252,128,281,30,1476
SSC20176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,7,3,11,3,3,8,0,46
SSC20177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,11,4,3,5,0,39
SSC20178,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,3,6,3,0,6,0,32
SSC20179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,4,0,9,0,22
SSC20180,0,4,3,0,3,3,3,3,0,23,3,3,0,3,4,3,3,4,3,28,29,73,74,65,89,81,46,64,7,537
