SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC10213,16,17,11,0,108
SSC10214,0,0,0,0,3
SSC10215,0,3,0,0,15
SSC10216,36,47,19,9,184
SSC10217,0,0,0,0,0
SSC10218,20,8,0,0,68
SSC10219,0,0,0,0,0
SSC10220,11,5,0,3,54
SSC10221,0,0,0,0,5
SSC10222,5,0,0,0,25
SSC10223,125,121,53,38,728
SSC10224,405,269,135,47,3236
SSC10225,0,0,0,0,0
SSC10226,17,11,0,0,48
SSC10227,969,728,478,320,5716
SSC10228,182,156,97,83,871
SSC10229,119,143,90,36,687
SSC10230,0,0,0,0,17
SSC10231,546,385,195,80,3604
SSC10232,130,87,39,27,583
SSC10233,2666,2028,883,337,19696
SSC10234,32,26,10,0,153
SSC10235,110,96,35,0,396
SSC10236,0,0,0,0,0
SSC10237,374,435,266,203,2080
SSC10238,637,337,192,58,3839
SSC10239,61,21,6,0,621
SSC10240,13,8,0,0,36
SSC10241,0,13,4,0,35
SSC10242,35,22,3,0,93
SSC10243,566,251,79,20,4398
SSC10244,12,10,0,0,48
SSC10245,27,13,5,0,106
SSC10246,10,0,0,0,26
SSC10247,3,4,3,0,61
SSC10248,59,43,6,4,260
SSC10249,1017,728,442,247,5512
SSC10250,0,0,0,0,0
SSC10251,34,10,7,0,175
SSC10252,0,0,0,0,0
SSC10253,370,213,164,74,1983
SSC10254,8,3,0,0,51
SSC10255,7,0,0,0,12
SSC10256,19,7,5,0,65
SSC10257,326,214,110,38,2660
SSC10258,16,3,0,0,95
SSC10259,0,3,0,0,11
SSC10260,14,4,0,3,62
SSC10261,70,41,3,5,294
SSC10262,3,7,0,0,23
SSC10263,841,363,100,25,4303
SSC10264,305,166,80,31,1732
SSC10265,5,6,3,0,46
SSC10266,22,9,9,0,111
SSC10267,26,22,12,0,85
SSC10268,130,65,23,7,851
SSC10269,50,39,17,3,350
SSC10270,28,26,3,0,117
SSC10271,965,763,272,103,6552
SSC10272,11,3,4,0,48
SSC10273,432,276,116,38,1931
SSC10274,8,11,5,0,69
SSC10275,3,3,3,0,18
SSC10276,632,440,289,151,3417
SSC10277,440,319,227,129,2996
SSC10278,71,50,27,7,436
SSC10279,578,319,206,65,5283
SSC10280,22,22,3,3,114
SSC10281,6,0,0,0,6
SSC10282,3,0,0,0,3
SSC10283,622,624,511,282,4607
SSC10284,85,46,13,3,287
SSC10285,12,8,4,0,52
SSC10286,19,16,7,0,73
SSC10287,21,20,10,0,83
SSC10288,12,21,5,0,59
SSC10289,62,33,15,7,227
SSC10290,23,9,3,0,70
SSC10291,14,7,8,0,74
SSC10292,17,3,0,0,47
SSC10293,11,4,0,0,61
SSC10294,3,0,0,0,11
SSC10295,5,0,0,0,3
SSC10296,5,3,0,0,19
SSC10297,260,118,36,9,1246
SSC10298,26,16,3,0,91
SSC10299,425,219,118,35,3499
SSC10300,15,3,0,4,62
SSC10301,154,157,92,26,1240
SSC10302,24,17,5,3,96
SSC10303,526,226,173,63,2996
SSC10304,636,377,167,104,3769
SSC10305,93,45,17,0,1449
SSC10306,0,0,0,0,0
SSC10307,203,205,72,27,821
SSC10308,446,252,84,23,2514
SSC10309,3,0,0,0,5
SSC10310,434,337,102,29,2783
SSC10311,22,17,12,0,92
SSC10312,61,36,22,3,229
SSC10313,46,32,18,5,174
SSC10314,12,9,5,0,36
SSC10315,3,6,0,0,22
SSC10316,130,79,33,10,605
SSC10317,3,6,0,0,18
SSC10318,108,94,45,35,587
SSC10319,27,13,7,3,121
SSC10320,77,87,38,4,401
SSC10321,0,5,4,0,16
SSC10322,287,283,219,113,1516
SSC10323,10,0,0,0,32
SSC10324,10,16,0,0,21
SSC10325,22,7,0,0,74
SSC10326,5,0,0,0,27
SSC10327,6,15,0,0,61
SSC10328,20,9,4,0,80
SSC10329,7,6,4,0,30
SSC10330,174,83,53,21,1141
SSC10331,671,376,229,103,4695
SSC10332,4,6,3,0,34
SSC10333,49,33,6,6,247
SSC10334,1197,681,596,648,9388
SSC10335,236,172,88,30,1887
SSC10336,3,0,3,0,26
SSC10337,5,14,3,0,39
SSC10338,3,9,3,0,40
SSC10339,5,3,0,0,15
SSC10340,173,119,34,3,1207
SSC10341,9,8,8,0,51
SSC10342,3,3,0,0,22
SSC10343,0,0,0,0,33
SSC10344,3,0,0,0,6
SSC10345,16,3,4,0,58
SSC10346,40,29,4,0,107
SSC10347,43,25,10,3,204
SSC10348,352,219,81,17,1677
SSC10349,38,14,5,0,228
SSC10350,41,30,8,7,150
SSC10351,428,282,119,26,1954
SSC10352,4,0,0,0,21
SSC10353,3,0,0,0,3
SSC10354,11,6,3,0,70
SSC10355,25,12,3,0,99
SSC10356,9,3,0,0,24
SSC10357,20,18,0,0,104
SSC10358,73,44,16,3,363
SSC10359,0,0,0,0,0
SSC10360,5,3,3,0,51
SSC10361,15,10,0,0,60
SSC10362,42,38,14,4,244
SSC10363,22,31,7,3,119
SSC10364,3,16,0,0,23
SSC10365,106,119,68,34,617
SSC10366,0,3,0,0,14
SSC10367,43,36,13,0,139
SSC10368,3,0,0,0,17
SSC10369,4,6,0,0,62
SSC10370,37,21,8,0,156
SSC10371,21,11,4,5,119
SSC10372,47,47,14,7,216
SSC10373,9,10,0,0,46
SSC10374,401,314,79,18,2148
SSC10375,5,3,3,0,22
SSC10376,7,0,0,0,19
SSC10377,99,49,32,30,1044
SSC10378,4,4,0,0,25
SSC10379,189,78,60,28,1200
SSC10380,36,19,8,0,145
SSC10381,21,20,5,0,94
SSC10382,9,3,3,0,23
SSC10383,3,0,0,0,8
SSC10384,101,164,72,23,509
SSC10385,85,39,16,3,313
SSC10386,0,3,0,0,12
SSC10387,25,23,8,0,148
SSC10388,21,7,8,0,86
SSC10389,12,18,8,0,96
SSC10390,233,163,93,30,1248
SSC10391,262,128,54,15,1504
SSC10392,120,122,64,7,1052
SSC10393,573,516,195,42,2595
SSC10394,4,0,0,0,14
SSC10395,28,9,5,0,92
SSC10396,162,112,60,32,824
SSC10397,2309,1248,737,322,21114
SSC10398,9,7,3,0,51
SSC10399,145,126,63,29,901
SSC10400,212,84,22,3,1281
SSC10401,32,7,4,0,164
SSC10402,14,11,3,0,68
SSC10403,523,345,150,79,3048
SSC10404,7,3,0,0,37
SSC10405,0,0,0,0,19
SSC10406,21,14,3,3,86
SSC10407,787,539,222,47,4072
SSC10408,29,10,3,0,68
SSC10409,53,33,3,3,262
SSC10410,207,157,80,43,1408
SSC10411,303,113,57,16,2676
SSC10412,3,6,4,0,49
SSC10413,0,0,0,0,0
SSC10414,115,84,37,10,526
SSC10415,301,204,114,26,2410
SSC10416,54,20,12,0,141
SSC10417,0,0,0,0,0
SSC10418,0,0,0,0,11
SSC10419,9,3,0,0,33
SSC10420,17,36,12,7,109
SSC10421,209,120,28,16,869
SSC10422,422,287,120,44,2368
SSC10423,4,4,0,0,33
SSC10424,15,10,0,0,76
SSC10425,123,70,37,4,526
SSC10426,3,0,0,0,6
SSC10427,32,20,3,0,93
SSC10428,13,6,7,0,46
SSC10429,39,31,10,0,239
SSC10430,0,3,0,0,11
SSC10431,3,0,0,0,3
SSC10432,16,14,0,0,74
SSC10433,8,10,3,0,31
SSC10434,84,62,19,6,345
SSC10435,13,7,3,4,47
SSC10436,11,0,3,0,48
SSC10437,0,0,0,0,7
SSC10438,23,14,6,3,120
SSC10439,326,127,68,16,1507
SSC10440,7,9,5,0,36
SSC10441,50,23,3,0,319
SSC10442,53,52,33,6,452
SSC10443,0,0,0,0,0
SSC10444,11,3,5,0,77
SSC10445,10,0,0,3,36
SSC10446,7,4,3,0,30
SSC10447,7,9,0,0,29
SSC10448,16,0,0,0,35
SSC10449,163,179,113,47,992
SSC10450,136,69,30,4,535
SSC10451,226,136,58,6,1460
SSC10452,0,0,0,0,0
SSC10453,615,442,287,100,3176
SSC10454,3,0,0,0,11
SSC10455,111,57,33,17,556
SSC10456,10,8,6,6,71
SSC10457,51,11,13,3,183
SSC10458,13,5,5,3,67
SSC10459,35,9,3,4,127
SSC10460,7,3,0,0,26
SSC10461,3,0,0,0,18
SSC10462,0,3,0,0,10
SSC10463,46,31,21,3,175
SSC10464,519,426,237,98,6915
SSC10465,588,367,187,120,8309
SSC10466,0,0,0,0,0
SSC10467,637,466,321,147,6406
SSC10468,283,267,164,37,1716
SSC10469,269,195,57,6,1270
SSC10470,310,275,123,22,1547
SSC10471,357,191,56,15,2610
SSC10472,368,156,39,8,2510
SSC10473,6,0,3,0,39
SSC10474,284,165,67,11,1265
SSC10475,22,17,5,0,90
SSC10476,3,9,8,0,43
SSC10477,121,146,74,19,680
SSC10478,20,10,4,0,82
SSC10479,5,3,0,0,17
SSC10480,0,0,0,0,0
SSC10481,16,6,4,0,41
SSC10482,74,51,16,3,459
SSC10483,0,0,0,0,10
SSC10484,7,7,0,0,37
SSC10485,0,0,0,0,0
SSC10486,7,6,3,0,44
SSC10487,29,33,19,0,170
SSC10488,0,0,0,0,18
SSC10489,10,6,3,0,76
SSC10490,5,5,0,0,5
SSC10491,0,0,0,0,7
SSC10492,3,3,0,0,21
SSC10493,3,0,0,0,8
SSC10494,17,3,3,0,57
SSC10495,85,71,44,18,523
SSC10496,32,22,10,3,186
SSC10497,0,0,0,0,3
SSC10498,3,0,4,0,13
SSC10499,7,6,0,0,41
SSC10500,5,0,5,0,15
SSC10501,24,17,3,0,423
SSC10502,0,0,0,0,9
SSC10503,136,117,46,25,718
SSC10504,26,24,3,0,101
SSC10505,0,0,0,0,0
SSC10506,14,5,0,0,42
SSC10507,7,5,0,0,44
SSC10508,3,0,0,0,14
SSC10509,13,9,0,3,47
SSC10510,0,0,0,0,0
SSC10511,12,3,0,0,50
SSC10512,10,9,3,0,73
SSC10513,43,41,17,0,261
SSC10514,8,4,3,0,45
SSC10515,891,526,196,51,5332
SSC10516,12,9,0,3,63
SSC10517,640,306,183,120,5425
SSC10518,7,5,0,0,41
SSC10519,0,0,0,0,0
SSC10520,0,0,0,0,3
SSC10521,0,0,0,0,13
SSC10522,121,54,35,14,821
SSC10523,212,94,45,14,1362
SSC10524,24,4,8,0,89
SSC10525,0,6,0,0,28
SSC10526,106,41,10,3,674
SSC10527,12,9,7,0,49
SSC10528,119,66,20,4,787
SSC10529,110,90,62,24,774
SSC10530,3,3,4,0,12
SSC10531,14,22,3,0,73
SSC10532,3,10,4,0,24
SSC10533,0,0,0,0,3
SSC10534,11,14,0,0,63
SSC10535,64,39,12,0,274
SSC10536,980,1204,790,261,5750
SSC10537,83,54,35,4,435
SSC10538,0,0,0,0,0
SSC10539,85,55,13,9,408
SSC10540,8,9,0,0,24
SSC10541,24,23,3,0,119
SSC10542,7,9,5,3,34
SSC10543,514,454,171,45,3668
SSC10544,12,0,0,0,33
SSC10545,30,30,12,0,215
SSC10546,3,6,0,0,11
SSC10547,165,151,76,17,864
SSC10548,108,40,11,3,365
SSC10549,155,84,25,14,909
SSC10550,31,24,4,5,140
SSC10551,0,0,0,0,7
SSC10552,60,62,17,3,360
SSC10553,17,3,0,0,43
SSC10554,24,15,13,0,103
SSC10555,13,3,0,0,46
SSC10556,12,3,3,0,25
SSC10557,418,367,132,19,2626
SSC10558,0,3,0,0,9
SSC10559,50,16,8,0,177
SSC10560,9,4,0,0,26
SSC10561,13,5,0,0,50
SSC10562,5,3,0,0,13
SSC10563,60,16,7,8,409
SSC10564,19,8,6,0,60
SSC10565,0,0,0,0,3
SSC10566,12,11,0,0,57
SSC10567,17,4,4,0,101
SSC10568,45,20,7,0,181
SSC10569,517,360,219,81,4365
SSC10570,91,78,40,10,480
SSC10571,0,0,0,0,0
SSC10572,10,7,0,0,29
SSC10573,5,9,3,0,20
SSC10574,0,0,0,0,0
SSC10575,159,121,33,9,1064
SSC10576,3,6,0,0,24
SSC10577,3,7,0,3,64
SSC10578,114,59,28,4,808
SSC10579,6,5,5,3,58
SSC10580,72,36,27,3,297
SSC10581,4,0,0,0,25
SSC10582,0,0,0,0,7
SSC10583,38,15,7,0,161
SSC10584,12,17,0,0,79
SSC10585,0,0,0,0,19
SSC10586,4,3,0,0,28
SSC10587,0,3,0,0,5
SSC10588,14,11,3,0,35
SSC10589,91,63,23,3,288
SSC10590,65,30,15,0,273
SSC10591,47,26,5,0,175
SSC10592,1390,908,490,311,7619
SSC10593,24,5,0,0,58
SSC10594,558,339,121,50,4167
SSC10595,0,4,0,0,9
SSC10596,24,12,3,0,117
SSC10597,8,8,3,0,27
SSC10598,33,30,12,0,161
SSC10599,93,56,22,10,411
SSC10600,0,0,0,0,5
SSC10601,206,85,30,27,1794
SSC10602,8,3,0,0,14
SSC10603,29,31,19,3,118
SSC10604,0,0,0,0,3
SSC10605,11,6,0,3,52
SSC10606,44,21,17,0,107
SSC10607,12,4,0,0,47
SSC10608,182,143,122,51,929
SSC10609,29,26,8,0,215
SSC10610,5,6,3,0,53
SSC10611,4,3,0,0,12
SSC10612,31,32,19,3,233
SSC10613,18,10,7,0,97
SSC10614,0,3,0,0,19
SSC10615,5,5,0,0,33
SSC10616,0,0,0,0,0
SSC10617,8,0,0,0,27
SSC10618,3,3,0,0,33
SSC10619,0,0,0,0,15
SSC10620,39,16,6,0,125
SSC10621,239,135,59,24,979
SSC10622,34,20,6,0,102
SSC10623,5,0,0,0,12
SSC10624,0,0,0,0,0
SSC10625,62,25,11,6,272
SSC10626,15,8,3,0,47
SSC10627,8,3,0,0,17
SSC10628,25,7,3,0,99
SSC10629,41,20,9,3,152
SSC10630,15,13,4,0,73
SSC10631,0,0,0,0,8
SSC10632,0,4,0,0,7
SSC10633,9,0,0,0,21
SSC10634,21,24,0,4,94
SSC10635,16,3,0,0,58
SSC10636,4,3,0,0,13
SSC10637,3,3,0,0,23
SSC10638,0,3,0,0,8
SSC10639,0,0,0,0,0
SSC10640,0,0,0,0,0
SSC10641,29,10,3,0,104
SSC10642,283,177,140,56,1538
SSC10643,0,0,0,0,0
SSC10644,15,14,5,3,54
SSC10645,268,217,117,36,1558
SSC10646,17,8,9,4,70
SSC10647,0,0,0,0,0
SSC10648,5,10,3,0,61
SSC10649,150,108,42,18,589
SSC10650,0,0,0,0,0
SSC10651,40,23,8,0,167
SSC10652,0,0,0,0,3
SSC10653,4,0,0,0,3
SSC10654,0,0,0,0,0
SSC10655,5,0,0,0,23
SSC10656,139,101,27,3,697
SSC10657,0,0,0,0,19
SSC10658,14,3,0,0,58
SSC10659,5,4,0,0,16
SSC10660,18,10,7,0,62
SSC10661,3,0,0,0,18
SSC10662,547,296,110,34,3155
SSC10663,9,0,4,0,11
SSC10664,6,5,6,0,42
SSC10665,0,0,0,0,6
SSC10666,13,14,3,3,64
SSC10667,8,0,0,0,14
SSC10668,18,15,0,0,48
SSC10669,27,9,0,0,87
SSC10670,331,419,185,84,1606
SSC10671,69,42,18,7,286
SSC10672,233,209,71,17,1122
SSC10673,6,4,0,0,33
SSC10674,4,3,0,0,25
SSC10675,13,14,3,0,37
SSC10676,7,3,0,0,45
SSC10677,0,0,0,0,5
SSC10678,4,7,3,0,32
SSC10679,0,0,0,0,0
SSC10680,16,9,0,0,42
SSC10681,7,11,0,0,42
SSC10682,88,12,7,0,1346
SSC10683,13,10,4,0,69
SSC10684,378,183,47,20,2204
SSC10685,32,31,13,0,166
SSC10686,24,19,0,0,92
SSC10687,42,14,8,0,117
SSC10688,6,0,0,0,32
SSC10689,3,7,3,0,46
SSC10690,12,18,10,3,71
SSC10691,25,11,0,0,82
SSC10692,13,3,4,0,33
SSC10693,5,3,0,0,16
SSC10694,11,0,3,0,54
SSC10695,4,0,0,0,17
SSC10696,95,70,23,5,550
SSC10697,105,67,28,0,453
SSC10698,4,6,3,0,30
SSC10699,14,0,0,0,33
SSC10700,7,0,3,0,26
SSC10701,330,422,217,88,1562
SSC10702,4,12,0,0,35
SSC10703,22,11,9,3,63
SSC10704,0,0,0,0,13
SSC10705,396,220,93,49,1902
SSC10706,20,9,5,0,95
SSC10707,8,3,0,3,25
SSC10708,49,54,10,0,212
SSC10709,37,30,7,0,124
SSC10710,20,14,3,0,105
SSC10711,10,0,0,0,18
SSC10712,143,117,58,20,689
SSC10713,106,34,11,7,398
SSC10714,0,7,0,0,14
SSC10715,11,8,4,0,58
SSC10716,31,25,6,0,176
SSC10717,19,3,0,0,71
SSC10718,826,440,249,140,8860
SSC10719,69,36,21,24,494
SSC10720,186,93,88,15,1371
SSC10721,10,3,0,0,20
SSC10722,3,0,0,0,6
SSC10723,116,93,26,5,538
SSC10724,3,0,0,0,24
SSC10725,14,10,0,3,75
SSC10726,132,51,14,8,879
SSC10727,41,18,3,3,163
SSC10728,0,0,0,0,0
SSC10729,14,13,9,0,75
SSC10730,3,4,0,0,15
SSC10731,3,8,0,0,28
SSC10732,0,0,4,0,18
SSC10733,691,432,135,71,3486
SSC10734,35,8,0,0,80
SSC10735,159,116,40,3,751
SSC10736,247,210,92,19,1134
SSC10737,7,0,3,0,43
SSC10738,0,3,0,0,10
SSC10739,4,3,0,0,9
SSC10740,690,406,221,173,6060
SSC10741,185,123,68,19,1947
SSC10742,6,0,0,0,25
SSC10743,36,36,20,46,719
SSC10744,10,6,0,0,17
SSC10745,0,0,0,0,0
SSC10746,5,4,3,0,22
SSC10747,0,0,0,0,3
SSC10748,296,193,80,15,1804
SSC10749,4,0,0,0,8
SSC10750,24,10,8,0,94
SSC10751,0,0,0,0,18
SSC10752,16,5,3,0,69
SSC10753,0,0,0,0,3
SSC10754,5,5,3,0,34
SSC10755,3,0,0,0,257
SSC10756,0,0,0,0,7
SSC10757,216,180,63,14,1067
SSC10758,89,80,42,27,428
SSC10759,4,3,0,0,46
SSC10760,12,4,6,0,47
SSC10761,0,0,0,0,0
SSC10762,8,0,0,0,25
SSC10763,45,19,6,0,146
SSC10764,132,57,22,6,621
SSC10765,3,4,0,0,22
SSC10766,4,5,3,0,20
SSC10767,150,82,25,3,885
SSC10768,360,260,89,33,2684
SSC10769,0,0,0,0,0
SSC10770,226,177,133,136,1661
SSC10771,21,18,18,7,92
SSC10772,174,50,17,3,1044
SSC10773,359,318,83,40,2219
SSC10774,0,0,0,0,0
SSC10775,331,205,76,69,3564
SSC10776,3,3,0,0,25
SSC10777,8,0,0,0,13
SSC10778,606,430,159,49,4546
SSC10779,3,0,0,0,12
SSC10780,694,562,320,129,5669
SSC10781,500,255,80,22,6813
SSC10782,1047,462,258,105,10899
SSC10783,0,0,0,0,17
SSC10784,15,12,10,0,69
SSC10785,83,40,23,17,635
SSC10786,3,0,0,0,9
SSC10787,8,3,0,0,14
SSC10788,83,39,14,0,337
SSC10789,4,3,0,0,10
SSC10790,76,26,19,0,324
SSC10791,327,215,115,35,3070
SSC10792,349,192,92,67,3025
SSC10793,62,44,11,0,271
SSC10794,14,17,5,3,91
SSC10795,3,0,0,0,9
SSC10796,162,137,62,20,946
SSC10797,360,171,66,27,3683
SSC10798,85,89,82,37,495
SSC10799,45,31,11,8,213
SSC10800,13,9,0,0,44
SSC10801,0,0,0,0,3
SSC10802,13,12,4,0,79
SSC10803,0,0,0,0,3
SSC10804,46,22,10,3,295
SSC10805,3,7,0,0,19
SSC10806,20,9,3,0,83
SSC10807,13,4,3,0,32
SSC10808,40,18,20,0,143
SSC10809,387,245,153,52,2698
SSC10810,141,91,54,62,763
SSC10811,189,112,59,25,1274
SSC10812,78,90,55,37,455
SSC10813,32,22,7,0,255
SSC10814,8,7,0,0,54
SSC10815,740,495,255,169,6041
SSC10816,1178,713,404,158,6304
SSC10817,0,0,0,0,16
SSC10818,2025,1251,703,274,12943
SSC10819,672,373,163,83,5329
SSC10820,72,23,12,0,893
SSC10821,0,0,0,0,5
SSC10822,28,9,4,0,83
SSC10823,17,4,0,0,60
SSC10824,3,0,0,0,4
SSC10825,0,0,0,0,0
SSC10826,182,116,89,95,1447
SSC10827,15,3,7,3,101
SSC10828,18,9,6,0,77
SSC10829,0,3,3,0,14
SSC10830,150,92,33,11,1113
SSC10831,4,9,0,0,8
SSC10832,20,17,3,0,142
SSC10833,3,8,0,0,20
SSC10834,10,12,0,0,52
SSC10835,0,0,0,0,3
SSC10836,3,0,0,0,9
SSC10837,125,85,43,17,650
SSC10838,107,70,51,5,768
SSC10839,25,6,3,3,87
SSC10840,0,0,0,0,7
SSC10841,213,98,28,4,818
SSC10842,0,3,0,0,3
SSC10843,652,534,341,126,4059
SSC10844,26,12,10,3,119
SSC10845,283,149,114,59,1458
SSC10846,29,10,6,0,90
SSC10847,3643,2449,1124,844,21548
SSC10848,21,7,6,0,101
SSC10849,332,241,77,45,1703
SSC10850,98,62,26,4,543
SSC10851,214,117,28,3,1405
