SSC_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,6,14,10,4,4,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,12,13,7,13,8,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,25,12,12,8,13,4,101,7,13,0,4,5,7,3,50,0,0,0,0,0,0,0,0,25,39,18,15,17,20,11,149
SSC10003,13,7,4,5,9,0,3,33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,27,19,10,33,11,3,119,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,9,13,29,24,13,33,11,4,124,15,20,4,7,4,3,0,50,0,0,0,0,0,0,0,0,28,43,29,21,31,15,4,172
SSC10004,3,3,4,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,11,7,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,11,7,0,0,34,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,13,10,9,12,0,0,46
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,9,12,11,3,9,7,0,48,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,16,18,22,9,16,6,0,89,0,4,0,0,0,0,0,4,4,5,4,0,0,0,0,19,4,12,3,4,0,0,0,26,25,29,22,12,15,8,0,113,43,22,12,12,10,0,0,106,0,0,0,0,0,0,0,0,68,57,34,25,33,9,0,225
SSC10007,3,13,5,7,6,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,5,7,13,3,0,49,0,0,0,3,0,0,0,10,0,3,0,0,0,0,0,4,0,3,0,3,0,0,0,16,3,16,7,12,15,3,0,60,9,12,4,0,5,0,0,34,0,0,0,0,0,0,0,0,18,28,14,16,16,3,0,90
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10009,15,38,20,5,13,3,3,98,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,28,64,37,12,30,9,9,185,0,0,0,0,0,3,0,3,3,8,3,3,0,0,0,15,3,10,3,3,0,3,0,19,33,79,40,14,30,10,9,203,50,34,16,4,13,0,3,116,0,0,0,0,0,0,0,0,81,113,52,20,40,10,12,320
SSC10010,6,6,9,3,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,14,3,15,0,0,55,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,8,13,19,15,3,15,0,0,65,18,11,13,3,5,0,0,49,0,0,0,0,3,0,0,3,29,35,24,7,21,3,0,114
