SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC11787,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,3,3,0,0,21
SSC11788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,3,0,0,8
SSC11789,0,0,0,3,3,3,5,0,0,0,0,0,3,0,0,3,0,0,0,4,4,6,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,3,5,3,9,6,3,33
SSC11790,146,59,40,21,0,0,573,11,42,17,8,13,8,0,5,103,208,771,403,202,153,61,31,10,1844,201,490,300,219,123,53,20,8,1410,246,498,394,290,226,131,56,32,1874,35,48,35,36,24,7,0,0,184,40,76,61,57,66,23,11,3,336,318,626,487,387,322,159,65,32,2398,11,40,23,19,22,12,7,0,135,298,410,296,206,199,139,91,56,1699,1062,2667,1671,1104,884,444,211,115,8162
SSC11791,18,18,5,0,0,0,90,0,3,6,3,3,0,0,0,18,44,133,79,52,37,20,3,3,364,26,74,63,78,45,6,11,0,306,65,119,112,91,83,24,22,3,518,6,9,8,12,3,0,0,0,43,13,13,24,16,17,3,0,0,92,83,143,146,115,103,30,25,3,655,5,6,7,9,11,8,0,0,43,49,57,40,54,37,24,30,8,303,218,451,360,326,246,94,74,19,1777
SSC11792,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,3,3,8,3,5,0,0,19,0,0,3,5,3,3,0,0,12,4,11,9,12,7,4,0,0,53,3,0,0,0,0,0,0,0,4,3,0,0,0,4,3,0,0,11,8,11,15,12,14,7,3,0,73,0,0,0,0,0,0,0,0,3,11,6,15,15,14,18,10,13,105,27,24,32,42,35,29,19,13,222
SSC11793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,3,4,7,4,6,0,0,0,16
SSC11794,5,0,4,0,0,0,16,0,3,0,3,3,0,0,0,11,0,16,29,18,16,13,8,0,107,8,14,20,20,23,12,11,3,115,43,80,96,69,76,36,13,3,415,8,11,3,5,3,4,0,0,38,0,5,14,7,10,8,0,0,38,58,95,108,74,82,50,22,3,495,0,0,0,3,3,0,0,0,13,38,40,37,37,56,43,38,11,304,101,179,198,158,195,126,75,20,1049
SSC11795,3,3,8,3,0,0,16,0,0,7,3,9,4,0,0,25,0,11,20,19,32,16,4,0,103,4,13,26,20,26,20,0,0,112,24,36,62,69,87,66,20,0,367,7,3,0,4,6,5,0,0,24,3,3,8,5,14,16,0,0,47,28,47,75,77,104,86,19,3,445,0,0,3,6,4,0,0,0,20,25,9,9,14,30,26,15,3,132,58,77,139,147,206,160,48,4,845
SSC11796,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,16,0,0,0,4,5,0,0,0,9,3,3,6,15,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,3,3,8,19,3,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,5,3,3,3,0,21,9,13,11,37,14,3,3,0,91
SSC11797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,5,0,6,0,5,10,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,5,10,5,0,0,34,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,3,0,18,3,14,4,12,26,11,3,0,69
SSC11798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
SSC11799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,14,0,0,9,3,3,9,0,0,27
SSC11800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,11,0,3,3,4,3,3,3,0,17,11,7,10,14,12,11,3,0,68,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,11,7,12,19,16,11,3,0,76,0,0,0,0,0,0,0,0,0,4,3,3,7,3,3,6,0,32,14,20,24,28,22,16,11,3,136
SSC11801,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,4,6,3,6,3,3,0,0,26,0,3,5,10,5,7,0,0,33,11,16,11,20,14,13,4,0,104,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,16,11,15,18,28,17,21,7,4,116,0,0,0,0,0,0,0,0,3,5,4,0,3,0,3,3,0,23,20,27,31,43,32,34,11,3,209
SSC11802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,3,4,3,0,0,0,22
SSC11803,0,3,7,0,0,0,13,0,0,0,0,3,0,0,0,12,0,16,27,11,16,15,0,5,101,5,15,18,13,13,20,4,0,87,32,40,41,59,40,25,7,4,254,0,6,3,3,0,0,0,0,23,3,3,0,4,3,0,3,0,19,37,54,47,68,46,26,17,4,292,0,0,0,0,0,3,0,0,8,21,11,22,23,27,36,32,17,190,66,97,121,124,113,94,48,29,698
SSC11804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,11
SSC11805,31,23,12,18,5,3,96,0,0,16,16,6,10,3,0,47,11,14,37,48,42,28,4,0,187,0,15,17,33,21,9,4,0,101,7,33,17,42,24,6,3,0,135,0,0,0,3,0,0,0,0,11,0,0,0,3,3,0,0,0,13,13,32,20,48,23,9,4,0,152,0,0,0,0,0,0,0,0,3,12,5,15,10,13,8,3,0,67,31,76,143,171,124,84,31,7,662
SSC11806,3,0,0,0,0,0,9,0,0,0,0,4,0,0,0,7,0,0,12,4,3,3,0,0,21,3,0,6,3,9,7,0,0,30,3,8,8,13,6,10,0,0,51,0,0,3,0,0,0,0,0,6,0,0,0,0,3,4,0,0,6,6,6,5,12,8,13,0,0,59,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,0,22,13,9,35,30,28,34,3,0,144
SSC11807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC11808,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,17,0,0,4,0,5,0,0,0,13,0,0,6,3,9,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,8,3,13,0,3,0,28,0,0,0,3,0,0,0,0,3,4,0,13,14,5,20,0,0,50,4,6,21,23,28,30,4,0,117
SSC11809,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,6,0,3,0,0,3,0,0,0,13,0,4,3,7,3,4,0,0,18,0,5,4,9,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,7,15,6,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,19,3,16,20,22,15,4,3,0,89
SSC11810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,9,3,6,9,5,7,10,4,3,49,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,11,9,9,7,10,4,3,55,0,0,3,0,0,0,0,0,3,0,4,6,3,3,0,0,0,20,3,18,16,17,16,15,8,3,87
SSC11811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
