SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC12151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,13,18,18,9,3,0,67
SSC12152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
SSC12153,0,0,7,7,4,6,0,0,0,14,0,3,3,0,0,0,0,0,0,7,20,17,46,41,69,52,7,0,0,244
SSC12154,0,3,14,21,24,6,6,0,0,75,7,9,16,36,22,22,7,0,0,126,201,207,518,708,714,616,130,11,3,3108
SSC12155,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,4,11,25,25,20,6,0,0,93
SSC12156,9,27,51,46,38,28,5,0,0,204,7,39,97,54,45,23,10,0,0,284,189,913,1796,1346,1146,705,178,31,0,6316
SSC12157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC12158,9,20,34,62,43,36,12,3,0,221,13,28,65,73,70,48,5,3,0,305,248,452,1197,1352,1292,770,198,17,0,5521
SSC12159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,4,6,0,0,0,23
SSC12160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,7,7,14,6,0,0,43
SSC12161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,13,16,20,10,3,0,68
SSC12162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8
SSC12163,9,17,43,32,21,16,9,0,0,149,7,28,43,47,39,23,11,3,0,198,190,432,1081,897,730,503,122,12,0,3960
SSC12164,0,0,0,8,3,9,0,0,0,26,0,0,5,5,4,0,0,0,0,19,44,28,59,108,138,105,36,0,0,508
SSC12165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,13,17,20,25,5,0,0,87
SSC12166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,8,5,0,0,0,29
SSC12167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,6
SSC12170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,3,0,0,0,16
SSC12171,3,3,0,3,10,0,0,0,0,13,3,3,3,6,3,6,3,0,3,27,35,39,43,65,117,65,15,3,3,389
SSC12172,9,19,51,40,32,27,14,0,0,192,3,13,41,47,22,27,11,4,7,176,225,375,965,1139,952,660,178,14,3,4521
SSC12173,0,0,17,5,5,5,0,0,0,41,0,3,30,17,7,4,8,4,0,76,21,157,834,451,329,283,129,23,3,2226
SSC12174,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,14,16,35,45,38,23,0,0,0,171
SSC12175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,10,4,4,3,0,0,25
SSC12177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,4,3,7,0,0,0,21
SSC12178,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,8,15,23,17,7,0,0,79
SSC12179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,15
SSC12180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12181,4,14,52,45,40,21,3,0,0,189,5,46,145,64,58,29,10,0,0,359,182,755,2939,1839,1219,717,124,14,3,7794
SSC12182,0,4,8,7,17,9,0,0,0,50,0,6,6,12,5,5,3,0,0,42,46,89,153,208,252,157,40,10,0,950
SSC12183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,8,0,0,0,28
SSC12184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC12185,4,3,0,3,0,0,0,0,0,10,0,0,0,0,3,3,0,0,0,11,26,36,60,81,103,92,19,3,0,416
SSC12186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,14
SSC12187,8,13,17,7,12,3,0,0,0,54,4,10,13,9,20,11,0,0,0,71,90,183,295,266,316,155,23,0,0,1328
SSC12188,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,3,0,3,5,4,13,21,40,44,7,3,0,147
SSC12189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
SSC12190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
