SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
103011059,3,21,14,21,45,29,19,36,0,186,7,19,10,7,30,32,10,23,34,172,194,580,414,538,1047,821,455,771,94,4906
103011060,3,16,13,14,20,29,10,21,0,126,11,15,13,16,9,16,4,20,32,145,127,349,347,329,510,550,263,578,79,3124
103011061,0,7,4,3,8,8,8,3,0,49,5,10,8,4,24,14,13,26,31,136,64,216,185,186,349,296,171,413,53,1930
103021062,0,10,5,4,8,26,7,21,0,77,6,10,13,10,12,16,9,28,40,143,114,255,219,299,260,491,220,728,97,2671
103021063,3,24,15,11,29,34,19,21,0,157,9,3,12,8,23,13,9,19,27,122,117,398,380,425,651,554,270,514,68,3383
103021064,0,3,13,11,10,19,4,8,0,62,3,7,3,9,8,18,6,7,25,80,86,254,245,257,324,340,199,503,63,2262
103021065,5,15,11,22,27,31,12,30,9,154,7,21,8,20,27,26,20,28,58,210,166,390,358,489,686,727,394,851,119,4176
103021066,0,10,4,7,7,7,9,5,3,49,5,10,3,4,9,8,3,5,12,59,47,169,148,149,175,231,132,351,38,1439
103021067,7,24,19,17,33,39,20,44,0,198,7,17,7,8,25,32,13,14,42,165,184,483,385,498,840,619,569,697,100,4376
103021068,0,9,0,4,8,14,3,9,0,48,6,0,0,4,4,6,6,11,9,42,70,131,123,143,148,204,117,391,31,1351
103021069,0,16,7,11,30,18,11,21,0,105,3,3,4,9,6,10,3,16,43,105,87,282,217,257,329,387,187,698,79,2525
103031070,3,24,26,23,35,38,17,25,0,190,6,26,17,15,35,35,3,22,36,193,195,569,482,540,942,800,383,537,80,4523
103031071,4,15,9,17,25,22,8,20,0,113,4,9,15,12,15,22,3,14,33,126,130,354,355,385,643,531,269,533,88,3279
103031072,3,28,22,27,38,47,18,83,3,263,9,13,7,11,15,15,10,16,28,116,185,532,509,591,811,746,543,1041,82,5040
103031073,3,4,3,3,4,7,3,3,0,35,4,6,3,7,9,10,0,3,6,53,47,148,112,149,149,164,106,190,14,1083
103031074,3,16,24,18,28,31,10,37,3,173,5,18,13,9,14,11,7,25,26,125,165,477,440,482,518,567,382,909,103,4035
