SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
128021535,14,55,50,59,77,115,46,83,4,502,3,45,28,37,67,94,28,62,81,440,310,1343,1317,1149,1944,2377,1209,1878,162,11686
128021536,3,53,41,41,54,80,34,61,3,365,11,31,33,37,49,84,25,62,62,387,375,1223,1262,1160,1549,2199,1113,1715,120,10709
128021537,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,4,0,13
128021538,8,45,42,49,82,94,50,63,3,441,15,26,32,37,67,89,33,50,70,424,357,1020,962,1055,2124,2444,1157,1550,148,10823
128021607,9,38,48,47,61,84,40,51,5,377,3,19,29,17,50,55,25,40,36,281,303,916,999,896,1476,1721,899,1170,101,8474
128021608,3,24,12,10,20,34,14,20,0,142,7,11,20,7,20,34,7,15,15,144,149,434,433,391,625,792,400,509,39,3764
128021609,0,11,10,16,17,17,6,13,3,96,3,6,7,5,9,19,4,10,17,87,54,290,236,231,362,396,241,355,26,2187
197979799,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
199999499,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
201011001,3,27,9,21,17,20,26,32,3,163,3,18,6,9,34,19,8,16,30,137,221,808,567,694,1031,1006,601,750,76,5747
201011002,0,20,13,21,20,21,15,16,4,131,10,22,9,10,16,26,3,24,39,161,217,802,602,681,848,878,526,870,69,5491
201011003,15,58,47,48,81,60,37,47,6,393,19,41,20,28,45,53,13,37,60,321,398,1414,1183,1281,1877,1797,1011,1395,166,10533
201011004,14,54,50,49,88,51,34,36,4,381,7,47,34,33,65,43,17,31,92,368,404,1408,1133,1312,2000,1602,914,1025,202,9991
201011005,0,20,11,16,17,26,6,15,0,112,5,16,8,10,7,12,0,15,28,104,159,502,352,412,477,550,294,451,84,3287
201011006,3,19,10,17,24,18,20,19,0,131,7,10,5,12,15,18,14,6,31,112,120,441,333,400,668,568,320,371,59,3289
201011007,3,12,7,9,8,14,6,6,0,70,4,9,0,6,10,12,4,8,15,76,84,236,208,227,382,369,186,227,33,1949
201011008,12,33,17,31,54,33,19,17,0,207,19,30,10,13,43,39,13,20,64,238,219,749,576,697,1134,907,484,624,110,5503
201021009,3,9,9,13,24,14,10,7,4,91,3,16,15,9,12,31,3,27,27,144,108,310,280,312,437,508,227,448,65,2698
201021010,12,20,15,9,22,23,15,19,0,127,11,19,10,8,27,19,8,12,39,148,169,410,354,423,527,479,257,455,92,3167
201021011,3,19,11,16,15,23,10,17,0,108,8,20,12,12,14,22,12,25,43,175,190,610,518,577,505,552,263,583,84,3891
201021012,4,8,11,9,14,13,10,10,0,76,3,10,13,13,16,16,13,12,34,129,123,335,295,304,419,434,237,447,74,2660
201031013,4,4,7,0,3,3,6,4,0,27,10,10,5,3,4,7,3,3,14,56,65,140,138,149,162,211,77,240,27,1209
201031014,3,10,6,3,16,11,11,10,0,71,10,13,3,3,12,9,4,16,17,81,96,226,179,204,240,244,126,285,37,1628
201031015,3,9,12,8,11,19,8,5,0,74,11,7,3,12,16,10,7,14,24,107,86,237,202,275,300,316,170,286,47,1919
201031016,7,12,13,5,28,17,6,10,3,95,3,6,10,11,21,23,11,9,22,125,101,372,327,366,513,378,190,275,66,2586
201031017,0,10,12,9,13,9,11,11,0,70,10,11,8,8,10,10,12,14,13,101,75,254,237,229,297,286,152,266,43,1840
202011018,13,27,14,33,30,26,31,18,4,188,9,29,19,26,48,36,11,21,52,247,243,799,626,816,1187,1008,578,688,105,6047
202011019,6,13,17,19,31,34,29,16,0,175,12,21,12,21,32,41,10,12,59,216,207,644,483,619,949,758,416,488,105,4667
202011020,5,40,19,25,49,34,18,23,0,219,5,19,15,15,16,21,12,30,22,165,258,974,611,769,1059,932,517,750,80,5945
202011021,7,20,13,27,36,19,10,24,0,153,3,20,8,10,23,20,3,15,16,124,187,689,520,564,788,669,379,469,69,4341
202011022,11,46,31,44,79,53,26,44,5,338,12,38,22,21,58,33,14,26,54,284,297,998,876,1036,1813,1364,786,887,137,8195
202011023,4,20,13,17,20,25,8,21,0,125,8,4,7,10,12,15,5,17,3,82,130,337,262,304,430,422,256,369,21,2538
202011024,10,22,22,17,19,17,19,26,0,144,0,8,13,12,18,20,12,24,30,126,193,592,492,514,688,668,395,603,77,4219
202011025,10,29,16,19,50,31,29,30,4,222,5,15,12,11,36,36,17,29,34,199,299,690,532,704,1185,898,544,666,120,5639
202021026,4,12,13,16,16,19,18,30,0,137,15,10,7,10,15,14,4,22,18,126,177,426,404,448,586,573,305,540,69,3523
202021027,3,17,5,15,29,25,11,20,3,135,9,36,18,19,18,27,8,22,36,190,158,624,540,623,597,659,330,435,64,4042
202021028,0,19,15,14,18,24,8,16,0,116,7,21,9,9,21,16,15,16,24,146,166,519,488,507,500,581,275,547,66,3646
202021029,4,6,8,4,7,6,3,11,0,57,0,6,3,4,14,11,5,3,20,71,75,206,176,183,256,266,120,244,42,1576
202021030,5,29,13,16,23,36,11,26,3,170,9,35,11,17,20,24,11,20,39,176,154,602,510,584,593,782,362,619,86,4291
202021031,0,16,8,21,10,14,11,12,0,99,7,9,12,16,15,24,11,16,20,132,142,441,364,385,425,582,301,485,41,3166
202031032,4,17,0,3,13,11,7,18,0,71,3,11,6,5,12,11,4,14,11,79,77,257,200,242,321,310,154,359,48,1973
202031033,4,12,4,9,8,17,0,8,0,59,6,4,7,6,16,24,7,14,44,121,126,331,222,313,296,413,191,661,90,2638
203011034,3,16,8,14,20,26,16,23,0,130,9,11,15,11,15,25,12,16,26,137,135,360,327,348,473,586,307,448,61,3035
203011035,4,13,8,5,30,23,7,20,5,125,3,11,13,10,27,23,13,15,37,144,133,388,363,386,533,569,257,578,87,3294
203011036,7,13,18,10,19,24,6,22,0,110,5,14,16,12,12,8,6,17,23,109,124,387,367,336,336,472,228,497,54,2812
203021037,3,34,15,20,45,38,24,18,9,211,10,29,12,20,20,26,12,21,48,193,245,935,750,776,1154,1192,596,709,113,6480
203021038,7,33,17,48,71,71,35,25,3,318,25,57,32,45,96,110,23,43,149,585,346,1185,912,1128,1931,1628,581,853,270,8825
203021039,10,36,23,19,44,44,14,37,0,232,3,19,10,15,30,40,11,14,60,199,235,797,719,752,1112,1094,623,842,124,6301
203021040,10,42,44,40,61,60,29,43,4,329,13,32,22,26,48,52,26,48,67,332,407,1257,1051,1114,1707,1783,982,1247,158,9707
203021041,10,74,38,42,80,80,38,42,9,417,12,37,26,32,45,62,26,44,65,350,433,1557,1253,1294,2009,2001,1034,1220,162,10982
203021042,5,61,36,58,47,44,17,47,3,319,9,52,28,22,30,52,20,47,44,307,441,1804,1282,1181,1566,1754,926,1511,152,10614
203021043,13,46,26,39,64,52,22,46,3,301,8,29,18,22,55,62,23,49,78,340,335,1051,799,897,1544,1652,733,1178,152,8334
203021044,8,36,32,19,53,48,19,36,0,250,11,21,17,8,35,37,10,25,43,210,254,760,698,730,1112,1104,520,669,90,5940
203021045,12,24,24,36,66,49,23,21,8,263,14,32,21,31,52,44,15,27,56,283,226,857,641,762,1228,1024,520,566,131,5953
203021046,0,23,22,14,17,26,6,23,3,138,6,20,19,13,16,23,12,26,30,165,167,697,586,568,620,874,465,871,69,4909
203021047,13,31,21,28,49,50,25,24,0,234,19,21,24,35,53,53,25,21,48,299,216,780,648,776,1262,1189,487,676,121,6139
203031048,6,35,29,27,55,40,17,26,3,236,9,36,13,17,28,31,19,23,56,231,208,795,712,716,1011,973,458,688,111,5681
203031049,3,10,11,4,5,6,0,8,3,58,0,19,6,10,11,18,6,7,15,94,103,349,302,324,298,377,170,316,43,2277
203031050,6,71,42,47,58,67,30,37,3,354,19,44,34,38,48,49,16,52,72,372,445,1541,1357,1387,1636,1970,980,1513,162,10989
203031051,3,19,6,6,11,15,4,14,0,74,7,13,10,13,11,14,4,9,20,111,122,356,303,324,366,421,156,277,43,2377
203031052,0,13,3,3,9,11,3,4,0,44,0,9,4,3,4,11,3,10,14,48,70,275,160,214,177,246,122,202,24,1502
203031053,7,42,33,42,50,51,19,43,0,286,11,52,28,27,27,56,21,39,58,317,365,1280,1007,1060,1228,1627,764,1417,131,8877
204011054,0,13,10,9,18,10,5,14,0,84,4,16,6,11,14,22,6,14,24,117,123,333,306,360,388,452,232,386,56,2652
204011055,7,5,8,15,17,17,9,13,0,88,8,13,16,11,11,16,4,14,28,124,113,357,292,327,383,418,201,447,77,2614
204011056,12,37,19,29,39,39,30,47,3,242,19,31,22,22,48,43,14,34,51,284,249,700,635,660,1084,1103,617,868,140,6047
204011057,10,34,18,22,16,22,10,21,0,153,15,11,22,16,13,31,14,31,41,189,158,521,425,541,463,601,330,781,88,3911
204011058,0,9,4,9,3,11,3,5,0,40,5,8,4,11,15,12,5,10,14,79,83,225,164,211,288,302,153,304,39,1764
204011059,5,8,8,10,15,25,12,20,0,100,4,14,15,3,11,18,0,14,30,114,97,329,258,323,511,406,191,285,71,2459
204011060,4,5,7,9,12,18,3,12,0,69,7,8,5,4,8,10,4,11,20,76,105,211,189,188,282,427,237,463,47,2151
204011061,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,3,7,9,13,11,13,6,9,0,67
204011062,4,7,8,3,14,16,4,12,0,69,9,9,9,3,14,15,7,8,18,83,76,174,174,175,192,268,114,242,44,1465
204021063,4,28,14,17,27,30,13,16,3,157,11,19,12,21,34,23,11,10,27,168,197,478,420,538,771,673,379,461,70,3993
204021064,0,10,0,3,15,7,4,8,0,58,4,5,8,3,8,8,3,11,25,77,83,222,182,185,223,275,135,342,50,1704
204021065,0,12,4,9,20,15,7,13,0,77,0,0,0,4,14,21,10,8,14,69,80,193,173,196,273,360,169,272,35,1760
204021066,6,30,27,26,57,74,16,55,4,296,11,40,16,21,42,57,17,38,72,316,335,980,858,1087,1456,1360,659,953,166,7862
204021067,3,16,12,13,24,33,9,20,0,139,13,23,18,17,27,35,6,25,28,192,220,554,543,620,667,777,408,883,83,4756
204031068,0,7,0,6,5,10,10,3,4,47,10,8,7,0,9,5,4,6,19,71,106,266,251,282,280,330,151,286,37,1999
204031069,4,13,3,11,12,19,7,20,0,86,12,17,15,9,16,12,10,15,21,132,177,498,414,494,534,491,326,677,70,3678
204031070,0,11,6,5,15,10,9,10,0,64,13,5,3,6,11,4,5,11,16,69,87,150,163,206,284,239,128,223,40,1526
204031071,3,3,9,5,12,16,12,13,0,76,6,10,5,3,17,8,4,12,24,91,100,253,228,253,384,303,150,311,62,2041
204031072,0,8,14,17,12,25,7,19,0,99,15,12,3,7,12,14,4,15,29,103,141,319,260,312,332,406,204,599,81,2649
204031073,6,28,28,37,74,62,37,26,3,294,8,16,13,12,37,45,18,19,53,225,248,792,643,937,1395,1173,716,931,120,6955
204031074,18,54,29,49,84,69,49,50,13,409,24,49,26,34,74,84,25,52,78,447,456,1224,1044,1332,2157,2059,1272,1505,183,11239
204031075,0,10,3,5,12,22,3,11,0,72,3,9,4,4,4,17,3,9,25,77,97,286,235,268,344,379,213,369,49,2248
205011076,6,42,37,37,67,65,35,55,0,353,21,30,21,23,39,62,27,46,68,327,265,875,674,771,1151,1180,673,1057,134,6782
205011077,10,15,9,12,23,22,7,18,3,117,0,24,4,5,15,18,8,16,27,121,128,363,292,311,379,419,231,547,65,2748
205011078,8,23,13,18,22,31,17,18,0,131,13,13,14,6,13,20,12,15,32,135,167,453,412,408,520,527,297,573,81,3434
205011079,9,56,36,50,87,60,33,62,5,396,14,29,23,18,34,49,19,44,70,303,348,1122,917,974,1357,1341,790,1343,158,8357
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
205021081,9,35,26,31,41,42,21,50,8,257,15,21,14,24,35,42,5,25,51,230,285,718,658,831,1012,857,471,775,120,5729
205021082,4,13,10,19,14,17,12,23,0,117,7,20,15,15,24,32,11,22,27,170,180,481,409,477,486,515,277,587,74,3479
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,6,17,14,12,26,23,8,17,3,129,10,11,9,20,10,18,3,18,45,142,216,496,430,496,540,460,251,485,86,3452
205021085,3,18,8,12,12,12,10,4,0,76,11,12,12,4,9,12,4,7,26,107,130,381,276,318,280,303,138,409,72,2304
205021086,0,15,15,5,15,15,6,6,0,72,5,9,11,7,18,7,3,8,14,92,127,269,253,290,315,329,182,280,49,2086
205031087,4,22,13,7,14,24,8,12,3,111,6,29,14,10,17,16,5,24,35,161,176,539,424,444,381,487,216,760,86,3508
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,6,8,4,5,7,7,0,50
205031089,4,11,8,20,29,39,16,25,9,172,7,29,13,17,19,30,10,26,56,200,188,528,452,473,541,637,329,745,115,4012
205031090,6,13,15,15,32,27,20,29,0,160,14,23,18,17,28,21,12,26,34,192,201,693,538,606,661,676,449,861,100,4781
205031091,6,20,17,15,23,17,10,18,0,124,17,24,8,10,15,19,3,20,34,141,265,649,517,579,570,599,307,482,81,4049
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,12
205031093,14,51,42,40,47,76,27,33,0,325,19,52,41,29,45,49,24,41,86,392,453,1281,1039,1165,1224,1340,640,1067,184,8395
205041094,4,28,15,8,28,27,22,30,0,157,14,11,10,18,19,17,14,28,44,176,241,759,549,566,855,643,464,701,82,4857
205041095,6,30,22,31,58,49,13,33,0,242,8,21,15,13,43,37,12,26,81,271,255,869,702,768,1237,970,494,641,152,6085
205041096,3,24,13,13,31,37,15,30,0,174,11,13,12,13,32,22,12,21,64,203,184,615,502,581,920,650,371,520,119,4472
205041097,10,72,43,43,94,90,32,60,3,444,12,31,24,23,57,56,24,50,96,374,519,1528,1174,1353,2298,1982,1210,1650,195,11911
205041098,3,8,8,11,18,17,10,8,0,76,4,12,9,0,15,19,3,11,16,86,104,244,239,264,381,353,201,259,40,2088
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,6,0,17
205051100,0,12,3,4,8,10,6,10,0,52,5,3,4,5,13,9,3,13,20,76,72,235,152,192,212,265,134,355,48,1670
205051101,11,35,15,33,41,46,20,34,0,235,12,30,22,21,30,54,20,38,56,283,336,796,645,673,878,992,530,1075,140,6065
205051102,0,8,3,9,8,20,9,9,3,66,4,10,3,10,7,14,3,8,14,73,89,188,170,179,278,269,169,467,35,1848
205051103,6,30,25,34,37,46,21,22,3,231,0,21,17,15,36,32,13,34,55,219,263,803,653,727,1020,1053,582,938,115,6155
205051104,3,8,5,13,9,8,10,17,0,66,5,5,6,15,8,14,5,14,24,99,95,299,233,286,304,285,152,425,63,2144
206011105,7,58,39,62,96,72,53,71,7,454,7,46,44,38,61,95,37,63,108,506,456,1666,1555,1683,2633,3094,1668,2127,227,15111
206011106,6,23,23,21,50,44,22,33,4,224,8,30,18,15,29,45,23,24,36,214,176,651,625,722,1266,1353,802,983,81,6655
206011107,3,25,26,24,53,48,29,28,4,247,7,31,19,15,44,39,14,33,53,269,238,821,782,857,1444,1434,739,959,110,7390
206011108,6,57,54,54,82,82,48,46,6,441,18,52,38,45,80,95,36,53,140,551,397,1455,1521,1624,2525,2562,1257,1642,266,13246
206011109,3,23,18,22,20,20,10,23,3,152,7,14,16,18,20,38,3,25,41,187,130,589,541,578,786,982,457,716,73,4851
206021110,3,22,20,23,25,22,16,13,0,144,6,16,23,21,25,25,10,19,38,177,138,570,544,583,812,932,521,753,65,4921
206021111,16,64,45,50,99,91,28,49,0,437,6,42,30,39,60,89,24,64,95,455,372,1475,1372,1668,2124,2741,1472,2141,207,13574
206021112,4,45,31,43,74,69,18,33,5,317,11,43,44,37,61,87,28,40,68,406,330,1058,1090,1247,1797,1953,950,1243,144,9806
206031113,4,20,16,29,41,42,23,32,3,209,3,27,24,16,31,40,20,30,45,240,237,809,810,797,1261,1543,847,1202,103,7609
206031114,6,48,57,43,83,62,41,63,9,403,15,54,56,29,72,95,35,68,118,543,472,1785,1567,1443,2401,2979,1472,2317,237,14671
206031115,3,19,16,16,28,20,5,12,4,120,4,26,18,13,34,32,10,22,46,213,135,551,508,476,853,966,429,617,98,4631
206031116,6,21,22,34,39,33,17,30,3,210,4,33,23,10,39,37,12,51,58,268,217,870,735,782,1278,1543,770,1286,119,7599
206041117,4,23,26,16,24,16,11,24,0,150,12,51,26,15,27,34,9,34,59,267,188,1122,804,550,942,1288,578,893,130,6501
206041118,5,8,20,7,24,30,11,28,0,133,14,25,15,12,35,51,16,40,55,256,196,396,514,410,939,1917,541,892,86,5898
206041119,3,8,9,13,12,7,14,8,3,65,0,10,6,5,9,26,20,32,11,115,110,253,237,245,421,639,381,695,44,3031
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,10,4,5,0,38
206041121,5,26,22,27,27,23,23,12,0,162,6,20,24,11,34,45,22,23,27,213,204,521,522,644,1150,1431,769,996,54,6294
206041122,10,62,79,54,82,68,29,35,3,432,38,84,160,46,92,124,35,52,156,783,412,1899,2862,1208,2643,3692,1220,1654,267,15847
206041123,11,27,30,28,54,50,18,36,3,267,7,35,37,24,60,56,26,49,78,377,324,1156,1154,859,1740,2034,997,1512,173,9952
206041124,3,11,8,7,22,16,8,4,3,81,8,18,13,12,18,12,4,11,22,111,164,783,321,295,461,549,265,450,205,3503
206041125,0,9,7,11,12,12,3,9,0,69,5,12,12,9,18,20,11,19,25,143,99,303,275,284,482,761,400,728,48,3377
206041126,4,31,34,32,46,52,28,34,0,265,10,47,48,26,72,94,19,53,79,451,271,805,1011,710,2074,2796,1199,1686,148,10711
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,4,19,15,25,18,29,14,24,0,150,19,37,33,22,38,84,26,84,39,376,240,724,634,728,1029,1786,847,2001,103,8083
206051129,6,29,27,34,63,48,26,48,0,285,8,23,25,33,34,79,32,57,56,340,286,719,715,923,1456,2029,1186,1837,121,9276
206051130,3,37,21,30,43,49,28,55,0,266,12,29,29,34,40,89,16,96,56,397,300,646,642,819,1196,2026,1059,2154,99,8931
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,13
206051132,7,8,17,20,32,39,13,34,3,180,12,25,19,14,24,48,23,35,23,226,177,487,504,467,932,1420,699,1380,52,6116
206051133,13,50,40,58,109,98,52,63,4,481,15,60,46,45,72,123,50,115,114,647,430,1127,1195,1365,2777,3686,1879,2681,228,15372
206051134,3,38,39,45,83,50,36,37,6,338,4,26,27,27,46,72,48,46,64,360,235,828,931,1019,1844,2079,1249,1606,131,9924
206061135,0,19,17,11,19,16,9,13,0,110,6,29,18,15,15,33,13,37,32,199,135,548,468,459,736,928,492,989,72,4828
206061136,6,41,42,49,71,60,38,45,3,360,6,33,32,23,60,93,42,86,73,444,317,887,958,962,2095,2730,1575,2499,134,12157
206061137,0,35,24,39,63,54,41,55,0,312,8,39,43,32,62,118,46,81,91,535,303,938,920,940,2192,3042,1573,2405,167,12487
206061138,3,22,9,19,31,21,14,24,3,147,12,50,38,26,38,57,15,59,59,349,170,845,659,641,795,1345,600,1393,97,6545
206071139,0,15,16,23,34,29,20,12,3,146,3,17,21,10,31,44,22,31,21,199,135,393,425,427,914,1191,694,932,62,5171
206071140,3,17,3,10,24,16,8,18,0,98,9,32,20,9,11,36,6,21,21,174,159,606,491,552,701,994,509,968,58,5039
206071141,3,26,8,16,20,24,24,25,0,149,6,27,14,15,20,37,20,31,35,197,151,354,370,451,785,1064,594,873,67,4711
206071142,3,10,8,16,43,31,19,10,0,146,3,21,13,18,35,50,17,42,55,252,199,495,415,522,840,1099,690,1077,90,5427
206071143,4,30,20,26,42,25,21,20,8,205,6,23,27,26,22,51,26,42,37,261,203,722,638,789,1056,1404,862,1281,83,7038
206071144,15,53,45,52,121,99,59,79,3,523,13,35,41,43,104,141,61,120,115,680,464,1407,1362,1447,3220,4255,2470,3872,249,18752
206071145,6,21,12,20,33,24,16,10,0,144,6,11,13,10,27,27,12,31,24,163,171,534,477,559,743,967,638,922,79,5084
207011146,0,22,9,14,14,11,10,12,3,99,6,19,12,16,17,36,12,12,23,153,101,553,389,387,462,667,402,642,56,3659
207011147,3,35,25,11,26,27,12,20,0,162,11,43,36,38,37,48,17,42,66,332,207,1136,780,760,937,1337,600,1202,122,7076
207011148,4,56,37,26,45,46,26,20,0,248,19,59,43,28,37,61,24,47,82,402,239,1498,1065,998,1334,1741,769,1462,139,9234
207011149,8,42,25,31,34,37,19,41,0,245,13,47,47,31,40,69,17,60,58,377,288,1526,1081,1051,1281,1875,974,1955,135,10156
207011150,3,36,35,30,19,22,21,39,4,210,7,40,33,19,34,53,11,59,43,296,238,1153,939,898,903,1544,831,1659,98,8263
207011151,8,51,33,31,60,46,36,36,5,306,10,50,34,27,43,57,27,82,93,426,389,1455,1292,1181,1879,2541,1392,2280,199,12610
207011152,7,34,25,26,38,33,21,13,0,195,12,30,30,20,27,57,20,69,44,320,235,956,876,752,1165,1657,876,1476,110,8107
207011153,8,50,34,30,50,49,27,50,4,308,17,64,56,51,50,98,28,84,91,532,345,1706,1285,1234,1570,2265,1148,2506,190,12255
207011154,3,8,15,6,7,6,7,21,0,84,4,17,7,7,16,22,6,16,13,104,78,473,361,359,399,564,296,589,42,3159
207011155,0,36,29,22,30,28,13,31,4,196,17,47,32,19,20,55,23,47,42,298,229,1201,846,788,893,1394,696,1608,88,7747
207021156,3,32,16,22,43,26,20,28,0,188,3,25,14,19,36,41,9,31,73,247,116,652,510,527,842,1036,435,691,108,4921
207021157,9,53,35,29,65,57,37,28,3,321,22,50,43,26,69,75,24,50,95,454,232,1166,1038,955,1747,1832,758,1016,193,8942
207021159,5,42,21,34,55,46,23,31,3,265,12,43,34,28,50,75,17,39,60,358,195,1087,839,832,1153,1538,641,1188,121,7602
207021160,7,32,17,18,36,41,18,34,4,211,12,42,21,12,38,54,14,35,42,263,160,820,618,610,992,1253,502,823,102,5883
207021424,0,34,37,27,52,44,17,31,4,246,3,26,27,28,39,43,12,32,58,280,153,982,796,773,1158,1406,533,837,113,6754
207021425,3,31,25,23,55,44,16,21,0,219,9,21,20,19,45,59,9,31,60,273,174,747,627,658,1218,1248,469,675,115,5923
207031161,9,46,55,38,72,52,42,63,0,385,10,39,30,38,70,66,29,38,66,382,305,1414,1129,1120,1739,1901,948,1413,133,10104
207031162,5,35,19,27,23,31,18,17,0,176,3,10,10,14,22,33,7,17,31,151,117,672,568,532,744,977,440,608,51,4705
207031163,12,46,54,33,67,53,33,45,0,345,15,66,55,24,71,75,16,29,80,430,269,1234,1214,943,1570,1720,739,1024,144,8852
207031164,3,46,33,24,47,53,21,33,7,262,13,45,41,24,41,56,20,29,73,343,222,1131,946,932,1394,1609,741,1083,126,8186
207031165,3,27,24,17,40,28,14,13,3,169,3,37,32,9,25,32,10,22,41,220,137,886,690,512,825,851,344,554,98,4895
207031166,4,23,19,21,27,41,13,25,0,173,4,28,23,21,36,46,8,19,43,230,128,634,525,515,847,919,369,457,83,4471
207031167,3,29,21,15,17,17,10,19,0,137,3,28,19,12,10,25,9,29,22,153,146,771,577,530,699,974,490,853,48,5098
208011168,3,26,18,10,21,27,15,26,0,144,6,40,21,26,27,50,18,63,37,291,185,980,721,699,655,1148,606,1341,87,6422
208011169,4,56,26,38,31,37,21,50,3,267,20,73,55,61,48,76,15,117,82,542,279,1487,1122,1102,1003,1885,960,2453,175,10461
208011170,11,44,33,23,20,24,18,34,0,197,13,49,26,32,21,71,19,70,52,343,192,1045,827,835,774,1348,658,1522,115,7322
208011171,3,28,22,27,25,25,17,26,4,177,8,19,21,26,26,52,16,31,33,226,169,631,578,616,794,1136,579,869,70,5435
208011172,6,53,26,28,40,32,12,42,3,234,7,49,26,29,39,67,36,68,40,363,251,1195,946,875,1007,1555,827,1678,103,8438
208011173,4,33,33,25,26,35,26,25,0,210,7,65,25,36,28,64,32,73,65,388,253,1086,857,848,885,1475,766,1626,109,7916
208021174,9,53,48,40,51,52,21,47,0,319,10,45,40,37,55,84,31,61,72,430,313,1414,1191,1205,1627,2140,1029,1655,134,10709
208021176,0,31,31,27,58,54,23,26,3,260,5,36,33,29,51,65,14,36,77,344,276,984,989,933,1725,1974,904,1128,131,9049
208021177,5,61,44,30,38,51,33,45,3,308,13,74,52,44,56,85,38,76,91,524,236,1361,1163,1114,1409,1941,1028,1714,189,10149
208021178,5,73,42,49,44,54,32,41,3,338,4,71,33,34,46,71,33,47,63,394,228,1163,953,993,1196,1680,798,1412,138,8562
208021179,0,21,18,22,37,26,20,33,3,177,5,20,14,21,16,52,16,42,42,234,172,632,617,597,905,1225,628,1096,92,5965
208021180,3,19,11,12,27,16,13,17,0,116,0,14,13,15,15,28,7,19,39,153,111,466,402,420,696,816,366,462,59,3805
208021181,7,25,17,16,19,22,10,29,4,148,3,15,25,15,25,33,8,26,38,190,146,552,568,504,864,991,500,670,77,4867
208021182,11,32,28,25,46,42,15,21,0,222,6,25,31,25,46,66,19,31,38,282,181,790,754,761,1273,1612,658,825,95,6946
208021426,3,38,36,38,45,52,18,45,0,264,8,27,19,19,49,72,14,38,45,303,208,851,780,806,1194,1603,631,950,90,7104
208021427,3,39,26,26,34,43,30,36,3,246,10,19,25,22,35,42,25,27,48,243,183,804,597,680,1047,1348,629,877,110,6278
208031183,3,25,16,19,21,27,14,21,6,153,5,18,21,19,36,42,13,27,41,216,137,639,463,482,804,988,448,625,81,4672
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,6,0,3,5,0,4,0,22
208031185,16,26,22,36,43,26,25,31,0,220,3,46,19,25,50,64,19,45,50,323,218,631,547,661,1034,1190,582,858,91,5812
208031186,5,32,21,30,42,45,28,32,0,240,10,25,21,26,54,54,20,47,62,318,266,686,604,771,1342,1397,762,914,123,6862
208031187,4,15,8,12,28,23,10,10,0,111,8,15,5,13,24,25,9,10,22,147,90,303,273,289,557,514,262,266,51,2612
208031188,4,61,46,39,78,62,46,56,9,403,14,50,32,36,88,115,30,55,69,502,322,1292,1062,1150,1996,2296,1117,1437,174,10847
208031189,3,31,24,23,41,45,24,35,0,227,4,27,27,20,51,53,21,42,40,280,182,802,666,657,1033,1304,677,1001,94,6400
208031190,7,47,18,29,37,38,18,23,0,226,8,28,15,27,23,51,20,43,49,256,190,755,630,745,1110,1359,702,1006,99,6605
208031191,0,22,19,19,25,23,15,22,3,158,3,23,14,15,32,38,12,18,42,195,128,488,446,479,797,822,415,580,70,4229
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,12,56,37,35,68,54,31,41,5,335,14,39,36,31,48,80,27,41,59,369,336,1254,1032,1061,1627,2102,1085,1547,138,10168
