SAL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SAL30096,0,6,0,60,10,0,0,6,3,7,0,3,0,9,31,75,0,0,0,0,0,0,0,0,0,0,9,13,126,29,7,163,19,84,14,31,16,54,45,589
SAL30097,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,19
SAL30098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SAL30099,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,7,0,0,0,0,3,28
SAL30100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL30101,3,0,0,328,0,0,0,4,4,3,0,4,0,0,9,28,0,0,0,0,0,0,0,0,0,0,0,0,152,27,8,173,35,81,14,33,5,21,9,552
SAL30102,0,0,0,4,3,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,7,0,0,0,4,5,37
SAL30103,0,5,0,236,10,0,0,3,0,4,3,0,0,0,47,74,0,0,0,0,0,0,0,0,0,0,3,7,332,40,9,306,67,171,18,28,14,30,50,1058
SAL30104,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,64,3,92
SAL30105,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,4,0,19,0,12,3,0,0,4,0,52
SAL30106,0,3,0,35,5,3,0,6,0,0,0,0,0,6,26,42,0,0,0,0,0,0,0,0,0,0,0,4,91,26,0,99,19,44,0,19,9,59,30,393
SAL30107,0,0,0,44,3,0,0,0,0,0,0,0,0,0,25,40,0,0,0,0,0,0,0,0,0,0,0,5,119,16,7,106,21,68,9,11,5,43,24,430
SAL30108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL30109,0,0,0,4,6,0,0,0,0,0,0,0,0,3,10,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,12,0,5,3,12,11,69
SAL30110,0,0,0,84,14,0,0,9,3,7,0,0,0,5,44,78,0,0,5,0,0,0,0,0,0,0,0,10,199,20,7,257,28,88,9,27,6,57,47,740
SAL30111,0,0,0,12,0,0,0,0,0,0,0,0,0,3,5,18,0,0,0,0,0,0,0,0,0,0,0,3,24,0,3,26,6,16,0,7,5,19,9,116
SAL30112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,12
SAL30113,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,6,0,8,0,10,6,25,3,73
SAL30114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
SAL30115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL30116,0,0,0,50,7,0,0,4,0,0,0,0,0,0,23,44,0,0,0,0,0,0,0,0,0,0,11,10,152,25,9,146,39,90,10,22,11,23,31,563
SAL30117,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,15,0,6,0,9,0,0,13,52
SAL30118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL30119,0,0,0,26,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,62,5,28,4,5,0,8,22,201
SAL30120,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,15
SAL30121,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,16,0,3,0,0,0,7,0,50
SAL30122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL30123,0,0,0,89,8,0,0,8,4,6,0,0,0,8,32,77,0,0,0,5,0,0,0,0,0,0,5,11,216,43,10,246,59,135,18,45,17,67,33,897
