SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
109031184,19,5,61,27,9,15,3,8,0,145,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,0,0,18,12,6,4,5,7,4,4,7,0,53,261,379,264,179,130,104,62,122,7,1506
109031185,25,3,55,21,16,17,3,25,0,166,0,0,0,0,0,0,0,0,0,3,11,4,3,3,0,0,4,3,0,23,22,6,20,19,13,12,13,19,6,129,498,412,362,290,229,106,125,201,26,2254
110011186,36,6,128,51,29,38,9,36,3,330,0,0,0,5,0,3,0,3,0,7,18,18,9,7,9,0,8,4,0,72,13,33,12,17,11,13,13,33,18,168,777,2397,845,794,836,369,160,438,79,6694
110011187,12,0,19,4,4,8,5,11,0,67,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,21,7,9,6,5,3,0,6,6,63,358,216,152,107,142,45,43,130,14,1217
110011188,11,0,27,10,12,9,8,7,0,92,0,0,0,0,0,0,0,0,0,0,3,5,3,4,4,3,0,0,0,27,15,8,10,5,4,5,4,8,7,70,347,449,307,195,238,88,54,155,28,1856
110011189,3,0,16,7,3,0,0,7,0,39,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,11,0,3,3,0,0,5,5,3,30,304,149,113,73,75,39,35,75,3,866
110021190,15,0,35,25,4,10,5,18,0,121,0,0,0,0,0,0,0,0,0,3,6,3,3,3,0,0,3,3,4,26,19,11,17,11,5,7,8,16,8,98,394,378,274,274,209,106,80,175,31,1926
110021191,23,4,53,25,11,15,3,19,0,155,0,0,0,0,0,0,0,0,0,0,6,3,3,3,0,4,4,3,0,30,11,6,38,21,12,18,15,45,29,196,322,626,513,404,248,187,107,303,51,2748
110021192,5,0,12,3,0,3,4,11,0,43,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,10,10,4,6,3,3,6,6,8,4,56,299,159,133,128,108,55,43,117,31,1068
110021193,17,0,21,6,3,0,0,11,0,65,3,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,0,0,6,21,3,4,12,9,3,10,11,11,82,399,254,166,144,130,45,56,131,24,1358
110021194,10,3,25,12,7,16,6,21,0,97,0,0,0,0,0,0,0,0,0,0,9,4,0,3,0,0,0,4,0,14,15,3,3,11,5,3,7,15,9,79,294,248,203,177,137,66,81,160,34,1394
110031195,18,4,44,28,9,8,9,7,0,126,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,0,17,14,10,15,11,12,13,10,14,11,114,257,503,374,256,231,115,102,108,36,1983
110031196,12,0,11,3,7,3,6,9,0,47,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,4,3,16,22,4,7,5,10,6,9,8,4,75,479,192,132,117,153,44,98,123,21,1348
110031197,9,4,36,19,8,3,4,12,0,92,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,7,0,0,15,15,9,12,0,16,16,21,16,10,113,217,459,380,206,212,89,140,133,35,1876
110031198,13,0,16,9,8,3,0,3,0,52,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,7,17,3,7,3,3,7,13,19,7,70,298,209,137,103,115,48,79,90,32,1120
110041199,9,3,38,22,5,9,25,12,0,136,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,4,0,0,24,15,7,19,10,3,21,23,23,9,132,290,511,456,260,256,139,282,133,38,2369
110041200,10,0,14,5,5,0,6,6,0,53,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,3,4,0,16,15,3,14,5,5,0,11,17,7,84,308,180,171,102,105,28,109,88,20,1107
