SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50536,73,42,40,56,42,49,43,43,51,443,456,369,353,364,356,438,352,321,232,3246
SAL50537,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,3,0,0,17
SAL50538,13,0,3,0,0,3,3,0,0,27,28,5,7,10,10,11,8,0,0,80
SAL50539,14,3,9,11,7,8,3,3,3,62,93,38,48,42,62,51,49,12,6,406
SAL50540,0,0,0,3,0,3,0,0,0,12,57,46,44,47,18,25,12,3,0,262
SAL50541,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
SAL50542,26,30,23,38,60,38,21,13,4,252,435,360,185,308,555,504,293,142,37,2818
SAL50543,0,0,0,0,0,4,4,0,0,8,17,4,4,13,3,15,17,5,0,85
SAL50544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,21
SAL50545,0,0,0,0,7,0,0,0,0,9,4,5,5,6,8,10,7,0,0,49
SAL50546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50548,17,3,13,17,6,7,7,3,0,79,211,74,93,129,92,115,108,65,13,902
SAL50549,0,0,5,0,0,0,0,0,0,7,7,0,9,0,0,5,7,0,0,33
SAL50550,162,106,123,120,99,63,54,35,9,759,1747,1187,1361,1282,1109,916,804,398,98,8897
SAL50551,13,19,8,20,8,15,10,4,0,97,218,143,107,130,152,157,107,61,14,1079
SAL50552,15,22,13,31,43,19,17,11,12,185,498,309,225,333,443,395,367,163,56,2789
SAL50553,49,26,44,28,38,23,14,6,0,226,697,358,517,417,377,404,254,100,26,3143
SAL50554,0,0,0,0,0,0,3,0,0,12,6,4,0,3,4,12,9,4,0,47
SAL50555,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,4,0,0,0,25
SAL50556,26,15,37,29,15,16,23,5,0,170,360,273,745,560,205,146,186,77,68,2628
SAL50557,14,3,10,12,5,10,6,6,3,74,243,102,146,132,131,112,90,28,21,1009
SAL50558,0,0,0,0,0,0,0,0,0,4,18,11,6,11,20,25,10,4,0,112
SAL50559,0,3,0,0,0,3,3,0,0,9,21,4,9,9,5,11,11,12,0,97
SAL50560,0,0,0,0,0,0,0,0,0,7,8,5,5,6,3,4,6,6,0,44
SAL50561,16,12,6,5,11,23,12,12,0,94,152,182,76,93,148,248,250,164,32,1347
SAL50562,8,8,4,5,22,12,13,0,0,78,101,53,55,71,121,73,46,9,3,525
SAL50563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SAL50564,18,7,5,5,7,8,11,10,0,65,122,49,73,83,58,85,71,18,12,568
SAL50565,0,0,4,0,0,3,0,0,0,4,6,4,8,7,0,9,0,0,0,30
SAL50566,115,77,73,68,75,24,12,12,0,462,1440,877,899,853,742,473,253,125,15,5681
SAL50567,0,0,0,0,0,9,3,0,6,17,22,14,11,12,23,62,74,37,10,258
SAL50568,0,0,0,5,0,0,0,0,0,10,0,0,3,5,11,10,0,3,0,29
SAL50569,13,13,8,8,6,15,14,12,0,80,79,45,40,59,46,86,102,49,20,508
SAL50570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15
SAL50571,26,21,8,25,36,24,27,13,3,187,545,327,184,374,510,482,508,321,75,3323
SAL50572,0,0,0,0,5,0,0,0,0,4,9,3,0,8,5,8,5,0,0,33
SAL50573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50574,407,208,251,270,260,187,167,148,113,1997,4316,2476,2821,3011,2556,2225,1888,1281,584,21149
SAL50575,5,0,0,4,8,5,5,0,0,26,35,27,21,31,47,31,31,10,8,238
SAL50576,0,0,0,0,0,3,0,0,0,7,0,6,7,3,4,7,7,0,0,38
SAL50577,0,0,0,0,0,4,0,0,0,7,20,8,13,16,21,15,7,8,0,113
SAL50578,0,3,0,0,0,10,0,0,0,14,18,17,11,21,18,36,23,17,0,158
SAL50579,0,0,3,0,0,3,8,7,0,23,16,10,19,12,24,49,93,58,10,293
SAL50580,0,0,0,0,0,0,3,0,0,3,13,3,13,11,0,11,8,0,0,62
SAL50581,0,0,0,0,0,0,0,0,0,0,7,9,11,4,8,4,7,7,0,57
SAL50582,12,5,0,5,6,3,3,0,0,38,62,32,27,42,32,68,57,37,7,365
SAL50583,190,111,96,96,98,86,78,106,112,985,1701,1054,996,959,1104,1255,1192,1106,506,9869
SAL50584,0,0,0,0,0,0,0,0,0,5,10,3,7,7,4,10,3,0,0,46
SAL50585,39,20,30,20,21,23,12,16,16,199,466,269,263,302,326,365,306,255,123,2666
SAL50586,7,4,6,12,12,10,8,0,0,52,66,34,26,50,58,64,31,23,0,344
SAL50587,120,63,60,102,107,70,60,34,7,635,1960,1020,1099,1500,1384,986,1249,553,100,9861
SAL50588,0,0,0,0,0,4,0,0,0,3,5,0,3,0,3,4,3,0,0,23
SAL50589,0,0,0,0,0,0,3,0,0,4,3,0,4,3,3,14,14,3,0,53
SAL50590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
SAL50591,13,0,6,0,0,0,0,0,0,24,50,24,24,12,25,18,9,0,0,156
SAL50592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50593,0,0,0,0,0,5,5,0,0,13,22,4,18,6,6,38,33,24,5,158
SAL50594,11,15,10,18,27,19,13,5,8,135,310,257,181,233,321,310,206,136,96,2040
SAL50595,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5
SAL50596,0,0,0,0,0,0,0,0,0,0,7,0,10,5,0,11,0,0,0,30
SAL50597,0,0,0,0,0,0,0,0,0,0,15,4,4,4,4,0,0,0,0,41
SAL50598,3,0,0,0,3,0,0,3,0,11,15,5,5,8,18,19,10,8,0,83
SAL50599,49,33,28,36,36,35,33,29,35,313,1139,528,407,787,786,543,498,411,292,5391
SAL50600,0,4,0,0,0,3,0,0,0,8,13,4,6,7,5,11,13,4,0,52
SAL50601,0,0,4,0,0,0,0,0,0,4,9,3,8,3,4,9,7,3,0,55
SAL50602,110,28,47,39,39,25,15,6,3,312,401,238,267,229,190,137,75,30,3,1572
SAL50603,193,116,128,143,180,150,117,111,60,1194,2601,1622,1281,1625,1977,2115,1892,1045,317,14474
SAL50604,0,0,6,4,3,8,4,4,0,29,52,36,29,34,44,52,34,6,0,286
SAL50605,6,0,0,3,4,0,0,0,0,10,9,5,0,9,17,13,6,3,0,58
SAL50606,3,0,0,0,6,0,0,0,0,5,4,0,8,0,0,7,0,0,0,23
SAL50607,44,31,31,44,44,16,29,14,8,272,1027,496,673,752,646,518,665,357,70,5209
SAL50608,0,21,31,21,22,19,5,0,0,134,8,33,47,36,36,23,8,0,0,197
SAL50609,159,118,168,158,143,123,97,80,71,1108,1725,1251,1780,1704,1493,1316,1109,636,320,11327
SAL50610,97,60,92,92,39,18,3,0,0,398,1943,735,1409,1514,706,400,221,54,15,6985
SAL50611,35,21,33,30,23,15,15,4,0,178,607,254,422,375,296,246,143,55,13,2410
SAL50612,4,0,0,0,0,4,4,0,0,15,16,13,3,10,16,21,12,0,0,98
SAL50613,134,58,84,123,68,55,32,4,0,562,3382,1160,1777,2721,1249,768,457,130,29,11667
SAL50614,0,0,3,0,0,3,0,0,0,4,12,10,4,3,4,12,5,3,0,52
SAL50615,55,34,32,26,50,41,32,32,18,307,607,320,440,409,452,412,394,292,138,3462
SAL50616,0,0,0,0,0,0,0,0,0,5,5,5,0,3,12,4,0,0,0,41
SAL50617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50618,8,8,6,3,10,10,5,3,0,55,79,37,29,45,61,109,83,35,4,493
SAL50619,47,7,50,23,14,9,4,0,0,160,667,297,590,436,236,103,65,16,3,2417
SAL50620,9,8,29,9,14,19,13,9,0,98,116,86,130,85,120,143,148,76,27,935
SAL50621,7,0,0,0,4,0,3,0,0,19,23,0,6,12,13,13,16,4,0,83
SAL50622,96,63,81,80,62,56,33,14,5,490,1408,707,1155,1154,810,735,624,239,71,6898
SAL50623,42,33,39,24,39,40,33,18,4,269,726,477,499,457,521,550,532,308,65,4130
SAL50624,7,0,0,0,0,4,0,3,0,12,5,0,7,9,9,3,5,3,0,36
SAL50625,42,22,15,31,28,28,19,3,0,188,464,364,234,302,401,373,229,110,24,2500
SAL50626,0,0,0,0,3,0,3,0,0,6,28,12,13,11,23,30,26,4,0,142
SAL50627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50628,20,13,9,9,25,13,21,9,0,124,261,160,158,163,221,223,225,108,28,1542
SAL50629,0,4,0,0,9,3,4,0,0,31,64,45,27,46,74,84,51,40,4,438
SAL50630,0,0,0,0,0,0,0,0,0,9,24,13,8,13,9,16,16,8,0,101
SAL50631,7,0,0,0,4,0,0,0,0,16,39,0,10,18,17,14,20,3,0,127
SAL50632,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,3,0,0,0,19
SAL50633,192,101,165,114,115,113,58,40,20,906,2318,1461,1733,1675,1554,1490,1050,678,246,12198
SAL50634,5,0,3,6,5,0,0,4,0,22,47,19,23,31,42,48,25,18,0,247
SAL50635,22,18,85,37,33,19,9,7,0,228,214,232,749,399,260,227,163,76,22,2326
SAL50636,87,24,81,56,21,19,6,0,0,298,1150,481,1008,679,405,258,128,48,3,4165
