SAL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL10001,13,8,15,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,3,4,9,0,5,6,15,15,29
SAL10002,1580,1604,3183,47,48,99,246,270,511,0,5,9,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,248,277,528,41,50,95,4,4,10,351,384,734,56,49,107,1985,2043,4020
SAL10003,1461,1638,3095,186,215,401,528,596,1127,12,3,18,10,10,18,0,0,0,0,4,8,0,0,0,0,0,5,0,5,6,0,0,0,563,618,1175,67,89,157,12,5,19,824,933,1756,122,175,305,2410,2745,5155
SAL10004,305,339,649,76,57,132,111,118,224,0,4,4,7,3,11,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,122,123,243,3,10,12,0,0,0,196,195,388,12,12,24,514,547,1065
SAL10005,13,8,14,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,7,0,5,0,0,0,12,14,21
SAL10006,678,693,1374,182,187,367,226,251,474,4,6,10,3,7,15,0,0,0,0,6,6,0,0,0,0,0,0,4,6,6,0,0,0,239,267,508,7,11,15,8,11,17,433,474,901,40,49,89,1153,1217,2369
SAL10007,621,574,1193,110,110,217,169,191,362,4,0,3,4,5,10,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,182,200,379,5,15,19,12,5,16,299,328,628,52,53,109,978,957,1937
SAL10008,45,39,79,4,9,10,4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0,0,0,0,0,0,11,13,26,6,6,9,64,56,117
SAL10009,1353,1412,2770,325,388,709,979,1059,2039,14,20,34,42,47,93,0,9,6,5,7,11,5,0,9,0,5,7,6,6,11,0,0,0,1057,1149,2207,37,44,78,24,24,50,1437,1608,3045,102,101,198,2899,3122,6018
SAL10010,751,731,1481,104,111,219,269,248,517,0,0,0,7,7,16,0,0,3,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,276,265,542,4,3,10,13,9,18,398,388,789,67,38,103,1213,1157,2368
SAL10011,109,86,195,3,6,7,44,36,79,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,39,86,0,0,0,0,0,0,50,42,95,6,3,8,168,133,305
SAL10012,9,3,13,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,3,4,6,0,7,10,13,17,29
SAL10013,9,10,13,0,0,0,0,0,4,0,0,0,7,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,0,0,0,0,0,0,3,6,13,4,4,3,14,15,30
SAL10014,1101,1110,2205,20,24,40,453,428,883,3,3,6,0,9,10,3,3,9,4,3,8,0,0,0,4,6,4,6,0,3,0,0,0,473,456,929,91,108,197,7,3,15,592,588,1182,20,18,27,1706,1715,3422
SAL10015,101,86,182,10,6,18,22,24,44,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,0,0,0,27,35,64,4,3,6,0,0,0,46,45,87,33,29,64,181,156,337
SAL10016,1469,1569,3034,133,146,279,913,1009,1922,24,25,48,44,45,94,14,17,31,7,9,21,5,0,3,13,15,27,22,23,47,0,0,0,1046,1144,2186,97,95,184,20,24,43,1300,1411,2704,131,124,258,2899,3094,5991
SAL10017,1728,1719,3447,127,115,239,587,589,1175,17,14,31,25,23,52,9,4,14,4,6,12,0,5,4,6,0,11,14,17,30,0,0,0,660,664,1323,54,58,115,5,19,25,846,855,1704,58,58,119,2638,2630,5268
SAL10018,283,290,578,35,35,77,62,59,119,3,6,3,3,7,12,0,0,6,3,5,7,0,0,0,0,0,6,8,3,12,0,0,0,84,83,165,8,9,15,0,3,5,137,130,266,27,31,57,451,453,901
SAL10019,37,24,60,0,0,4,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,7,5,9,11,9,25,51,39,97
