SAL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,8
SAL10002,10,0,12,11,15,5,0,5,3,62,0,0,0,0,0,0,0,0,0,3,6,4,3,0,7,0,0,0,0,16,0,0,5,5,0,0,0,0,0,22,233,425,200,101,226,85,47,50,21,1372
SAL10003,9,0,9,0,16,8,0,0,0,50,0,0,0,0,0,0,0,0,0,4,10,5,6,3,0,4,0,0,0,28,4,4,0,7,5,3,0,4,11,40,523,910,167,91,297,134,24,36,40,2219
SAL10004,4,3,6,7,5,3,3,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,130,63,45,68,26,15,24,0,463
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
SAL10006,4,4,18,13,0,4,3,12,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,42,81,141,143,66,36,69,58,15,647
SAL10007,5,0,10,5,0,4,6,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,10,0,0,6,0,0,0,4,0,0,14,44,69,155,62,50,14,83,55,11,537
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,25,7,4,3,6,4,4,5,0,42
SAL10009,9,5,52,41,22,16,14,18,3,173,0,0,0,0,0,4,0,0,0,4,3,3,0,3,9,4,4,4,0,28,4,0,10,11,4,0,14,3,7,50,230,472,468,374,282,113,185,100,32,2255
SAL10010,5,0,19,7,3,9,4,8,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,3,0,0,0,7,0,4,23,61,91,170,96,88,32,77,53,5,675
SAL10011,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,12,29,16,14,6,17,6,0,108
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,7,0,7
SAL10014,7,0,18,8,12,4,3,3,0,52,0,0,0,0,0,0,0,0,0,3,4,6,0,10,8,0,4,0,0,28,0,7,5,5,3,3,4,0,8,36,216,529,158,151,246,69,62,58,23,1516
SAL10015,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,15,17,11,12,0,4,8,3,93
SAL10016,8,4,53,30,12,8,6,10,0,133,0,0,0,0,0,0,0,0,0,6,9,7,10,0,7,0,0,3,0,35,3,3,3,8,5,0,0,0,7,40,332,1016,343,264,313,106,66,94,14,2559
SAL10017,11,4,30,21,9,4,4,9,0,90,0,0,0,0,0,0,0,0,0,0,5,9,3,3,0,3,0,3,0,31,9,8,8,3,10,8,0,5,5,52,354,890,276,205,241,79,55,69,28,2203
SAL10018,0,0,0,0,3,3,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,18,40,41,48,31,29,8,22,28,8,256
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,23
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
SAL10021,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,5,0,0,0,0,5,10,47,69,62,37,46,16,22,16,8,322
SAL10022,0,0,11,5,0,4,5,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,3,5,0,4,0,3,3,3,5,25,35,68,60,85,42,32,37,33,6,399
SAL10023,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,3,3,0,3,0,7,0,38
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,4,0,0,0,0,0,0,23
SAL10025,26,4,82,57,35,33,24,27,3,282,0,0,0,0,0,0,0,0,0,3,7,8,10,3,5,3,3,3,0,42,8,4,17,8,8,10,8,7,16,88,443,972,941,752,612,276,329,266,65,4663
SAL10026,11,3,39,22,11,12,12,9,0,113,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,6,0,17,3,3,9,3,15,5,5,7,16,69,189,305,384,394,235,96,147,139,32,1928
SAL10027,14,0,50,12,12,5,0,10,0,112,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,3,0,24,4,3,6,0,3,4,0,9,4,36,339,708,219,184,223,90,51,59,29,1906
SAL10028,4,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,8,29,35,28,51,21,15,11,12,0,202
SAL10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,4,0,5,0,3,3,0,51
SAL10030,30,8,58,23,18,15,6,9,0,163,3,0,0,0,0,0,0,0,0,7,25,39,10,7,9,7,0,4,0,108,12,25,7,0,11,9,3,0,20,91,1271,2764,380,289,556,285,74,99,72,5795
SAL10031,3,0,7,9,14,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,0,0,0,0,17,0,3,4,0,9,0,0,3,5,20,229,386,164,93,192,48,31,33,9,1183
SAL10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,4,6,6,0,0,5,0,43
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,0,4,0,0,0,0,19
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,5,5,0,0,0,0,38
SAL10036,14,4,34,24,4,3,0,5,0,86,0,0,0,0,0,0,0,0,0,0,15,12,5,4,3,0,0,0,4,45,0,3,4,0,5,0,0,3,3,33,684,934,303,257,306,133,42,69,37,2762
SAL10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,0,0,0,0,30
SAL10038,6,0,31,15,12,9,9,21,0,95,3,0,0,0,0,0,0,0,0,6,6,6,0,6,5,5,4,4,4,39,3,3,10,5,3,0,5,5,12,43,216,646,224,246,255,162,90,175,38,2052
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,6,4,0,0,0,0,0,20
SAL10040,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,10,4,0,3,5,0,46
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,3,12,5,11,0,7,7,0,49
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,7,0,0,20
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,18
SAL10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,9,4,4,3,0,5,0,66
SAL10045,0,0,3,6,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,49,33,29,19,9,0,3,0,181
SAL10046,15,0,29,27,10,10,0,11,0,105,0,0,0,0,0,0,0,0,0,0,5,3,3,7,3,6,0,6,0,29,5,4,3,0,7,4,7,3,8,44,227,511,258,271,214,76,53,109,24,1753
SAL10047,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,0,0,0,0,7,3,32
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,3,4,0,17
SAL10049,11,4,19,13,8,14,7,9,0,79,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,0,3,0,19,0,6,8,3,6,9,7,12,6,48,172,297,251,244,214,122,128,113,32,1573
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,4,0,0,0,0,10
SAL10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,3,18
SAL10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,15
SAL10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,0,4,0,23
SAL10056,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,6,5,0,10,6,0,58
SAL10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4
SAL10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,10
SAL10059,0,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,8,7,3,5,0,6,0,62
SAL10060,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,21,3,8,0,5,5,5,86
SAL10061,0,0,27,7,7,10,5,8,0,69,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,0,0,0,3,22,0,0,3,6,0,5,6,0,8,26,118,210,254,172,131,79,50,76,25,1117
SAL10062,18,7,20,9,11,7,3,0,0,80,0,0,0,0,0,0,0,0,0,4,27,19,0,5,11,8,0,0,4,79,6,13,3,6,4,4,0,0,10,45,1031,2277,275,241,439,200,38,58,57,4612
SAL10063,0,4,3,5,4,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,16,114,119,106,40,72,21,10,24,7,522
SAL10064,6,0,28,8,7,6,6,3,0,63,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,8,0,0,4,4,4,0,0,5,11,25,143,220,225,116,140,49,65,51,22,1034
SAL10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,17
SAL10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,6
SAL10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,10
SAL10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,6,3,6,0,0,0,37
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
SAL10070,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,33,23,24,17,4,5,5,0,137
SAL10071,0,0,3,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,16,7,7,4,7,8,6,0,65
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SAL10073,7,0,13,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,0,0,0,9,135,169,73,45,53,31,10,29,6,556
SAL10074,3,0,12,4,9,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,3,0,5,0,0,4,10,55,99,105,67,54,23,32,21,8,468
SAL10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,12
SAL10076,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,9,7,11,4,5,3,0,73
SAL10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,29,12,11,20,7,4,7,5,0,92
SAL10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,9
SAL10079,4,0,12,8,4,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,17,24,58,81,53,32,27,25,30,4,342
SAL10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,5,11,0,0,0,4,0,48
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8
SAL10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,29,15,13,9,4,3,13,0,118
SAL10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,14
SAL10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SAL10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,8,3,0,0,3,0,40
SAL10086,39,7,152,51,27,37,6,43,0,361,0,0,0,0,0,0,0,0,0,9,12,28,3,13,12,4,6,12,0,97,11,20,21,16,23,7,9,15,20,145,1029,2637,937,964,845,339,191,506,91,7544
SAL10087,29,7,64,26,23,13,13,18,5,198,0,0,0,0,0,0,0,3,0,8,8,18,10,5,10,0,0,3,0,53,11,9,13,8,6,13,3,16,11,91,600,1414,460,365,568,244,164,264,79,4152
SAL10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,5,20,8,10,8,3,3,33,4,86
SAL10090,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,26,33,24,15,6,19,0,213
SAL10091,13,6,31,11,15,6,4,3,0,93,0,0,0,0,0,0,0,0,0,0,11,13,5,3,3,3,6,0,0,44,4,8,6,9,7,0,0,0,17,59,726,2127,235,245,479,185,66,93,66,4223
SAL10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,18
SAL10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10
SAL10094,11,0,11,5,5,3,0,4,0,39,0,0,0,0,0,0,0,0,0,0,10,8,7,0,7,0,0,0,0,24,0,5,0,0,7,0,0,3,3,20,273,497,111,68,166,61,26,34,11,1239
SAL10095,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,13,5,9,0,4,3,0,64
SAL10096,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,13,10,5,7,6,5,0,76
SAL10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL10098,0,0,6,0,4,4,0,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,5,7,5,3,0,0,5,13,41,21,72,61,67,51,18,53,39,19,401
SAL10099,40,17,124,61,25,35,11,43,5,363,0,0,4,0,0,0,0,8,0,17,31,64,20,18,40,13,11,16,3,222,17,34,21,22,22,15,10,21,46,207,1216,4086,867,946,1189,545,252,553,156,9813
SAL10100,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,13,38,15,16,22,14,4,9,12,5,127
SAL10101,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,26,9,13,0,4,7,0,96
SAL10102,9,0,15,13,0,10,0,15,0,75,0,0,0,0,0,0,0,0,0,3,6,0,0,3,4,0,0,4,0,13,0,0,6,8,3,0,7,13,10,42,57,105,129,131,69,53,55,106,19,729
SAL10103,4,3,20,17,5,3,4,4,0,82,0,0,0,0,0,0,0,0,0,3,0,0,5,4,4,4,4,0,0,20,0,4,0,5,6,0,4,3,3,33,220,463,284,190,209,82,99,66,21,1629
SAL10104,9,3,24,20,13,6,6,11,0,92,0,4,0,0,0,0,0,0,0,4,12,6,5,0,11,0,0,3,0,44,8,4,11,6,0,0,3,4,4,38,392,1113,265,285,345,143,57,89,25,2717
SAL10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,0,0,0,0,18
SAL10106,4,0,3,0,0,0,3,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,9,32,31,39,12,19,10,11,22,6,177
SAL10107,30,5,140,38,24,36,27,54,7,353,0,0,0,6,3,8,7,8,4,37,8,22,11,17,21,9,13,27,3,122,12,12,44,40,17,25,41,45,112,351,631,2021,1026,1471,877,704,698,1159,271,8857
SAL10108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,16,11,0,0,0,4,0,49
SAL10109,3,0,5,8,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,19,6,4,0,0,0,0,0,0,0,17,190,520,108,84,102,31,24,16,14,1099
SAL10110,8,4,18,20,18,14,13,10,5,102,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,24,6,0,10,3,8,8,4,0,10,49,252,667,264,211,315,133,128,99,41,2106
SAL10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,9,3,3,0,0,3,0,35
SAL10112,20,6,38,19,30,15,4,4,0,140,0,0,0,0,0,0,0,0,0,3,15,22,0,3,3,4,3,4,4,67,15,7,8,9,6,7,0,8,12,77,916,1298,451,259,396,201,59,127,66,3772
SAL10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,9
SAL10114,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,20,12,7,6,3,0,11,3,79
SAL10115,11,4,12,17,8,10,6,5,0,73,0,0,0,0,0,0,0,0,0,3,7,7,3,0,3,0,0,0,0,26,3,6,3,4,3,0,0,3,3,27,307,687,209,156,198,76,30,49,12,1728
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,4,0,7,6,0,3,0,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,6,0,0,9,64,107,110,92,71,29,35,30,12,537
SAL10118,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,18,17,9,5,7,7,3,0,0,73
SAL10119,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,25,12,19,3,16,9,0,128
SAL10120,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,12,12,8,9,4,9,0,78
SAL10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,0,6,0,7,0,0,35
SAL10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
