SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL31041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31042,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,4
SAL31043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL31044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31045,0,0,0,0,0,0,0,0,0,144,69,24,232,4,9,13,243,86,0,334
SAL31046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31047,0,5,3,0,3,6,3,6,11,130,73,23,226,11,8,24,247,103,0,354
SAL31048,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,6
SAL31049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
SAL31050,0,0,0,0,0,0,0,0,0,7,8,3,21,0,0,0,21,10,0,30
SAL31051,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,3
SAL31052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31054,0,0,0,0,0,0,0,0,0,90,57,7,149,7,3,9,159,63,0,218
SAL31055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31057,0,0,0,0,0,0,0,0,4,3,4,0,4,0,0,0,9,4,0,15
SAL31058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31059,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SAL31060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL31061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL31062,0,0,0,0,0,0,0,0,0,15,15,3,34,0,0,0,34,17,0,49
SAL31063,0,0,0,0,0,0,0,0,0,12,5,3,23,3,3,5,30,20,0,44
SAL31064,0,3,0,0,0,3,3,6,12,426,223,52,697,34,14,47,749,364,6,1116
SAL31065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31066,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,3
SAL31067,0,0,0,0,0,0,0,0,0,32,8,3,41,4,0,4,42,27,0,67
SAL31068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL31069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31072,0,0,0,0,0,0,0,0,0,15,5,0,22,0,0,0,26,22,0,43
SAL31073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL31074,0,0,0,0,0,0,0,0,0,69,30,3,100,12,0,14,113,35,0,155
SAL31075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31079,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5
SAL31080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31083,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,3
SAL31084,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,6,0,0,8
SAL31085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL31086,0,0,0,0,0,0,3,5,10,159,97,13,265,6,15,24,289,143,9,436
SAL31087,0,0,0,0,0,0,0,0,0,66,45,4,109,0,0,0,112,19,0,127
SAL31088,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,4
SAL31089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SAL31093,0,0,0,0,0,0,0,4,0,17,18,6,56,11,8,14,66,74,4,146
SAL31094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31098,0,0,0,0,0,0,0,5,9,38,32,8,72,8,9,11,88,75,8,163
SAL31099,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,5,4,0,5
SAL31100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5
SAL31101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31102,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,5
SAL31103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31104,0,0,0,0,0,0,0,5,5,76,75,27,179,9,12,21,207,157,11,368
SAL31105,0,3,0,0,0,3,0,0,3,21,19,7,43,0,0,0,44,25,0,72
SAL31106,0,0,0,0,0,0,0,0,0,18,18,0,39,0,4,6,48,36,0,86
SAL31107,0,0,0,0,0,0,0,0,0,66,37,4,105,6,4,4,115,53,0,162
SAL31108,0,0,0,0,0,0,0,0,0,74,52,18,146,5,3,4,147,66,0,212
SAL31109,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,13,4,0,11
SAL31110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10
SAL31115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL31118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31123,0,0,0,0,0,0,0,0,0,35,25,4,67,0,0,0,68,27,0,90
SAL31124,0,0,0,0,0,0,0,0,6,16,14,0,29,5,0,7,33,24,0,60
SAL31125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL31126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31129,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,3,9,4,0,16
SAL31130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31131,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,7,0,0,7
SAL31132,0,0,0,0,0,0,0,0,3,16,11,3,35,0,0,0,32,26,0,58
