ASGS_Structure,Census_Code_2016,AGSS_Code_2016,Census_Name_2016,Area sqkm
SA3,10702,10702,Illawarra Catchment Reserve,744.3423
SA3,10703,10703,Kiama - Shellharbour,390.7983
SA3,10704,10704,Wollongong,240.0822
SA3,10801,10801,Great Lakes,3133.0446
SA3,10802,10802,Kempsey - Nambucca,5339.3249
SA3,10803,10803,Lord Howe Island,16.2918
SA3,10804,10804,Port Macquarie,3687.77
SA3,10805,10805,Taree - Gloucester,6675.0682
SA3,10901,10901,Albury,5597.4849
SA3,10902,10902,Lower Murray,63968.2369
SA3,10903,10903,Upper Murray exc. Albury,28231.9536
SA3,11001,11001,Armidale,16395.6492
SA3,11002,11002,Inverell - Tenterfield,30568.6383
SA3,11003,11003,Moree - Narrabri,32026.5412
SA3,11004,11004,Tamworth - Gunnedah,20155.0876
SA3,11101,11101,Lake Macquarie - East,138.0858
SA3,11102,11102,Lake Macquarie - West,507.6329
SA3,11103,11103,Newcastle,224.8933
SA3,11201,11201,Richmond Valley - Coastal,1572.8877
SA3,11202,11202,Richmond Valley - Hinterland,7390.5986
SA3,11203,11203,Tweed Valley,1307.6562
SA3,11301,11301,Griffith - Murrumbidgee (West),28859.6885
SA3,11302,11302,Tumut - Tumbarumba,9174.7645
SA3,11303,11303,Wagga Wagga,18950.5659
SA3,11401,11401,Shoalhaven,4374.4257
SA3,11402,11402,Southern Highlands,2330.0144
SA3,11501,11501,Baulkham Hills,72.0257
SA3,11502,11502,Dural - Wisemans Ferry,569.2386
SA3,11503,11503,Hawkesbury,2492.0101
SA3,11504,11504,Rouse Hill - McGraths Hill,118.2241
SA3,11601,11601,Blacktown,56.3066
SA3,11602,11602,Blacktown - North,103.0669
SA3,11603,11603,Mount Druitt,82.7116
SA3,11701,11701,Botany,27.7978
SA3,11702,11702,Marrickville - Sydenham - Petersham,12.6699
SA3,11703,11703,Sydney Inner City,25.0641
SA3,11801,11801,Eastern Suburbs - North,26.1849
SA3,11802,11802,Eastern Suburbs - South,31.5481
SA3,11901,11901,Bankstown,68.6674
SA3,11902,11902,Canterbury,29.9646
SA3,11903,11903,Hurstville,33.9553
SA3,11904,11904,Kogarah - Rockdale,31.3479
SA3,12001,12001,Canada Bay,19.7471
SA3,12002,12002,Leichhardt,10.6577
SA3,12003,12003,Strathfield - Burwood - Ashfield,34.1433
SA3,12101,12101,Chatswood - Lane Cove,33.1739
SA3,12102,12102,Hornsby,137.3989
SA3,12103,12103,Ku-ring-gai,85.5466
SA3,12104,12104,North Sydney - Mosman,18.9756
SA3,12201,12201,Manly,14.3455
SA3,12202,12202,Pittwater,90.6495
SA3,12203,12203,Warringah,149.2124
SA3,12301,12301,Camden,73.8688
SA3,12302,12302,Campbelltown (NSW),334.2221
SA3,12303,12303,Wollondilly,870.3604
SA3,12401,12401,Blue Mountains,942.4079
SA3,12402,12402,Blue Mountains - South,2456.9093
SA3,12403,12403,Penrith,356.8585
SA3,12404,12404,Richmond - Windsor,178.8387
SA3,12405,12405,St Marys,33.1146
SA3,12501,12501,Auburn,33.0601
SA3,12502,12502,Carlingford,25.6874
SA3,12503,12503,Merrylands - Guildford,55.7969
SA3,12504,12504,Parramatta,47.0914
SA3,12601,12601,Pennant Hills - Epping,22.1743
SA3,12602,12602,Ryde - Hunters Hill,47.1626
SA3,12701,12701,Bringelly - Green Valley,291.4688
