SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL51190,1646,1682,3330,29,25,56,10,17,29,8,8,18,6,4,8,3,4,6,278,317,593,0,0,0,0,3,3,0,0,4,0,0,0,303,358,661,21,28,46,5,3,6,354,409,762,162,144,310,2168,2229,4400
SAL51191,68,66,130,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,6,10,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,0,0,0,0,0,0,9,3,14,11,5,11,86,74,160
SAL51192,3669,3708,7379,55,54,117,16,12,29,7,7,17,10,11,21,0,0,0,312,337,653,0,0,0,0,0,0,0,0,0,0,0,0,347,378,719,20,19,36,8,10,20,428,458,890,138,100,238,4238,4268,8507
SAL51193,61,59,117,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,4,3,13,6,10,21,81,69,145
SAL51194,35,33,64,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,10,15,42,43,87
SAL51195,6,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18
SAL51196,24,15,34,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,6,4,13,0,0,3,30,17,50
SAL51197,2794,3281,6072,103,124,226,19,21,39,13,13,20,5,14,22,5,5,12,344,371,714,0,0,0,0,5,5,3,0,5,0,0,0,384,430,814,15,17,33,8,9,16,512,582,1093,161,157,316,3466,4020,7480
SAL51198,226,192,418,8,7,13,0,6,4,5,3,12,10,8,15,0,4,8,77,81,158,0,0,0,0,0,0,0,0,0,0,0,0,98,96,196,3,4,0,0,0,0,105,111,214,9,12,25,347,314,662
SAL51199,11,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,12,10,25
SAL51200,46,69,117,7,7,13,0,4,4,0,0,0,0,0,0,5,3,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,9,18,25,5,11,13,62,99,164
