SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL12285,5,0,0,0,0,4,0,0,0,11,0,0,0,0,4,0,0,0,0,16,28,45,43,91,119,88,31,10,0,454
SAL12286,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,9,4,0,0,0,20
SAL12287,3,8,7,7,10,4,0,0,0,45,3,3,12,6,4,4,0,0,0,33,90,89,161,223,226,138,45,0,0,978
SAL12288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,4,16,31,44,42,20,4,0,161
SAL12289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,3,0,0,26
SAL12290,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,3,4,12,14,0,0,0,48
SAL12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6
SAL12292,0,0,0,5,0,5,0,0,0,20,0,3,3,3,9,3,0,3,0,21,26,27,45,52,103,145,39,11,0,452
SAL12293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,5,0,0,14
SAL12294,0,0,0,0,0,0,0,0,0,7,0,0,4,7,8,9,0,0,0,23,9,41,149,102,81,82,38,14,0,516
SAL12295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,0,16
SAL12296,14,36,64,33,36,37,10,0,0,234,12,28,68,52,41,41,17,6,0,255,361,627,1294,1066,979,906,292,20,5,5536
SAL12297,0,0,0,3,3,0,3,0,0,13,0,3,0,0,4,4,4,0,0,20,26,24,68,63,83,104,27,4,0,393
SAL12298,4,5,5,4,12,6,3,0,0,46,4,0,8,11,7,7,0,0,0,39,61,86,196,250,286,305,70,6,0,1273
SAL12299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,11,13,15,5,0,0,48
SAL12300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,20,18,17,0,0,0,71
SAL12301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12302,17,22,40,30,33,22,6,4,0,169,14,24,47,31,31,34,10,3,0,193,316,378,840,773,803,775,216,29,5,4134
SAL12303,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,0,19
SAL12304,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,0,0,10,5,3,11,27,32,27,17,4,0,133
SAL12305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,15,15,5,7,0,66
SAL12306,9,18,56,60,45,21,13,0,0,233,4,25,74,73,68,31,13,0,0,290,206,608,2068,2405,1904,977,314,28,0,8511
SAL12307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL12308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,8,19,0,5,0,39
SAL12309,0,4,5,11,3,10,3,0,0,37,5,0,12,9,10,7,0,0,0,41,45,74,149,178,199,225,54,3,0,923
SAL12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,5,6,4,16,5,0,0,0,42
SAL12312,5,14,25,21,34,28,4,0,0,125,9,12,39,45,25,12,6,5,0,142,279,240,653,918,921,726,203,20,0,3964
SAL12313,4,5,12,20,3,3,5,0,0,53,0,4,4,15,11,6,5,0,0,48,104,113,198,308,325,206,64,10,0,1333
SAL12314,3,5,45,19,24,12,0,0,0,123,5,16,68,57,29,14,5,0,0,195,143,311,1451,1241,646,368,76,10,3,4258
SAL12315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,6,7,0,0,35
SAL12316,0,7,6,7,8,11,0,0,0,38,9,18,33,21,19,21,5,0,0,118,76,188,325,219,264,186,35,0,0,1293
SAL12317,0,9,30,33,26,28,6,0,0,135,14,31,55,60,40,29,3,0,0,239,175,337,947,1036,766,596,161,20,0,4036
SAL12318,0,0,6,16,9,4,6,0,0,46,3,8,11,10,9,20,10,0,0,70,74,106,218,315,463,413,209,38,3,1844
SAL12319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,7,0,0,0,14
SAL12320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,20
SAL12321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,3,12,12,20,13,8,4,0,75
SAL12322,0,6,25,18,10,11,3,0,0,69,0,4,31,19,9,7,0,0,0,75,38,202,883,617,384,235,58,9,0,2425
SAL12323,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,4,4,17,10,17,4,0,0,63
SAL12324,0,0,0,3,12,3,0,0,0,21,0,0,7,18,12,4,3,0,0,41,36,70,210,377,234,130,22,0,0,1079
SAL12325,0,15,95,83,47,51,11,0,0,303,6,104,342,181,112,85,12,0,0,844,178,1280,3966,2318,1523,1260,310,14,0,10854
SAL12326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12327,0,5,0,5,0,6,0,0,0,8,0,0,3,0,0,0,5,0,0,7,26,29,35,45,62,32,10,3,0,236
SAL12328,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,3,8,6,24,21,36,45,15,10,0,166
SAL12329,3,0,0,3,4,0,0,0,0,13,3,0,3,4,0,0,3,0,0,22,30,33,104,103,111,124,39,10,0,550
SAL12330,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,4,0,0,0,9,14,10,36,50,50,61,23,5,0,246
SAL12331,5,0,4,0,9,11,5,0,0,36,5,6,0,0,9,0,0,0,0,22,71,73,75,120,199,152,60,11,0,761
SAL12332,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,6,12,0,4,21,16,25,0,0,0,74
SAL12333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8
SAL12334,7,8,26,26,27,20,8,0,0,121,0,5,16,33,35,13,10,0,0,116,136,232,643,1050,1060,657,172,15,0,3958
SAL12335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL12336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,15,11,11,7,0,0,54
SAL12337,0,0,0,0,3,4,0,0,0,6,0,0,0,0,5,0,0,0,0,6,5,8,25,25,41,29,3,0,0,128
SAL12338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,3,0,0,0,19
SAL12339,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,20,8,12,14,0,0,63
SAL12340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,8,0,0,0,15
SAL12341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8
SAL12342,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,8,4,5,6,10,16,28,16,0,0,85
SAL12343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,5,0,0,20
SAL12344,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,13,11,17,32,48,64,48,20,0,0,240
SAL12345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,12,26,22,30,24,9,0,140
SAL12346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,8,0,3,0,0,16
SAL12347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10
SAL12348,7,12,19,26,29,24,5,0,0,121,10,17,33,65,58,22,21,3,0,223,205,431,857,1306,1271,842,277,51,0,5242
SAL12349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,5,5,0,0,21
SAL12350,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,7,12,14,12,32,54,49,24,0,0,192
SAL12351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,7
SAL12352,6,12,13,21,28,19,0,0,0,96,4,7,13,18,22,17,3,0,0,82,199,230,402,561,650,476,100,9,0,2626
SAL12353,3,3,16,3,18,11,0,0,0,51,5,4,18,11,9,9,0,0,0,60,99,126,324,289,274,232,67,8,0,1423
SAL12354,3,3,5,8,13,6,3,0,0,42,5,0,6,8,3,9,0,0,0,22,65,85,185,208,222,198,59,8,0,1026
SAL12355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,17,10,0,0,51
SAL12356,9,16,17,7,15,11,0,3,0,73,6,6,18,17,14,18,0,0,0,75,97,170,406,316,388,394,90,17,0,1874
SAL12357,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,3,0,0,20
SAL12358,0,4,18,18,19,8,0,5,0,76,0,0,26,33,17,17,8,4,0,100,69,114,485,644,528,350,125,23,0,2333
SAL12359,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,7,12,13,11,17,7,0,0,82
SAL12360,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,7,3,5,13,18,19,12,0,0,73
SAL12361,5,0,0,0,3,5,0,0,0,12,0,0,0,6,0,0,0,0,0,9,10,16,47,53,73,71,18,5,0,302
SAL12362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,15
SAL12363,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,4,0,7,7,5,0,0,0,38
SAL12364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL12365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,13,14,4,0,0,65
SAL12366,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,9,4,0,28
SAL12367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,10
SAL12368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12
SAL12369,0,0,3,5,4,0,0,0,0,14,0,0,6,3,3,0,0,0,0,16,12,42,64,65,65,68,8,3,0,328
SAL12370,6,31,90,71,47,26,5,0,0,274,19,72,195,166,110,86,11,0,0,653,283,1135,3283,2446,1588,1086,250,21,3,10090
SAL12371,3,0,6,0,6,6,3,0,0,26,0,0,3,8,7,4,0,0,0,22,88,99,204,239,320,199,56,5,0,1208
SAL12372,4,0,15,9,3,0,0,0,0,31,0,3,10,0,8,4,6,0,0,33,67,93,118,136,166,108,43,7,0,738
SAL12373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,7,12,5,8,0,0,57
SAL12374,0,8,12,10,8,5,0,0,0,50,0,0,4,0,3,0,0,0,0,17,66,67,243,190,154,101,23,0,0,861
SAL12375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,14
SAL12376,0,0,0,0,4,6,0,0,0,10,0,0,0,3,0,0,0,0,0,7,13,13,28,40,48,48,10,0,0,188
SAL12377,0,0,5,3,8,4,0,0,0,30,0,5,3,5,4,3,7,0,0,16,35,41,108,125,129,80,22,3,0,541
SAL12378,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,4,0,0,7,20,34,56,60,78,101,44,19,3,417
SAL12379,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,4,5,7,3,0,0,0,26
SAL12380,9,9,10,9,17,16,3,0,0,75,4,0,9,7,15,12,0,0,0,53,141,173,337,483,557,301,76,9,0,2072
SAL12381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,3,10,13,21,22,3,0,0,76
SAL12382,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,3,5,10,10,14,5,0,0,56
SAL12383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,12,6,0,0,37
SAL12384,7,13,21,29,25,12,0,0,0,121,12,12,13,20,26,13,9,0,0,107,154,227,356,380,430,329,103,8,0,1986
SAL12385,0,4,10,10,9,6,0,0,0,43,0,0,5,3,3,3,0,0,0,11,51,54,93,142,150,165,35,3,0,697
SAL12386,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,0,6,7,18,4,5,4,0,56
SAL12387,3,7,21,23,26,13,3,0,0,102,4,22,32,32,27,34,10,0,0,152,166,250,545,606,620,454,125,16,0,2783
SAL12388,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,6,4,4,3,0,0,23
SAL12389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12390,0,0,0,0,4,3,0,0,0,4,0,0,5,3,0,3,0,0,0,17,0,11,16,12,20,22,9,0,0,85
SAL12391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,7,3,0,0,0,25
SAL12392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL12393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,10,7,6,0,0,39
SAL12394,0,3,5,5,5,6,0,0,0,17,0,0,9,3,4,12,6,6,0,32,63,100,87,143,299,242,100,24,0,1052
SAL12395,6,0,0,4,3,3,0,0,0,16,5,0,0,0,6,0,0,0,0,10,31,15,34,67,66,58,39,3,0,316
SAL12396,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,0,11,4,5,51,55,38,52,20,9,0,241
SAL12397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,8,0,0,21
SAL12398,0,0,3,5,5,7,0,0,0,20,9,3,0,5,5,3,0,0,0,18,63,60,108,146,182,156,38,4,0,762
SAL12399,0,0,0,0,6,0,4,0,0,5,0,0,0,0,0,4,0,0,0,8,8,4,20,10,41,37,20,0,0,139
SAL12400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,4,17,10,0,0,55
SAL12401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,0,0,0,18
SAL12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL12403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,10,6,8,12,4,4,0,37
SAL12404,0,0,3,5,4,0,0,0,0,18,0,0,7,6,8,9,0,0,0,22,48,56,89,92,156,75,15,0,0,524
SAL12405,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,12,10,20,37,38,60,66,34,8,0,257
SAL12406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,9,0,6,8,7,22,10,3,0,57
SAL12407,0,0,0,0,0,0,0,0,0,8,0,0,3,0,5,0,0,0,0,8,7,7,24,17,25,33,16,0,0,124
SAL12408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,0,0,0,14
SAL12409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SAL12410,0,4,3,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,9,19,26,32,37,67,56,12,3,0,246
SAL12411,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,18,12,31,23,5,7,0,114
SAL12412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,0,0,18
SAL12413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,4,0,0,23
SAL12414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
SAL12415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11
SAL12416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,8,7,5,3,0,0,22
SAL12417,0,0,0,0,0,5,0,0,0,8,0,0,0,0,4,0,0,0,0,6,3,0,13,12,33,22,15,0,0,108
SAL12418,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,10,6,0,0,27
SAL12419,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,3,9,14,15,0,0,0,46
SAL12420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
SAL12421,4,0,0,3,5,10,4,0,0,27,0,3,3,0,3,0,3,0,0,22,27,21,46,47,92,76,28,0,0,341
SAL12422,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,10,6,14,12,14,0,0,63
SAL12423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,19,8,10,0,0,0,45
SAL12424,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,6,3,0,31
SAL12425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,0,4,0,0,0,24
SAL12426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12427,0,0,3,0,5,0,0,0,0,9,0,4,0,0,3,0,0,0,0,10,10,5,20,23,40,44,11,0,0,157
SAL12428,3,3,5,8,11,13,4,0,0,53,8,7,10,15,17,7,4,0,0,58,66,119,154,201,226,195,43,12,4,1018
SAL12429,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,7,15,16,21,21,7,3,4,105
SAL12430,7,16,10,22,37,22,4,4,0,106,0,14,14,22,30,24,6,0,0,107,136,280,454,510,723,565,172,24,0,2866
SAL12431,5,9,11,21,19,11,4,0,0,74,11,23,52,43,44,21,7,0,0,205,150,317,611,547,499,372,68,12,0,2575
SAL12432,0,0,0,0,0,4,0,0,0,3,0,4,0,4,0,3,0,0,0,6,3,14,10,29,26,22,11,0,0,119
SAL12433,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,6,9,4,8,11,0,0,0,48
SAL12434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,8,7,0,0,0,24
SAL12435,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,8,4,25,29,44,33,15,3,0,163
SAL12436,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,6,6,18,11,24,22,13,4,0,109
SAL12437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL12438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL12439,0,0,8,7,3,9,0,0,0,32,0,0,7,8,4,5,5,0,0,41,61,66,201,168,170,195,37,4,0,916
SAL12440,0,0,4,10,3,17,3,0,0,34,3,4,9,6,6,13,7,0,0,45,52,61,141,137,193,223,58,11,0,883
SAL12441,0,3,4,0,0,0,0,0,0,10,0,0,0,0,18,3,3,0,0,29,37,42,73,114,176,162,51,5,0,662
SAL12442,4,11,32,29,28,28,13,0,0,138,13,40,71,83,59,37,7,0,0,304,216,422,1031,1231,1014,767,170,11,0,4870
SAL12443,13,10,22,11,25,9,0,0,0,84,4,3,14,10,5,6,0,0,0,42,135,150,480,487,398,233,58,0,0,1944
SAL12444,0,0,0,3,3,3,0,0,0,14,0,4,4,4,6,8,0,0,0,28,43,82,113,127,197,182,37,10,0,779
SAL12445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12446,5,26,51,45,14,5,0,0,0,147,4,39,127,76,19,18,7,0,0,290,185,804,2767,1540,533,300,93,10,0,6242
SAL12447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
SAL12449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5
SAL12450,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,6,4,12,15,18,24,41,16,0,0,126
SAL12451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,6,0,0,0,17
SAL12452,0,0,0,0,5,0,0,0,0,4,0,0,7,0,0,0,3,0,0,11,7,17,26,44,81,74,25,6,0,280
SAL12453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,12,25,23,0,0,0,87
SAL12454,0,0,0,0,7,0,0,0,0,7,4,0,3,0,4,4,0,0,0,21,12,4,39,55,58,64,23,0,0,254
SAL12455,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,0,7,5,12,8,0,0,43
SAL12456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,3,0,0,29
SAL12457,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,4,4,3,16,17,23,12,0,0,0,83
SAL12458,0,6,8,8,10,7,0,0,0,45,0,0,0,4,11,11,3,0,0,35,43,76,191,174,206,123,36,9,0,859
SAL12459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,10
SAL12460,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,13,7,27,40,24,21,0,0,0,144
SAL12461,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,3,5,9,15,21,24,31,3,0,0,118
SAL12462,0,3,8,7,24,17,5,0,0,73,0,4,4,10,11,11,8,0,0,53,73,134,199,283,450,303,94,10,0,1544
SAL12463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,6
SAL12464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7
SAL12465,0,0,5,3,0,0,0,0,0,13,0,0,4,0,7,3,0,0,0,15,25,36,66,64,94,82,21,0,0,385
SAL12466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,5,0,0,0,25
SAL12467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,13,4,0,0,37
SAL12468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5
SAL12469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,13,12,0,0,0,54
SAL12470,0,0,0,4,0,0,0,0,0,7,0,0,0,6,4,0,0,0,0,6,9,9,20,20,35,24,16,0,0,131
SAL12471,4,0,5,6,9,14,0,0,0,33,3,0,0,3,5,10,0,0,0,31,57,46,107,157,197,188,56,8,0,809
SAL12472,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,3,3,16,12,13,10,3,0,0,58
SAL12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13
SAL12474,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,11,5,9,10,4,0,0,41
SAL12475,0,0,0,0,5,0,0,0,0,7,6,0,0,0,0,0,0,0,0,6,22,19,34,32,60,48,7,4,0,214
SAL12476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,9,3,0,37
SAL12477,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,3,0,0,0,13,4,7,36,16,37,42,18,9,0,171
SAL12478,4,7,5,11,3,9,3,0,0,42,0,7,6,7,13,7,0,0,0,46,88,129,273,301,330,214,57,0,0,1402
SAL12479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,10,0,0,0,28
SAL12480,0,3,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,6,9,13,22,25,43,36,16,0,0,160
SAL12481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,5,0,0,0,10
SAL12482,0,4,0,8,4,0,0,0,0,16,0,0,0,0,3,5,0,0,0,18,23,39,53,54,74,85,21,8,0,355
SAL12483,0,3,7,0,3,4,5,0,0,11,0,0,6,5,3,6,0,0,0,19,11,30,56,91,97,64,32,0,0,378
SAL12484,0,0,9,0,7,3,6,0,0,32,3,0,5,5,8,8,0,3,0,34,65,70,153,147,187,160,58,4,3,845
SAL12485,3,10,88,58,20,31,13,0,0,222,3,35,186,129,70,41,16,3,0,481,208,559,3071,2329,1602,1194,393,85,9,9451
SAL12486,4,4,29,27,16,4,3,0,0,88,3,7,48,43,29,12,5,0,0,161,134,206,895,917,776,444,133,15,3,3527
SAL12487,0,9,16,14,14,12,0,0,0,60,3,4,14,13,9,3,4,0,0,47,67,106,201,211,262,173,35,0,0,1060
SAL12488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,3,7,22,19,6,0,0,62
SAL12489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,8,0,0,0,37
