SA2_MAINCODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
313041373,8511,9343,17853,3195,1817,5018,883,1834,2714,257,264,520,544,507,1053,4884,4423,9309,2928,4098,7033,11.1,11.5,11.3,57.4,47.3,52.1,50.9,41.9,46.2,61,61,125,46,104,150,335,662,995,452,872,1327,2360,1338,3695,108,161,271,149,207,353,2613,1704,4317,8182,8531,16716,1608,1717,3326,5237,5430,10664,4070,4413,8480
313041374,2005,1977,3983,1013,522,1535,252,576,827,54,53,110,91,77,174,1414,1231,2642,501,666,1163,6.4,6.3,6.6,70.5,62.3,66.3,65.8,58.2,62.1,28,33,62,10,37,45,111,211,317,167,202,372,686,257,948,14,38,51,24,62,87,728,358,1088,1984,1949,3934,245,257,498,1532,1484,3010,671,696,1363
313041375,6622,6980,13600,3740,2061,5802,793,2113,2909,218,254,472,340,320,660,5089,4754,9844,1258,1963,3224,6.7,6.7,6.7,76.8,68.1,72.4,71.7,63.4,67.5,116,101,212,63,158,223,470,864,1329,582,874,1455,2221,1163,3384,55,121,179,99,173,270,2373,1458,3826,7037,7209,14249,1461,1565,3027,4358,4356,8705,3737,4049,7790
313041376,1230,1202,2435,597,334,930,158,351,511,39,27,67,52,36,87,850,750,1598,300,381,684,6.1,4.8,5.4,69.1,62.4,65.6,64.6,59.2,61.9,17,17,36,11,18,28,76,120,198,99,128,226,418,187,606,15,12,27,15,25,39,444,225,667,1213,1177,2386,204,204,399,864,815,1681,512,520,1031
313051377,3345,3497,6845,1377,862,2234,377,811,1192,90,103,193,172,123,289,2021,1891,3916,1093,1354,2448,8.5,6.5,7.4,60.4,54.1,57.2,55.1,50.8,52.9,46,58,107,30,69,94,220,403,628,259,364,614,979,438,1419,33,48,81,53,72,128,1068,561,1629,3101,3173,6277,566,614,1185,2081,2099,4182,1468,1592,3059
313051378,4656,5093,9745,1846,1121,2967,553,1118,1673,131,172,304,292,255,548,2818,2667,5485,1590,2157,3751,10.4,9.6,10,60.5,52.4,56.3,54.3,47.3,50.7,112,129,245,49,107,158,357,648,1003,371,580,947,1324,686,2011,47,67,114,97,149,244,1467,902,2371,4220,4486,8703,971,1076,2048,2592,2789,5377,2435,2594,5031
313051379,4082,4710,8794,1459,935,2398,444,881,1326,102,121,222,209,215,425,2213,2155,4368,1488,2081,3571,9.4,10,9.7,54.2,45.8,49.7,49.1,41.1,44.9,79,112,197,33,78,111,267,486,752,306,483,793,1077,552,1634,46,82,126,75,107,188,1197,746,1939,3468,3867,7337,814,886,1695,2060,2236,4292,2117,2421,4537
313051380,6300,7537,13836,2534,1496,4029,712,1603,2311,185,184,371,331,311,639,3754,3593,7352,2129,3386,5520,8.8,8.7,8.7,59.6,47.7,53.1,54.5,43.6,48.5,67,69,138,40,101,141,340,665,1007,405,712,1114,1696,1009,2706,74,120,195,105,202,310,1877,1328,3205,6082,6913,12990,1151,1360,2516,3880,4340,8218,3030,3636,6665
313051542,4926,5510,10437,2066,1284,3347,578,1222,1794,115,146,266,188,183,367,2949,2833,5777,1643,2343,3988,6.4,6.5,6.4,59.9,51.4,55.4,56,48.1,51.8,181,168,341,81,147,233,487,794,1280,472,654,1122,1333,584,1919,37,54,92,95,163,263,1471,803,2272,4396,4768,9158,896,1033,1927,2767,3020,5787,2448,2670,5122
314011382,6045,6546,12592,3289,1855,5141,780,1978,2755,130,202,332,221,181,403,4414,4218,8636,1401,2074,3471,5,4.3,4.7,73,64.4,68.6,69.5,61.6,65.3,247,220,470,101,209,312,835,1184,2017,670,818,1490,1548,712,2262,52,59,116,108,130,233,1702,904,2608,6338,6598,12936,881,961,1839,4614,4851,9464,2380,2525,4903
