SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
121011398,100,137,78,52,76,55,8,30,10,543,104,137,94,113,104,75,12,41,13,690,81,54,252,91,76,70,26,53,13,721,13,8,5,5,22,11,0,3,0,70,19,20,16,28,39,20,4,6,3,163,25,55,13,18,19,20,8,3,9,169,18,36,11,6,26,14,3,14,29,148,1868,4945,750,653,1277,700,129,299,201,10824
121011399,107,153,49,57,92,43,12,20,10,540,105,145,73,108,106,69,21,28,13,667,102,94,278,104,92,83,25,41,11,834,6,12,5,10,10,6,0,4,0,53,29,28,14,25,44,18,7,4,0,176,21,51,6,13,11,8,0,0,0,123,19,32,6,7,17,10,0,7,18,128,1649,4218,679,600,1080,545,124,216,152,9253
121011400,146,214,46,58,120,62,3,8,12,673,123,148,50,61,143,55,8,13,7,603,160,85,260,91,113,81,24,50,12,870,10,10,7,8,28,10,0,8,0,74,38,45,10,34,44,35,3,7,3,215,22,66,7,3,32,7,4,4,3,150,29,32,6,9,27,13,0,4,26,144,2366,5405,572,561,1324,605,90,153,180,11252
121011401,66,90,15,21,50,21,3,9,0,271,58,96,27,33,61,23,3,5,3,315,72,46,108,58,43,27,11,18,3,384,4,5,3,3,4,6,0,0,0,23,14,23,0,10,16,15,4,3,0,82,13,22,3,8,12,0,0,3,0,67,9,17,6,3,6,3,3,3,10,56,1135,2681,251,267,561,272,34,72,73,5351
121011402,158,176,26,38,131,74,18,12,11,648,136,140,52,77,110,73,6,8,3,605,130,81,239,71,99,59,27,27,12,745,13,11,4,10,26,11,0,4,3,75,47,31,14,27,70,29,4,6,6,231,26,44,12,7,12,7,3,3,0,119,25,44,8,18,17,6,0,5,13,136,2365,4268,485,463,1114,527,73,140,162,9610
121021403,107,165,50,81,135,34,15,19,3,607,117,141,68,111,142,56,11,19,11,672,211,130,631,175,171,92,75,108,21,1610,11,9,9,16,41,11,6,5,0,109,33,27,16,40,77,17,13,18,3,250,25,38,14,8,31,7,0,0,0,116,20,22,6,16,22,12,5,3,13,128,1121,2675,927,644,975,345,162,250,92,7187
121021404,53,114,42,39,79,17,3,8,6,359,70,97,57,64,107,34,3,19,3,455,153,97,443,124,165,55,50,74,16,1186,8,4,8,4,22,9,0,5,0,65,25,14,16,17,58,14,8,12,0,173,11,14,0,3,17,6,3,0,0,55,4,25,3,14,28,13,3,7,15,118,749,1556,645,400,685,225,86,162,55,4560
121021406,89,153,39,62,89,28,9,19,7,492,82,110,49,72,107,41,5,23,5,490,123,80,310,85,114,53,28,58,10,857,9,13,10,12,22,7,4,6,0,79,32,28,19,27,70,18,7,10,0,218,16,30,8,3,26,6,0,0,0,91,19,25,15,13,17,12,3,10,11,120,1256,2988,597,470,952,328,97,182,86,6948
121021577,35,63,38,47,36,21,8,20,0,279,50,70,60,85,65,53,13,23,3,417,51,47,154,92,55,40,27,41,6,526,0,0,7,3,7,8,3,3,0,29,9,10,9,24,21,13,3,10,3,102,10,24,3,3,13,3,0,0,3,75,10,17,8,11,6,5,9,9,10,85,536,1970,493,500,572,336,103,229,60,4815
121021578,46,89,35,35,49,23,3,19,3,298,54,81,33,50,60,41,7,13,4,342,77,56,232,75,79,34,22,37,7,615,4,3,7,3,11,3,0,6,0,38,17,14,7,16,27,9,6,17,0,99,5,12,4,7,14,6,0,3,0,48,3,14,4,6,10,3,0,6,9,61,588,1623,417,339,540,216,67,156,43,3977
121021579,27,78,20,28,25,16,11,8,0,216,22,47,34,42,54,25,4,11,0,240,28,35,117,55,47,13,14,25,4,342,5,8,4,0,7,0,4,0,0,25,7,4,7,8,20,10,4,6,0,64,4,26,0,0,12,3,3,3,0,57,3,13,4,7,13,4,0,3,9,53,480,1711,306,282,486,195,71,125,53,3716
121031407,102,103,29,28,92,32,4,6,7,411,64,85,22,55,78,43,4,12,5,365,68,40,127,50,59,31,12,13,10,413,14,15,4,3,8,3,0,0,3,47,19,24,10,14,33,27,3,10,0,144,32,36,9,3,32,12,0,5,3,126,23,29,10,6,19,9,0,5,23,125,1757,3629,359,338,995,447,63,116,151,7853
121031408,113,143,33,45,98,53,11,13,9,518,84,92,32,48,98,54,4,16,12,447,76,63,154,62,50,55,20,36,11,528,6,9,3,3,14,3,0,0,3,38,37,21,14,14,45,26,4,4,3,165,16,52,7,5,24,15,0,0,6,125,17,29,7,16,14,10,3,3,15,112,1945,4167,416,394,1071,514,63,113,164,8848
121031409,101,108,27,24,66,29,3,8,6,379,86,69,27,37,69,32,7,16,3,334,78,44,127,41,50,31,15,23,6,421,0,3,3,9,13,3,0,0,0,32,21,22,7,12,42,14,3,5,0,138,26,28,6,4,13,4,3,0,4,85,4,25,7,9,16,0,0,4,10,83,1482,2991,304,284,724,298,47,99,105,6328
121031410,156,164,30,43,104,64,7,13,11,590,117,119,27,45,103,48,6,10,4,474,117,45,206,52,68,39,27,33,12,595,8,5,4,3,13,11,0,3,0,42,30,34,9,25,56,25,6,6,3,193,29,42,3,13,24,5,3,3,0,128,26,51,13,8,16,7,0,3,17,148,1889,3203,406,363,938,452,66,108,122,7555
121031411,103,145,30,43,104,39,5,9,4,481,100,90,23,65,77,27,3,6,8,395,103,67,180,60,63,42,13,29,4,569,4,5,4,3,4,4,0,3,0,28,29,25,8,26,36,24,10,13,3,176,17,43,9,3,13,5,0,7,4,91,10,23,6,7,17,6,0,3,11,92,1620,3067,359,377,826,318,55,124,119,6859
121031412,95,157,22,39,76,23,3,12,10,443,78,85,26,42,87,28,5,7,3,361,91,46,172,64,58,45,19,30,8,532,9,4,3,7,16,9,3,3,0,55,24,33,7,24,45,26,5,0,0,167,10,39,3,7,32,8,0,5,0,115,18,45,3,10,14,11,3,3,14,120,1445,3065,351,356,863,295,63,108,120,6670
121041413,152,191,32,48,112,43,7,14,10,601,139,155,39,59,115,55,12,17,9,595,104,78,243,55,98,52,20,21,12,683,10,11,4,3,19,3,3,3,0,56,43,31,5,17,57,17,3,7,7,184,17,28,11,7,23,9,3,3,7,109,27,30,9,8,23,13,4,4,19,133,2149,4089,499,444,1074,503,70,132,139,9098
121041414,118,186,33,55,87,47,4,4,8,529,132,177,53,60,116,43,4,8,9,606,120,77,194,70,82,65,14,27,13,658,12,3,3,7,17,7,0,3,0,56,31,39,8,11,39,13,4,6,0,154,23,44,11,4,24,10,0,3,0,126,15,38,9,10,33,13,0,4,21,137,1921,4766,483,469,1083,469,48,109,147,9502
121041415,178,246,34,74,128,79,8,15,10,757,155,173,44,90,124,58,7,18,8,670,141,77,232,93,85,72,21,31,15,774,13,11,6,13,15,5,0,4,0,74,39,36,13,24,51,37,4,4,6,207,41,74,6,11,29,15,3,7,0,185,26,57,4,13,33,9,0,10,24,177,2901,5108,504,572,1240,689,62,131,238,11449
121041416,136,152,42,41,97,44,3,16,8,523,114,139,40,73,102,54,9,13,8,556,97,74,180,65,81,49,14,33,10,609,10,3,0,5,15,5,0,0,0,43,27,35,12,24,53,20,9,9,4,184,28,56,8,6,23,9,0,4,0,142,23,43,8,8,16,5,0,0,14,125,1941,4282,455,454,1037,486,69,127,143,8991
121041417,82,98,18,11,47,27,4,4,3,289,60,86,26,24,48,23,3,7,3,282,68,42,78,40,37,28,4,9,7,306,3,4,0,5,14,7,0,3,0,31,17,16,10,9,19,16,4,0,0,85,13,39,4,3,14,3,5,0,0,83,13,22,3,5,7,8,0,5,14,73,1297,2702,234,224,602,258,20,59,97,5499
122011418,158,178,26,57,122,48,6,16,12,619,116,93,55,61,117,53,3,10,13,529,141,62,312,86,94,79,33,45,18,874,10,10,4,4,13,8,0,3,0,61,45,38,23,21,61,32,6,7,3,233,21,30,3,6,32,13,0,0,4,110,17,42,5,12,17,13,0,0,15,132,2006,3187,513,456,918,461,79,130,132,7885
122011419,159,207,30,65,82,51,4,9,16,620,143,163,87,116,102,69,13,14,11,707,158,89,355,103,99,74,28,41,10,964,13,7,3,8,13,11,0,3,0,59,23,44,5,31,49,29,5,5,4,197,25,48,13,16,37,12,0,4,3,155,15,48,9,17,28,15,0,6,30,159,2293,4425,687,690,971,608,95,182,171,10120
122021420,99,152,41,41,86,37,0,13,3,472,71,82,34,46,67,41,6,8,8,356,184,83,393,78,79,51,15,51,25,962,12,5,3,3,15,4,0,3,3,53,27,19,8,23,49,29,3,7,5,171,11,18,7,4,17,7,0,3,4,69,19,23,9,10,18,13,4,6,12,116,939,1575,570,323,521,276,43,117,90,4454
122021421,92,115,22,26,56,22,3,3,7,338,70,77,31,48,78,21,0,12,5,339,159,64,358,61,82,39,35,58,14,861,9,6,7,12,13,7,4,0,0,49,22,20,11,18,38,18,10,8,4,150,12,14,4,8,9,0,3,0,0,57,14,21,7,10,25,5,3,3,8,108,824,1251,466,264,444,194,78,107,62,3698
122021422,106,169,45,53,73,44,7,16,12,524,97,107,51,82,90,51,6,14,5,501,210,75,467,102,113,87,24,62,23,1146,11,8,10,11,39,10,0,0,0,79,27,31,13,26,58,35,7,7,4,207,14,15,4,4,14,7,0,0,3,59,10,21,13,15,21,5,3,4,14,113,1075,1746,664,413,623,344,67,144,95,5167
122021423,155,255,66,98,167,58,17,25,9,853,161,151,73,158,186,89,15,27,15,866,364,129,962,212,251,158,121,144,29,2371,11,12,15,8,39,24,3,10,0,122,58,50,17,48,98,48,11,12,4,351,33,27,12,9,35,7,3,5,3,137,30,43,13,27,43,27,5,18,27,236,1665,2635,1270,790,1160,580,220,294,143,8756
122031424,106,109,41,37,78,35,11,9,4,432,93,83,47,82,96,35,3,17,3,467,145,74,500,126,133,92,63,105,18,1245,15,10,10,11,20,7,6,10,0,83,22,26,22,32,55,17,6,9,0,189,8,16,5,9,13,7,3,9,3,70,27,15,16,16,31,14,14,11,8,150,843,1400,713,431,629,309,120,202,59,4705
122031425,62,80,18,40,46,20,8,8,3,287,45,55,24,45,70,19,3,3,0,266,120,41,313,75,74,53,34,34,6,755,0,3,5,7,24,5,0,0,0,42,10,6,9,14,22,18,3,3,0,96,3,12,3,3,10,3,3,5,3,42,12,16,10,9,6,4,5,6,7,78,472,788,409,234,362,169,74,79,32,2629
122031426,143,212,93,118,135,88,17,37,4,856,172,186,135,211,185,97,43,49,19,1094,284,142,907,304,188,164,118,158,28,2289,12,13,14,28,29,26,7,29,3,165,55,38,31,48,88,45,11,13,6,333,18,34,20,16,19,20,11,9,6,157,15,25,20,43,34,30,18,36,25,236,1695,2950,1459,1203,1195,782,318,523,152,10282
122031427,81,111,27,32,59,29,6,11,4,356,56,79,29,53,63,38,6,12,3,337,94,48,276,69,70,63,24,29,7,672,3,0,3,4,11,5,0,3,0,37,33,18,7,19,32,8,7,3,0,132,17,18,4,4,16,0,0,0,0,64,12,13,8,9,12,8,10,3,9,86,967,1739,417,295,553,250,70,90,53,4429
122031428,184,273,51,88,162,53,15,12,12,858,160,189,77,122,181,77,20,22,7,859,242,135,663,157,206,127,69,90,21,1702,27,20,10,10,34,8,0,3,3,113,67,58,20,35,123,50,9,13,8,386,36,32,12,7,24,7,4,4,4,129,24,40,10,15,32,16,3,15,23,174,1964,3110,956,649,1233,530,148,208,122,8918
122031429,167,240,54,75,100,45,11,16,3,713,154,164,98,135,153,74,14,18,7,815,215,112,729,157,169,77,66,98,22,1650,7,10,10,12,22,17,8,12,0,96,40,31,23,33,65,30,13,16,3,242,13,35,6,8,25,16,7,6,3,114,19,41,18,22,32,18,10,12,19,181,1839,3259,1108,752,1029,530,157,267,130,9070
122031430,110,173,41,66,89,45,13,10,4,547,117,125,55,82,104,38,17,21,7,567,158,78,514,129,130,92,45,71,16,1230,8,10,10,7,15,11,0,3,0,70,28,24,12,24,49,23,4,16,7,190,10,30,8,11,21,12,4,3,0,108,16,21,13,16,16,13,3,11,6,110,1317,2244,749,545,773,412,106,211,93,6444
122031431,173,237,55,105,131,58,14,31,11,814,183,172,83,137,186,80,15,33,13,904,361,137,1031,218,266,129,105,143,28,2416,22,21,7,17,40,22,7,6,3,137,60,42,31,56,101,41,15,10,3,364,25,28,8,9,30,19,5,3,3,144,26,42,26,23,43,23,10,16,18,215,1762,2927,1394,822,1203,556,190,311,118,9285
122031432,25,31,14,15,21,8,0,7,0,128,24,28,11,5,34,3,3,0,0,105,56,19,143,20,36,14,21,19,0,333,0,0,0,3,3,3,0,0,0,11,13,3,4,3,20,5,3,4,0,49,5,6,3,4,3,3,0,0,0,24,3,7,3,3,4,9,3,0,3,30,285,388,200,84,178,64,32,35,17,1284
123011433,64,116,25,55,54,21,4,7,4,353,68,74,46,107,106,34,15,12,11,461,203,88,607,139,200,98,140,95,26,1590,6,8,3,8,21,13,3,9,0,61,22,13,12,21,49,19,9,13,3,156,13,6,0,3,17,6,5,5,0,54,14,9,9,13,16,11,14,8,18,107,644,1207,746,439,566,236,193,158,74,4268
123011434,111,140,47,77,83,37,13,19,8,526,157,152,70,191,152,71,31,22,16,846,320,129,971,255,305,179,234,179,36,2607,14,20,8,12,54,24,9,16,5,165,20,14,17,38,75,32,19,14,0,233,5,25,12,9,19,8,3,8,0,99,26,27,16,32,26,28,17,18,11,199,1032,1848,1204,751,888,458,351,294,107,6932
123011435,101,172,51,118,131,48,22,22,15,675,174,170,109,304,261,95,27,38,13,1200,410,193,1427,409,522,251,350,246,44,3849,28,6,15,30,69,44,21,22,0,231,42,22,27,64,94,34,44,34,5,362,7,12,12,6,32,4,8,15,0,98,22,22,21,32,42,19,25,19,26,227,1214,2237,1772,1213,1416,575,521,441,135,9516
123021436,30,62,19,62,58,15,12,10,9,272,73,76,43,132,92,39,20,27,8,517,154,92,686,264,231,131,245,149,37,1997,10,11,9,10,31,19,10,22,0,126,14,16,15,31,40,21,19,19,5,177,9,13,6,8,15,6,7,8,0,74,6,13,10,26,18,17,18,22,15,161,392,872,841,636,601,297,372,284,85,4375
123021437,41,75,40,45,46,23,14,19,6,301,60,84,67,99,115,54,35,34,11,556,138,85,505,205,203,103,159,135,24,1568,3,6,9,12,29,18,11,18,4,111,22,3,12,32,30,34,25,26,3,189,9,23,5,11,17,6,11,13,0,92,17,13,18,28,24,11,27,32,22,189,495,1261,738,575,703,334,352,335,98,4883
123021438,50,79,45,63,50,17,25,21,3,345,90,100,58,156,138,56,34,22,16,664,181,111,811,284,302,137,232,219,38,2319,16,4,10,16,42,20,15,17,0,146,16,19,12,53,61,23,32,28,0,249,11,9,5,9,29,6,12,10,0,98,11,20,22,27,25,16,30,33,29,210,524,1041,1030,749,805,343,422,387,99,5403
123021439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123021440,60,74,57,46,65,26,33,14,6,385,62,85,78,127,118,49,47,41,5,602,137,92,567,198,210,90,176,139,26,1638,10,4,5,13,30,9,14,17,3,111,18,19,15,23,57,26,27,28,7,212,14,16,3,16,21,3,14,5,3,97,12,21,14,22,30,10,22,23,11,169,633,1478,890,653,922,378,452,376,83,5874
123021441,43,77,30,34,60,11,13,16,4,284,53,65,61,131,112,33,25,24,7,508,160,102,665,210,254,115,192,164,33,1890,9,6,9,14,32,15,17,16,0,112,29,15,22,31,53,24,26,19,0,208,7,14,8,4,14,9,9,3,0,70,12,8,18,20,19,19,32,28,20,175,431,996,881,555,696,280,346,303,69,4563
123021442,41,80,63,47,63,26,43,30,8,393,51,82,84,151,120,51,44,46,10,634,97,84,555,231,206,94,211,166,26,1672,9,3,11,11,34,9,17,25,0,128,10,16,13,42,54,8,25,36,4,209,11,17,5,6,24,7,9,16,4,103,6,22,31,24,22,14,28,41,22,207,504,1594,940,800,1018,381,506,504,99,6343
123021443,37,85,38,49,52,25,44,18,3,347,58,95,56,139,105,57,49,28,7,603,115,65,617,231,220,86,218,150,29,1729,11,7,6,12,30,16,12,21,0,114,25,11,13,45,39,24,31,30,4,219,3,10,8,9,23,9,13,6,0,97,12,20,23,25,27,29,50,31,16,234,452,1101,909,720,785,375,538,391,77,5356
123021444,61,96,19,59,62,22,20,13,8,363,94,87,58,133,120,57,22,33,10,613,208,98,710,254,288,155,216,171,37,2148,13,0,11,16,31,19,11,14,4,122,13,24,15,48,73,30,32,31,7,265,15,18,15,11,19,13,5,7,4,106,13,19,33,32,38,19,31,25,20,221,604,1181,926,668,804,388,369,346,110,5391
123031445,10,33,6,25,28,8,5,5,3,116,33,25,16,42,34,7,4,9,0,171,95,39,343,85,79,48,93,65,10,862,4,4,3,3,3,7,5,12,0,43,10,4,11,4,23,8,6,7,0,79,0,4,3,0,4,0,0,3,0,16,3,5,7,3,6,4,10,11,6,49,213,302,397,186,199,95,127,115,29,1657
123031446,37,66,24,38,46,9,6,9,3,251,56,51,47,92,89,24,11,13,3,377,183,56,630,113,172,84,146,108,23,1509,12,3,3,11,17,9,4,7,0,67,8,5,14,14,36,12,7,5,3,109,8,9,3,4,11,0,0,0,0,38,11,5,18,4,12,6,14,10,8,88,493,762,768,338,460,175,203,159,44,3401
123031447,61,84,24,63,33,19,4,6,0,301,72,77,53,156,97,31,16,32,0,529,248,122,901,249,228,133,255,206,24,2369,9,3,4,20,44,25,8,17,0,131,23,17,16,28,63,21,26,24,7,213,0,6,7,6,19,7,3,3,3,54,21,24,31,16,41,26,22,29,6,214,619,1075,1086,624,620,301,352,332,64,5060
123031448,42,55,14,26,39,13,0,4,6,196,41,49,31,69,58,19,6,7,3,286,170,61,601,116,130,43,167,106,33,1423,4,5,5,15,25,11,7,9,3,79,13,7,18,17,36,6,13,13,3,127,11,9,4,3,13,3,3,3,0,43,17,7,19,14,33,5,9,17,11,133,411,609,711,310,389,124,213,172,65,3006
124011449,23,34,8,23,19,8,3,7,0,128,27,29,17,36,21,15,6,13,0,168,45,30,170,60,52,24,44,41,3,478,3,0,3,0,6,4,0,4,0,31,3,11,3,8,14,4,0,8,0,57,0,4,3,0,0,0,0,0,0,10,4,5,3,11,10,3,3,0,0,36,240,595,257,196,180,97,57,97,17,1742
124011450,98,165,40,68,90,20,8,9,4,507,128,154,63,123,141,47,12,27,4,697,254,134,675,185,259,118,110,146,27,1909,10,3,7,13,36,19,3,9,0,102,30,24,16,25,67,12,12,14,3,206,7,17,9,7,18,10,6,3,0,72,16,23,12,21,26,14,17,8,10,137,1084,2723,914,652,910,324,190,252,94,7142
124011451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
124011452,56,128,30,61,49,34,3,16,0,376,47,63,32,97,54,26,6,25,8,362,106,75,347,181,114,61,62,102,7,1053,8,3,9,11,8,6,4,13,0,63,22,22,8,16,30,15,4,29,0,139,4,20,8,9,14,7,3,3,0,64,9,15,8,16,12,13,11,22,10,119,518,1419,526,571,440,221,123,265,53,4131
124011453,44,93,28,60,40,12,11,3,0,281,59,85,50,89,69,24,8,19,3,409,128,78,437,183,134,73,92,128,20,1271,3,7,8,7,13,9,4,6,0,59,13,7,4,27,20,11,3,12,0,102,6,17,3,4,10,3,0,0,0,47,7,18,8,7,6,6,7,15,7,83,461,1363,605,531,447,168,143,232,51,4005
124011454,73,212,60,112,101,30,4,13,7,618,118,144,95,173,166,59,17,29,14,807,236,166,867,304,278,120,133,173,42,2307,4,11,15,14,36,25,3,12,0,115,31,35,20,53,68,18,9,16,3,250,17,16,6,9,23,3,6,5,0,86,7,24,13,17,30,13,9,12,18,147,943,2782,1164,882,951,330,208,300,112,7676
124011455,22,61,9,23,14,8,0,3,0,151,37,30,13,44,33,16,7,14,0,181,66,35,152,71,50,36,31,49,4,486,3,0,0,0,4,5,0,6,0,23,8,10,3,9,18,12,6,6,0,66,0,4,3,0,3,0,0,4,0,14,9,12,0,7,6,6,8,3,4,49,287,669,211,227,204,108,57,97,23,1887
124021456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124031457,43,57,23,49,49,9,10,7,0,248,71,74,49,124,103,35,15,15,3,487,152,92,789,265,303,137,208,163,41,2162,8,11,12,9,41,22,5,22,0,131,15,20,10,37,77,16,22,22,0,226,5,11,3,7,14,4,8,8,0,52,6,13,15,14,21,7,34,7,15,141,419,778,954,594,714,278,325,267,74,4401
124031458,68,125,35,66,83,29,14,20,12,452,131,140,92,184,185,78,27,20,16,881,313,153,1200,288,439,184,284,222,50,3150,19,3,8,24,43,28,4,16,0,147,21,18,24,47,60,27,30,19,5,259,6,26,4,10,25,3,11,6,3,101,15,19,18,12,32,12,28,22,27,178,878,1739,1484,791,1154,453,449,390,132,7471
124031459,57,107,24,54,55,14,12,4,3,334,79,121,43,102,110,27,7,5,6,498,174,104,643,210,244,107,136,129,24,1768,11,3,8,8,32,14,7,9,0,88,16,13,14,20,61,20,7,16,6,183,13,5,3,4,14,4,0,7,3,54,8,9,12,6,24,12,13,13,10,105,593,1265,784,507,661,239,198,198,66,4502
124031460,94,124,45,86,120,35,19,18,9,536,145,152,76,186,206,67,29,18,10,892,291,155,920,286,413,147,233,161,41,2651,7,12,11,14,64,15,5,13,0,143,25,16,19,39,86,26,16,9,4,247,12,16,4,4,24,10,9,12,3,100,10,18,17,33,33,8,12,16,15,162,951,1770,1178,849,1203,393,376,287,100,7119
124031461,41,83,23,55,56,12,14,10,3,293,82,71,60,123,128,38,16,19,4,541,212,120,792,228,303,147,186,159,29,2184,7,8,8,19,43,13,8,14,0,114,19,17,15,25,55,16,21,21,3,190,3,3,5,7,10,3,0,3,3,43,8,15,12,24,29,8,20,13,25,157,531,1099,967,592,766,294,287,263,88,4892
124031462,42,72,30,52,62,16,25,14,8,322,67,92,59,139,122,42,28,37,10,596,158,120,632,258,305,140,226,160,36,2036,9,13,7,21,43,11,12,27,0,146,26,16,14,33,33,15,18,26,4,192,9,7,11,7,16,6,13,9,0,72,9,11,19,19,32,12,29,42,18,186,523,1317,867,705,859,348,426,376,93,5506
124031463,40,40,19,39,48,18,7,7,4,224,64,42,38,62,70,17,11,9,3,316,199,65,508,76,137,61,125,80,21,1266,9,0,3,7,27,7,4,0,0,57,30,9,10,20,34,18,10,7,0,130,4,8,8,7,19,7,0,3,0,48,16,11,10,11,17,7,12,7,13,101,536,748,622,291,454,163,183,132,52,3178
124031464,23,48,28,43,32,15,7,10,3,213,70,54,34,89,71,39,21,23,6,399,105,79,430,158,185,84,149,114,16,1310,6,3,5,6,25,13,15,14,3,94,12,13,11,32,42,15,12,20,4,159,4,0,3,3,13,7,0,12,4,53,4,11,8,8,12,16,6,10,10,90,382,872,571,467,525,244,249,241,55,3601
124031465,14,23,6,16,19,3,3,0,0,80,30,30,11,48,38,7,3,3,3,169,117,29,319,61,109,35,102,68,18,863,0,3,3,3,15,0,5,3,0,37,7,3,4,7,28,13,6,8,0,72,6,3,0,0,9,8,0,3,3,25,4,3,8,6,8,3,4,3,9,60,228,283,360,169,244,85,128,107,46,1638
124041466,40,80,36,40,33,14,9,11,0,266,77,67,66,111,80,48,9,23,7,482,156,103,633,212,195,103,139,114,30,1685,6,3,10,9,19,19,11,13,0,92,22,9,26,33,34,10,15,15,0,162,4,5,6,7,15,0,3,7,0,48,10,6,17,16,23,6,19,8,11,112,453,923,830,523,484,237,214,213,61,3948
124041467,51,66,25,41,43,13,5,12,0,247,66,77,49,123,109,39,9,22,3,502,198,105,880,239,282,129,202,168,50,2253,11,3,10,5,37,20,12,16,0,110,23,10,14,44,56,14,19,21,0,214,4,8,10,10,11,3,0,7,0,43,10,13,20,16,21,7,19,27,8,133,500,869,1049,562,657,266,290,289,71,4549
124041468,15,26,11,9,21,3,7,3,3,99,29,27,22,42,39,15,3,4,3,169,121,30,433,64,100,46,132,71,18,1011,4,3,3,9,12,3,4,3,0,40,6,4,3,8,21,6,5,11,4,70,6,3,3,0,3,0,6,5,0,28,9,6,12,8,9,6,13,10,3,74,239,294,509,174,240,85,172,106,34,1849
124051469,17,37,8,13,34,8,3,5,0,132,30,25,26,43,52,20,15,10,3,225,81,35,346,105,147,51,82,73,13,944,6,5,4,4,12,3,3,3,0,43,15,0,7,15,29,3,10,7,0,86,0,4,0,6,6,3,0,4,0,22,3,6,8,6,16,9,3,4,6,72,225,430,430,232,370,115,133,125,34,2084
124051470,50,85,37,57,62,26,12,23,8,354,94,94,64,129,163,58,29,36,14,686,224,102,907,292,370,144,300,211,39,2585,9,9,10,20,33,26,13,11,0,135,29,14,24,46,82,24,32,18,5,284,6,10,14,14,19,8,9,10,3,93,17,27,29,22,27,21,33,23,11,211,588,1103,1167,697,992,375,492,378,97,5889
