SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
104011082,39,86,18,48,37,20,7,7,0,259,31,56,27,84,50,18,3,16,5,287,169,81,504,196,138,108,100,198,27,1512,15,6,7,16,24,15,6,16,0,106,23,11,5,38,36,30,15,16,3,183,8,8,4,4,15,5,4,4,0,41,22,18,20,27,20,29,10,34,10,186,422,882,620,481,376,247,146,318,53,3532
104021083,22,47,13,21,9,13,4,3,0,137,15,28,16,41,22,8,5,14,0,155,51,15,175,64,39,31,30,31,11,462,0,3,3,8,7,9,3,6,0,40,9,9,10,18,8,3,0,4,0,63,4,7,0,4,0,0,0,0,0,19,8,7,11,10,4,5,6,7,3,59,207,564,266,216,154,90,59,82,27,1661
104021084,44,80,24,56,52,24,7,10,0,305,79,86,30,125,118,45,14,33,6,540,164,84,589,243,232,144,102,173,23,1742,8,3,14,25,39,34,4,24,0,152,10,10,9,38,42,21,5,26,3,173,4,12,3,10,12,0,3,10,0,48,6,18,11,23,22,14,11,16,17,130,479,1111,728,613,628,323,158,322,65,4422
104021085,19,59,17,32,32,18,0,12,0,177,40,50,31,48,51,24,6,13,3,268,111,44,316,156,110,90,48,88,13,973,3,7,9,12,16,19,4,14,0,83,13,5,4,21,25,12,5,13,0,94,0,9,0,0,11,3,3,3,3,30,7,10,12,8,16,14,5,14,8,94,307,739,407,349,341,192,74,174,34,2613
104021086,15,21,6,14,23,0,0,9,0,91,20,20,14,28,16,4,4,7,0,112,45,27,167,54,45,33,43,56,12,496,3,0,0,6,5,9,0,7,0,29,3,5,4,7,11,4,7,3,0,37,3,5,0,0,0,0,0,3,0,12,3,9,4,9,4,4,4,9,7,49,139,287,211,144,136,66,66,97,23,1167
104021087,14,12,3,10,10,0,0,6,0,54,9,4,3,15,8,0,0,3,3,48,61,10,72,34,21,14,24,45,3,288,3,0,0,0,3,3,0,12,0,21,14,0,5,3,4,0,0,3,0,28,3,0,3,0,0,0,0,3,0,8,5,0,3,0,0,0,9,9,0,31,164,123,101,91,67,24,35,87,10,701
104021088,40,60,7,26,49,13,4,4,0,206,44,67,23,61,62,26,3,9,10,300,141,42,352,136,106,82,66,102,12,1036,3,3,11,4,11,8,4,13,0,50,19,10,5,18,25,14,6,6,0,102,3,13,0,4,3,0,0,6,0,34,8,12,9,6,5,7,7,9,5,60,413,919,429,307,351,182,91,177,42,2910
104021089,63,102,14,64,51,17,6,5,3,326,73,88,32,133,122,40,11,20,4,525,209,106,711,307,258,182,146,232,32,2175,12,4,13,21,49,33,9,32,0,162,25,17,17,50,55,26,13,30,3,240,3,7,3,8,6,8,0,7,0,45,16,15,16,30,20,20,11,21,16,167,591,1428,850,729,706,367,204,380,77,5323
104021090,13,29,10,17,8,7,3,6,0,90,15,28,3,17,19,11,0,3,0,111,62,29,164,62,59,27,38,57,6,503,0,0,0,10,6,3,0,3,0,23,9,5,4,9,8,3,4,9,0,47,0,0,0,0,0,0,0,3,0,10,6,6,6,8,11,3,3,7,5,60,156,324,197,153,138,61,55,99,13,1205
104021091,41,55,16,28,36,8,10,11,0,208,40,47,36,80,62,24,3,33,3,333,139,44,423,155,112,64,76,147,19,1177,14,0,3,17,15,8,0,13,0,81,7,3,4,30,31,9,7,27,3,126,6,10,3,0,4,3,4,14,0,43,12,12,6,15,7,14,9,32,22,122,422,718,528,396,332,152,118,349,59,3070
105011092,17,4,4,30,8,0,0,0,0,61,23,16,3,39,5,0,3,10,0,103,45,17,78,36,33,12,19,22,6,275,5,3,0,5,3,0,3,7,3,34,8,3,3,5,3,5,0,0,3,33,0,0,0,3,0,0,0,0,0,10,6,8,3,12,3,3,3,11,6,52,159,194,95,170,74,24,26,63,17,824
105011093,11,10,5,13,10,0,0,3,0,42,15,14,11,23,13,3,10,5,0,90,72,18,264,47,44,20,98,44,10,620,9,0,6,3,10,5,4,0,0,35,3,3,4,3,4,3,9,6,0,36,0,0,0,3,4,0,3,0,0,9,9,3,8,9,3,4,9,8,3,58,166,223,295,117,106,41,139,72,20,1180
105011094,25,18,0,11,9,0,0,3,0,62,20,3,7,20,16,4,0,0,0,79,88,11,82,49,36,18,21,44,9,361,10,4,0,7,9,3,0,4,0,30,16,0,3,5,6,6,5,0,0,38,0,0,0,0,0,0,0,0,0,6,21,3,3,5,8,6,3,10,10,64,249,169,102,110,93,40,31,72,23,887
105011095,29,20,3,16,9,3,0,3,0,85,30,8,5,27,20,3,4,5,0,98,89,18,168,37,34,13,59,60,6,480,5,0,0,3,3,3,8,3,4,27,13,5,9,11,10,6,7,7,0,69,7,0,0,0,0,0,0,3,0,12,14,8,7,5,0,5,7,13,6,73,269,220,199,129,98,43,92,99,21,1160
105011096,29,20,3,23,15,0,3,3,0,93,37,24,5,38,15,9,3,3,3,138,81,17,100,67,31,12,47,42,5,406,8,0,7,6,7,3,0,12,0,44,9,0,3,3,3,3,6,5,0,34,0,0,0,0,5,0,0,3,0,10,15,13,4,13,7,4,6,20,5,85,256,266,131,192,113,38,67,105,20,1185
105021097,30,68,9,50,29,13,5,0,5,202,48,64,34,120,58,23,4,15,3,383,144,109,725,329,222,84,214,122,24,1972,9,9,4,28,30,10,9,21,0,128,13,16,8,43,43,14,14,14,0,164,5,5,4,8,6,3,3,4,0,40,13,18,12,27,30,19,22,33,10,200,402,1006,818,693,464,193,284,222,58,4133
105021098,16,8,3,9,0,3,0,0,0,39,18,4,3,9,3,0,0,4,0,45,71,4,21,24,13,4,9,37,7,195,7,0,0,0,0,0,0,4,0,17,13,3,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,7,9,0,3,9,0,3,3,3,3,38,159,72,27,67,32,9,10,64,15,459
105031099,45,28,7,17,13,6,0,5,0,114,49,24,7,48,21,5,0,7,0,153,148,31,183,87,69,34,62,89,12,728,18,4,10,7,8,9,6,11,0,61,27,5,10,18,11,7,3,9,3,90,10,3,0,0,3,0,0,3,0,22,44,4,9,13,9,8,8,21,9,135,442,388,227,223,160,85,87,147,32,1803
105031100,25,41,8,26,22,9,0,6,0,140,42,48,19,82,57,16,3,14,3,288,140,73,422,177,184,112,116,110,22,1350,6,3,4,12,19,22,3,19,3,93,8,8,0,18,27,15,3,0,3,85,4,10,5,3,8,3,0,3,0,31,12,19,11,9,9,12,12,24,7,114,347,772,500,407,390,232,146,221,44,3057
105031101,42,73,27,70,37,16,8,9,5,292,70,81,36,151,94,35,7,16,9,505,220,90,751,300,285,149,124,176,25,2138,16,3,8,21,33,21,3,20,3,136,16,9,9,38,55,28,3,22,3,188,5,18,4,7,10,9,0,3,0,55,10,14,11,18,25,17,4,20,17,138,604,1480,904,779,680,349,173,370,69,5408
105031102,27,32,9,22,27,6,3,6,0,127,44,34,14,77,35,22,3,13,5,251,118,41,344,134,124,85,56,92,16,1013,3,3,6,8,17,15,5,14,0,65,10,7,3,17,31,17,10,15,0,100,0,7,4,0,10,0,0,7,0,34,17,11,17,10,9,6,8,9,9,94,302,564,420,322,296,181,86,173,37,2380
