SAL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SAL10011,0,0,3,3,0,0,0,3,0,11,0,0,5,0,0,5,5,0,0,16,3,0,9,7,3,5,8,0,4,41,0,3,3,7,3,0,3,5,0,28,7,3,11,3,4,3,8,4,0,47,3,0,3,0,0,0,9,0,0,19,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,31,25,17,12,32,21,6,170
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,3,0,17
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,11
SAL10014,3,4,11,17,10,42,0,19,0,103,9,26,10,18,31,30,14,10,0,161,48,127,44,37,66,19,19,19,10,389,81,209,39,48,99,24,31,19,7,562,85,129,38,31,83,29,18,21,14,450,39,54,42,25,46,13,33,15,4,276,9,12,4,4,7,0,3,8,0,49,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,267,563,192,188,341,175,124,117,31,1989
SAL10015,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,7,3,5,5,0,0,0,0,0,0,17,3,0,6,3,0,0,0,6,0,18,8,6,4,3,9,0,3,4,0,36,13,3,6,8,0,0,4,8,0,39,0,0,0,0,0,0,0,8,0,12,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,14,15,13,12,0,13,22,3,134
SAL10016,5,4,17,43,9,71,10,39,0,204,16,80,61,130,54,55,20,41,3,466,78,357,140,106,90,58,21,42,8,893,118,296,81,40,86,26,34,23,6,712,105,198,74,60,108,30,29,41,3,636,68,121,52,47,80,33,22,56,0,476,16,21,10,10,15,5,3,9,0,85,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,397,1075,441,429,452,282,141,245,23,3486
SAL10017,0,0,25,40,6,73,3,50,0,198,8,24,45,54,25,30,11,25,0,221,69,204,72,64,49,27,20,13,11,527,141,324,76,53,83,35,20,18,12,753,120,231,79,67,102,29,26,29,8,689,46,101,44,27,70,20,30,22,0,364,10,33,7,10,13,6,6,3,3,93,5,5,0,0,6,0,0,5,0,17,5,4,0,0,0,0,0,0,0,5,404,930,342,313,346,214,117,165,41,2860
SAL10018,0,0,11,7,0,13,0,0,0,25,0,4,4,4,0,7,3,5,0,22,11,13,15,9,4,3,4,16,0,70,6,9,6,10,11,11,11,13,4,72,12,11,10,11,11,3,14,9,3,89,16,10,10,11,16,0,16,19,0,103,5,4,4,0,0,0,11,3,0,26,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,46,47,56,40,46,39,64,63,10,421
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,4,0,12,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,5,0,4,0,3,6,0,42
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11
