SA2_MAINCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
309011225,0,0,0,0,0,0,3,0,7,106,102,8,211,5,10,15,226,100,4,336
309011226,0,0,0,0,0,0,3,6,9,197,206,16,415,12,12,22,440,242,9,692
309011227,0,3,0,0,0,3,4,3,11,159,105,21,279,17,13,25,309,137,3,443
309011228,5,3,0,0,0,3,3,3,6,156,144,18,313,21,21,43,350,193,4,553
309011229,0,3,0,0,0,3,0,0,4,96,84,4,183,6,9,11,196,95,7,297
309021230,0,0,0,0,0,0,3,3,3,53,57,7,112,8,12,19,129,76,3,212
309021231,0,0,0,0,0,0,7,3,11,165,153,12,333,19,22,37,364,189,10,562
309021232,0,4,0,0,0,4,0,4,6,134,129,16,277,12,11,20,296,158,4,459
309021233,0,3,0,0,0,3,3,3,8,193,141,10,347,14,16,29,379,217,8,609
309021234,3,8,0,3,3,11,10,3,23,213,212,26,447,22,29,46,498,240,3,736
309031235,0,0,0,0,0,0,0,0,0,147,117,17,275,13,19,33,308,151,0,464
309031236,0,0,0,0,0,3,5,3,5,133,96,11,249,14,10,24,272,156,8,437
309031237,0,3,0,0,0,3,4,3,10,174,160,18,342,16,21,33,378,200,8,585
309031238,0,3,0,0,0,3,4,3,14,267,249,31,543,34,45,81,619,463,8,1089
309031239,3,4,0,0,0,4,3,0,3,119,67,5,195,8,12,16,205,147,0,358
309031240,0,6,0,0,0,6,0,0,11,103,82,6,191,7,11,20,210,147,4,362
309041241,0,0,0,0,0,0,5,3,3,38,44,6,89,3,4,11,96,55,4,154
309041242,0,4,0,0,0,4,3,0,13,141,142,14,306,10,6,22,322,168,4,498
309051243,0,3,0,0,0,3,0,0,4,56,57,6,118,0,4,5,126,91,3,215
309051244,0,8,0,0,0,7,4,0,17,237,222,17,481,16,18,40,520,244,4,765
309051245,3,6,0,0,0,6,0,0,11,113,102,11,230,4,11,12,248,99,3,347
309061246,0,4,0,0,0,4,6,3,9,214,173,14,391,13,11,29,419,173,4,598
309061247,3,5,0,0,0,5,0,0,8,137,117,8,261,18,12,26,290,149,0,436
309061248,0,3,0,0,0,7,3,3,12,315,269,31,618,26,33,58,676,401,4,1088
309061249,0,3,0,0,0,5,5,3,7,299,217,18,537,26,34,57,595,237,3,835
309061250,0,3,0,0,0,3,4,3,6,91,57,0,143,7,8,15,165,107,4,272
309071251,0,4,0,0,0,4,5,3,19,201,182,22,402,24,33,61,466,226,5,698
309071252,3,4,0,0,0,4,5,0,11,210,160,15,387,19,9,32,420,214,3,632
309071253,0,0,0,0,0,0,0,0,0,127,80,16,211,11,3,20,230,108,0,342
309071254,0,4,0,0,0,4,3,0,8,39,25,4,65,0,6,3,73,48,0,125
309071255,0,7,0,0,0,7,0,0,16,253,175,20,449,19,21,37,481,190,5,679
309071256,0,3,0,0,0,3,7,3,8,234,180,21,440,21,16,38,475,243,3,725
309071257,0,4,0,3,3,9,3,0,11,146,126,7,273,20,23,45,321,188,3,510
309071258,7,12,0,0,0,12,7,5,23,436,321,49,802,38,43,83,882,418,11,1312
309081259,0,0,0,0,0,0,0,0,3,46,34,3,83,4,0,6,84,66,3,148
309081260,0,4,0,0,0,4,0,0,5,128,132,14,266,8,10,20,292,116,0,407
309081261,0,7,0,0,0,7,6,3,11,369,288,33,690,37,31,75,760,339,5,1104
309081262,3,7,0,0,0,7,6,3,14,310,234,17,568,31,30,56,620,269,3,896
309091263,0,5,0,0,0,5,3,4,17,164,150,9,325,8,18,23,351,210,12,573
309091264,0,0,0,0,0,0,0,0,5,106,73,8,188,7,7,14,204,114,4,321
309091265,0,0,0,0,0,0,3,0,6,119,99,3,217,13,13,20,240,142,3,387
309091540,0,4,0,0,0,4,7,3,17,172,150,8,338,28,40,63,401,292,8,696
309091541,0,6,0,0,0,6,12,12,24,241,213,24,482,25,33,54,536,368,16,915
309101267,0,3,0,0,0,3,0,0,3,100,90,9,207,5,7,12,216,152,3,374
309101268,0,3,0,0,0,3,0,0,3,64,39,4,110,3,8,10,125,69,0,190
309101269,0,0,0,0,0,0,0,0,0,30,29,3,65,3,3,12,72,31,0,110
309101270,0,4,0,0,0,4,0,3,6,200,152,20,375,32,25,56,433,266,5,706
310011271,0,0,0,0,0,0,0,0,0,60,32,4,98,7,10,8,107,84,0,200
310011272,0,3,0,0,0,3,0,0,5,95,68,7,169,21,14,34,202,138,5,347
310011273,0,4,0,0,0,8,3,5,20,526,252,28,806,43,36,78,887,376,14,1270
310011274,3,3,0,3,3,6,16,21,42,220,238,27,487,65,48,110,595,765,30,1389
310011275,3,3,0,0,0,3,0,3,3,103,65,7,174,4,7,11,186,107,3,293
310011276,0,0,0,0,0,3,3,0,6,41,35,0,81,7,11,20,102,146,0,249
310021277,0,3,3,0,3,3,3,0,5,91,95,12,194,20,11,28,219,160,5,387
310021278,0,0,0,0,0,0,0,3,3,32,38,3,65,4,3,12,74,114,6,194
310021279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310021280,0,4,3,0,3,10,7,9,25,181,183,25,384,41,29,72,460,418,14,887
310021281,0,3,0,0,0,3,5,3,9,131,110,22,270,31,28,62,328,338,10,668
310021282,0,3,3,0,3,4,3,0,6,139,100,12,251,34,11,44,300,214,3,510
310031283,0,0,0,0,0,0,4,3,3,200,116,18,331,30,38,70,394,272,4,672
310031284,0,0,0,0,0,0,3,0,7,135,94,17,243,26,18,45,287,264,6,560
310031285,0,0,0,0,0,0,0,0,3,116,64,11,188,9,17,23,212,135,0,346
310031286,4,3,0,0,0,3,3,0,8,89,64,13,163,25,12,37,198,168,3,377
310031287,0,4,0,0,0,4,7,7,20,281,209,30,522,43,32,79,596,523,7,1127
310031288,0,0,0,0,0,0,3,0,3,61,39,9,103,0,4,3,105,64,0,172
310031289,0,0,0,0,0,0,0,0,3,66,30,3,99,6,4,8,105,49,0,155
310031290,0,0,0,0,0,0,0,0,3,67,56,7,120,5,3,7,134,48,0,182
310031291,0,0,4,0,4,5,6,3,15,133,96,19,247,47,24,72,318,310,8,633
310031292,0,0,0,0,0,0,4,0,6,85,65,8,161,20,8,28,186,169,8,361
310031293,0,6,0,0,0,6,10,5,14,265,155,19,435,29,26,53,495,278,11,776
310031294,0,3,0,0,0,3,0,0,3,68,39,0,108,6,0,10,117,44,0,157
310031295,0,0,0,0,0,0,0,4,10,30,29,6,65,11,6,20,87,144,10,241
310041296,0,3,4,0,4,6,0,3,8,187,105,5,296,28,20,50,347,161,3,511
310041297,0,0,0,0,0,0,0,3,8,153,68,12,239,21,11,34,267,178,3,453
310041298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310041299,0,3,0,0,0,3,4,3,10,142,92,17,248,26,18,41,286,185,4,476
310041300,6,10,3,0,3,11,9,11,34,179,102,17,300,39,32,70,373,326,17,716
310041301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310041302,0,4,3,0,0,5,16,9,25,331,234,39,605,82,37,120,721,492,8,1222
310041303,0,0,0,0,0,0,0,0,3,145,60,4,213,13,8,18,227,92,0,326
310041304,0,3,0,0,0,3,3,3,9,305,157,17,474,16,17,37,512,165,9,685
311011305,0,3,0,0,0,3,3,4,15,148,159,7,313,24,23,46,363,353,12,730
311021306,0,4,0,0,0,7,7,3,17,138,96,21,248,43,24,61,312,293,10,617
311021307,0,4,0,4,4,10,6,0,17,203,161,36,390,48,42,94,491,488,15,994
311021308,3,4,0,3,4,5,0,3,6,157,78,22,251,14,21,38,291,151,3,448
311021309,0,3,0,0,0,3,0,0,7,111,76,4,187,5,8,18,198,121,0,326
311021310,0,3,0,0,0,3,0,0,3,93,57,8,164,10,7,15,176,84,0,258
311031311,0,6,0,0,0,8,5,9,20,160,153,23,330,33,20,56,381,277,9,666
311031312,0,0,0,0,0,0,3,0,6,127,103,7,234,24,24,47,284,186,4,471
311031313,0,0,0,0,0,0,0,3,3,58,39,4,103,4,5,8,115,80,3,203
311031314,3,3,0,0,0,3,7,7,15,214,131,17,365,22,32,52,415,336,8,762
311031315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311031316,0,3,0,0,3,4,5,3,14,138,100,11,253,19,8,24,274,136,3,418
311031317,0,0,0,0,0,3,9,6,20,237,183,18,435,47,26,73,512,381,5,899
311031318,0,0,0,0,0,0,0,3,3,39,27,5,67,4,3,7,72,54,4,126
311031319,0,5,0,0,0,7,4,0,11,274,164,26,462,34,12,46,504,250,4,755
311041320,0,0,0,0,0,0,3,0,6,118,87,6,211,25,10,37,243,134,3,382
311041321,3,3,0,0,0,3,6,8,14,311,229,25,562,32,37,73,638,327,10,970
311041322,0,0,0,0,0,0,0,0,0,79,41,4,120,6,4,7,130,81,4,218
311051323,0,0,0,0,0,0,7,4,11,183,108,17,309,24,22,42,350,189,3,550
311051324,0,3,0,0,0,3,0,0,3,137,56,9,204,6,7,15,214,79,0,294
311051325,4,3,0,0,0,3,3,9,16,179,113,15,300,21,15,33,333,181,10,527
311051326,0,8,0,0,0,8,3,3,17,192,119,10,324,35,20,55,380,288,9,676
311051327,0,3,0,0,0,3,0,0,6,188,96,4,286,11,4,20,306,141,0,445
311051328,0,3,0,0,0,3,7,0,7,107,83,14,202,22,18,40,243,214,3,458
311061329,0,0,0,0,0,0,0,0,3,110,58,19,191,14,13,26,216,117,5,330
311061330,0,0,0,0,0,0,14,7,21,132,109,15,249,36,28,62,313,401,10,721
311061331,0,0,0,0,0,0,10,4,8,46,61,6,112,35,23,58,171,257,5,435
311061332,0,3,0,0,0,3,10,3,13,237,155,15,406,12,18,33,436,199,8,645
311061333,0,7,0,0,0,7,10,7,24,173,108,22,298,28,23,57,354,338,14,704
311061334,0,4,0,0,0,4,6,0,10,172,92,10,277,19,10,22,299,142,0,446
311061335,0,0,0,0,0,0,0,0,4,79,37,12,127,9,6,20,147,83,3,235
311061336,0,3,0,0,0,8,4,12,25,158,108,10,283,59,45,108,392,471,23,886
312011337,0,3,0,0,0,3,0,7,3,92,75,6,171,29,8,34,205,149,4,361
312011338,4,4,0,0,0,4,0,0,3,66,27,8,103,10,3,16,124,56,0,177
312011339,0,3,0,0,0,3,0,3,5,32,15,4,58,0,3,6,59,25,3,83
312011340,3,3,0,0,0,3,3,0,3,31,13,4,47,10,0,10,59,35,0,98
312011341,0,3,0,0,0,3,0,4,8,101,42,7,152,11,5,19,163,57,4,225
312021342,0,0,0,0,0,0,8,0,13,235,153,15,402,42,37,79,488,229,4,722
312021343,0,0,0,0,0,4,3,0,5,48,34,3,88,3,9,10,98,46,0,149
312021344,0,3,0,0,0,3,7,0,9,149,122,15,286,37,26,63,354,182,0,537
312021345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312021346,0,0,0,0,0,0,3,0,8,32,31,3,62,15,9,25,87,59,0,153
312021347,0,0,0,0,0,0,0,0,0,12,0,4,17,0,0,0,18,0,0,18
312021348,0,4,0,0,0,3,0,0,7,115,71,11,201,14,9,24,223,100,0,329
312021349,3,3,0,0,0,3,7,3,13,76,60,8,147,28,12,41,186,120,6,314
