SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
102011031,0,15,0,77,0,0,3,3,0,4,0,0,0,17,62,93,0,0,0,0,0,0,0,0,0,25,9,38,170,58,8,153,12,101,12,102,17,793,88,1515
102011032,0,9,3,68,3,0,0,3,0,3,0,0,0,10,96,116,0,0,0,0,0,0,0,0,0,15,10,28,432,84,14,298,25,190,12,121,4,580,113,1878
102011033,0,0,0,20,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,4,0,11,130,18,5,59,10,75,3,29,8,111,27,469
102011034,0,3,0,18,0,0,0,0,0,0,0,3,0,6,30,42,0,0,0,0,0,0,0,0,0,10,12,25,90,26,5,70,8,49,9,44,3,434,50,792
102011035,0,4,0,25,4,0,0,3,0,4,0,0,0,3,20,27,0,0,0,0,0,3,0,0,0,3,5,11,133,29,3,95,4,69,11,48,9,202,28,625
102011036,0,4,0,23,0,0,0,0,0,0,0,0,0,5,27,37,0,0,0,0,0,0,0,0,0,3,0,7,149,23,5,101,4,62,7,45,9,254,35,682
102011037,0,3,0,42,3,0,0,0,0,3,0,0,0,4,28,45,0,0,0,0,0,0,0,0,0,8,3,14,125,28,3,85,3,73,6,57,7,260,38,697
102011038,0,5,0,28,3,0,0,0,0,0,0,0,0,10,36,52,0,0,0,0,0,0,0,0,0,3,0,9,100,39,3,86,4,57,4,67,4,384,39,788
102011039,0,12,0,113,3,0,0,0,0,3,0,3,0,9,75,96,0,0,3,0,0,0,0,0,0,17,0,20,257,67,15,175,20,133,10,117,15,592,83,1474
102011040,0,7,0,88,3,0,0,4,0,9,0,4,0,25,132,182,0,0,0,0,0,0,0,0,0,28,19,50,363,88,13,249,21,216,11,196,20,1252,162,2598
102011041,0,11,0,55,0,0,0,0,0,0,0,5,0,11,55,72,0,0,0,0,0,0,0,0,0,9,3,20,150,49,8,132,7,75,4,76,6,425,69,999
102011042,0,5,0,64,5,0,3,0,0,3,0,0,0,17,62,89,0,0,3,5,0,0,0,0,0,23,25,54,218,63,6,148,16,135,6,101,12,691,99,1485
102011043,0,3,0,23,4,0,0,0,0,3,0,0,0,4,56,73,0,0,0,0,0,0,0,0,3,12,8,20,176,40,3,118,25,89,3,74,10,456,67,1071
102021044,0,4,0,56,7,0,0,6,0,6,0,4,0,22,81,132,0,0,0,0,0,0,0,0,0,26,22,51,349,64,13,256,25,172,14,136,25,900,114,2072
102021045,0,0,0,16,3,0,0,0,0,3,0,0,0,12,27,45,0,0,0,0,0,0,0,0,0,4,9,18,171,29,9,139,8,96,8,61,16,359,45,926
102021046,0,3,0,19,3,0,0,0,0,3,0,0,0,17,48,69,3,0,0,0,0,0,0,0,0,17,9,32,138,32,3,113,11,99,11,73,20,563,71,1129
102021047,0,10,0,47,4,3,0,0,0,3,0,0,0,12,60,89,3,0,0,0,0,0,0,0,0,10,10,29,294,60,11,173,18,170,14,101,19,572,72,1498
102021048,0,7,0,33,3,0,0,3,0,4,0,3,0,18,90,126,7,0,3,0,0,0,0,0,3,41,23,74,315,62,10,241,10,201,12,129,28,953,125,2081
102021049,0,4,0,44,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,5,0,3,54,27,4,64,4,41,5,23,3,97,17,347
