SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
101061543,30,138,30,56,3,275,15,8,110,85,168,18,409,0,0,4,3,20,0,26,0,0,13,22,102,5,135,3,0,3,10,55,19,96,69,66,475,346,1389,153,2491
101061544,12,96,31,30,11,194,14,11,51,60,96,12,245,0,0,3,0,5,0,16,0,0,3,6,61,0,69,0,0,11,5,23,14,55,64,37,384,327,903,145,1864
102011028,32,195,43,42,9,383,60,38,234,106,76,12,536,3,3,11,8,11,3,42,3,0,14,13,53,0,80,12,0,28,16,38,8,95,217,116,822,515,907,93,2673
102011029,41,154,55,62,8,377,53,42,167,118,141,22,533,5,0,13,12,16,3,51,5,0,19,19,84,7,129,3,0,28,21,53,10,113,210,132,870,609,1341,159,3323
102011030,9,53,29,20,7,129,18,4,55,40,46,4,163,0,0,10,5,9,4,28,5,0,6,4,36,3,58,4,0,14,7,31,15,82,79,38,321,257,654,88,1436
102011031,31,231,56,53,4,454,84,48,277,146,180,33,772,3,0,14,12,24,3,52,8,0,15,32,115,3,175,9,6,35,24,59,12,141,307,134,1089,734,1407,130,3805
102011032,38,269,79,92,14,594,128,57,604,226,354,42,1414,4,0,27,22,35,3,94,8,3,40,49,160,11,282,16,0,29,30,66,36,171,440,174,1754,1091,2225,250,5941
102011033,8,66,27,28,3,157,17,17,106,97,134,10,387,0,0,5,10,6,0,19,0,0,8,13,90,9,121,5,0,9,8,40,9,71,92,55,422,433,978,83,2065
102011034,25,106,30,48,9,250,35,17,129,81,101,14,375,0,0,8,9,12,0,24,6,0,9,17,67,3,98,0,0,8,14,41,11,81,114,63,436,347,914,87,1960
102011035,16,76,35,30,3,206,24,26,152,86,152,16,468,0,0,9,3,13,0,20,3,3,10,15,82,3,117,4,0,15,17,32,14,86,124,70,509,393,1022,87,2205
102011036,21,147,39,45,5,303,31,34,165,95,149,12,481,0,0,8,12,12,0,29,3,0,12,18,101,5,137,0,0,7,15,39,13,76,144,89,642,487,1149,99,2599
102011037,18,98,38,26,3,228,37,24,125,96,95,10,393,0,3,17,3,13,0,37,7,3,11,10,38,3,71,0,0,12,10,26,17,63,151,76,535,401,723,75,1962
102011038,21,130,39,34,3,270,33,20,117,78,113,13,373,3,0,5,13,11,0,26,0,0,12,23,79,4,114,3,0,13,11,40,10,73,106,69,510,418,1035,78,2208
102011039,47,340,68,48,7,617,125,44,459,143,159,23,956,3,3,27,9,14,4,65,7,8,28,30,131,3,206,11,0,26,30,60,16,140,399,176,1542,842,1572,168,4700
102011040,43,224,78,94,12,541,73,30,252,237,427,57,1075,3,3,20,13,45,7,83,11,5,22,48,203,19,296,3,5,33,37,119,49,246,348,130,1142,1065,2821,339,5843
102011041,38,238,51,50,10,457,75,43,291,115,131,28,679,3,0,5,3,12,5,35,5,3,15,19,72,4,126,3,0,12,13,53,10,92,250,120,1003,598,1234,139,3340
102011042,32,114,43,47,9,304,36,17,162,128,242,28,609,4,0,11,3,25,3,43,6,3,10,29,107,0,160,10,5,20,5,60,23,131,225,112,739,597,1558,176,3409
102011043,23,127,56,59,9,308,32,24,219,141,238,19,665,3,3,7,8,22,0,43,3,3,23,18,96,10,153,0,3,13,15,58,19,104,148,78,695,576,1404,150,3061
102021044,48,355,91,100,18,665,53,29,290,240,417,43,1068,3,3,13,17,33,0,68,3,0,16,46,239,3,312,4,0,22,27,103,38,195,200,125,1172,1034,3119,278,5919
102021045,11,67,27,48,0,156,13,12,80,139,269,28,529,0,0,9,3,7,3,22,3,0,5,14,113,0,134,0,0,0,3,74,26,103,31,36,281,397,1601,148,2497
102021046,11,83,32,62,3,210,7,14,93,87,184,13,400,0,0,8,4,20,0,31,0,0,5,12,97,0,118,0,0,4,14,52,19,87,53,41,305,392,1328,117,2229
102021047,31,233,53,69,7,465,42,31,195,166,308,41,776,0,0,16,17,22,0,55,7,0,14,29,195,5,251,3,0,18,28,105,25,182,174,116,856,850,2399,186,4583
102021048,26,168,67,96,3,405,31,36,217,218,421,51,980,0,0,3,14,48,6,63,0,0,14,30,214,11,269,3,0,16,16,123,42,213,117,98,696,819,2803,276,4809
102021049,9,52,14,13,3,110,17,14,56,40,32,3,157,3,0,3,9,18,0,28,0,0,6,3,50,3,63,0,0,8,13,21,5,51,69,40,263,209,484,53,1108
102021050,17,94,45,41,8,222,15,12,92,103,197,20,431,0,0,3,3,20,4,30,0,0,9,3,119,12,140,0,0,3,9,52,32,97,52,42,336,394,1450,138,2411
102021051,21,88,25,29,4,197,29,13,123,60,85,17,332,0,0,6,7,13,0,26,0,0,4,9,55,3,75,0,0,12,6,24,7,49,107,46,435,323,680,84,1669
102021052,10,54,15,33,3,126,5,3,53,60,122,12,258,0,0,0,6,7,0,12,3,0,0,3,61,0,69,0,0,7,4,38,6,55,32,22,178,223,898,59,1413
102021053,46,195,41,49,8,397,37,28,188,135,270,30,685,0,0,8,10,24,4,53,0,3,9,36,119,5,178,0,0,11,25,88,28,158,167,108,722,661,1819,213,3690
102021054,25,118,20,44,3,230,14,16,95,102,191,19,439,0,0,0,3,15,0,18,0,0,3,12,60,8,84,0,0,11,7,51,14,80,62,63,360,387,1211,111,2196
102021055,11,80,18,27,0,159,27,8,99,42,81,9,272,0,0,3,3,15,0,24,0,0,9,13,40,3,65,5,0,6,8,24,3,50,85,37,385,281,691,56,1524
102021056,15,142,52,55,9,322,42,29,231,190,299,31,813,0,0,7,9,24,0,43,7,0,11,36,166,3,224,3,0,20,9,70,11,120,170,94,741,840,2138,168,4159
