SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
128021534,41,250,89,52,14,547,67,30,187,89,89,16,475,3,0,23,8,22,5,63,3,0,26,31,136,9,201,11,0,28,26,59,22,146,369,131,1330,721,1345,162,4058
128021535,94,506,165,119,28,1093,116,48,374,218,216,33,1003,3,0,29,28,54,3,112,10,11,46,51,243,14,373,12,0,48,48,123,29,260,638,269,2304,1563,2921,306,8003
128021536,87,462,119,91,17,967,136,66,367,207,179,39,987,14,3,44,17,45,7,125,24,5,43,46,160,10,289,14,3,84,46,90,22,256,885,344,2669,1512,2284,238,7935
128021537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,3,0,14
128021538,83,404,96,92,15,874,125,60,427,214,239,34,1098,6,3,42,19,35,3,117,9,8,64,47,206,4,340,24,7,55,42,100,52,278,819,298,2478,1450,2601,296,7942
128021607,63,355,105,91,13,760,68,39,293,183,212,33,830,6,0,10,17,37,3,76,7,9,35,42,192,7,282,12,4,25,23,92,21,172,397,192,1450,1180,2527,196,5939
128021608,27,177,38,35,6,341,47,27,129,71,89,8,366,3,0,19,9,15,0,47,0,3,13,19,74,0,109,9,3,18,8,45,9,90,227,107,769,491,1009,86,2694
128021609,18,83,39,25,6,197,14,13,74,43,35,10,192,3,0,10,0,4,0,18,0,0,5,3,52,3,66,3,0,14,10,24,6,57,96,64,421,330,553,56,1517
197979799,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
199999499,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
201011001,70,245,63,74,0,547,79,80,357,156,162,20,864,5,0,16,12,21,3,61,3,0,10,17,87,0,124,3,0,16,9,29,12,67,309,219,1088,626,1401,115,3754
201011002,118,259,73,61,9,654,199,116,465,122,114,30,1046,8,4,21,16,12,3,61,5,10,17,17,49,0,101,9,3,28,10,25,12,94,496,331,1478,623,939,117,3990
201011003,168,467,111,139,15,1106,148,150,577,243,299,48,1469,11,5,36,19,35,6,114,0,6,20,44,188,16,280,3,9,32,28,81,27,182,533,495,2065,1155,2696,283,7230
201011004,119,330,115,143,15,852,89,84,402,265,408,38,1282,10,4,52,19,47,4,141,0,6,24,40,188,5,264,12,6,20,33,97,33,194,372,311,1528,1065,2917,237,6427
201011005,64,181,61,37,4,445,65,48,178,81,79,18,461,4,0,18,9,19,0,41,7,0,17,14,50,4,85,5,3,14,4,34,9,69,238,157,726,379,734,77,2307
201011006,13,93,31,26,0,189,21,41,106,83,122,10,387,0,0,7,6,11,0,21,3,0,5,12,65,3,91,5,0,5,3,28,6,41,62,74,395,335,1012,65,1942
201011007,17,59,29,29,6,147,13,24,83,47,65,15,247,0,0,0,6,7,0,16,0,0,0,3,36,0,46,0,0,9,0,26,12,41,43,68,238,194,616,77,1238
201011008,53,150,36,68,4,358,22,51,187,136,207,25,631,0,0,14,15,38,3,67,0,0,17,15,90,3,126,0,0,18,13,63,37,133,117,144,679,483,1685,184,3298
201021009,25,78,30,32,6,187,23,24,65,43,80,7,239,0,0,9,7,10,0,27,3,6,13,3,49,0,72,0,0,14,8,46,3,76,100,81,367,282,800,102,1733
201021010,40,77,35,26,3,233,31,39,92,81,127,23,385,3,0,3,16,12,3,34,0,3,6,19,65,3,95,3,0,5,12,36,11,70,115,112,402,370,963,108,2072
201021011,49,119,37,30,9,296,57,46,163,104,91,21,477,8,4,30,16,16,4,76,8,6,8,14,44,4,82,4,3,27,15,36,21,100,252,172,760,502,888,134,2715
201021012,25,71,48,38,0,220,18,24,88,64,68,10,270,0,3,10,5,12,0,25,0,0,11,6,36,3,53,3,0,8,12,41,5,73,113,79,350,315,800,79,1738
201031013,3,17,10,9,0,47,6,6,32,22,41,8,116,0,0,4,0,3,0,14,0,0,0,3,12,0,18,0,0,3,3,12,5,25,23,21,127,121,352,63,706
201031014,10,38,21,13,3,98,5,11,50,49,43,3,160,0,0,0,8,5,0,16,0,0,3,3,33,3,42,0,0,3,4,25,5,37,36,37,172,192,462,56,960
201031015,23,40,20,26,3,132,11,16,59,56,60,14,224,0,0,0,3,16,0,18,0,0,0,3,47,0,54,0,0,3,8,34,10,59,56,63,203,225,633,77,1252
201031016,16,70,11,34,8,158,9,11,67,70,136,20,310,0,0,4,3,15,0,25,0,0,3,4,57,6,71,0,0,6,4,39,19,69,37,43,236,220,869,121,1527
201031017,12,36,20,13,5,94,12,9,51,46,57,8,174,0,0,4,5,10,3,15,0,0,0,7,39,3,55,3,0,4,4,25,9,47,24,33,163,168,593,79,1057
202011018,72,207,59,61,14,478,150,81,398,172,228,26,1051,4,3,9,4,28,3,47,8,5,13,17,100,5,150,9,4,15,14,66,34,140,324,228,1152,589,1640,180,4107
202011019,44,98,40,53,10,273,24,35,135,130,263,20,604,0,0,6,3,16,0,38,3,0,10,19,97,3,132,4,0,17,10,58,26,110,79,118,452,421,1584,124,2775
202011020,90,242,76,61,15,558,116,80,361,131,195,22,904,0,0,17,15,27,3,61,14,0,22,32,96,9,168,0,3,22,8,45,10,86,285,260,1225,631,1379,157,3932
202011021,90,198,41,45,6,461,71,84,236,143,146,19,697,3,4,15,6,11,3,50,8,8,18,22,63,0,108,4,3,17,5,29,3,67,236,230,931,463,996,94,2946
202011022,72,227,68,83,14,511,60,85,292,211,350,36,1034,0,3,16,13,25,0,54,6,5,18,39,177,6,251,3,0,14,15,82,30,146,209,233,1090,802,2515,217,5065
202011023,36,86,28,30,7,204,24,22,105,56,76,12,302,0,0,0,0,7,0,12,0,0,3,14,80,3,102,0,3,4,7,28,11,52,64,86,367,266,806,78,1672
202011024,60,232,41,38,6,441,66,59,237,110,117,14,608,0,0,7,4,22,0,34,3,3,12,12,77,0,111,4,0,12,13,38,11,71,186,198,920,479,1045,93,2911
202011025,49,175,54,68,7,379,42,56,238,143,234,35,754,0,0,10,16,24,10,64,0,5,7,21,123,7,163,3,0,14,13,60,24,108,137,162,821,548,1805,175,3646
202021026,48,116,35,42,3,283,40,51,158,97,105,19,473,0,0,0,0,18,0,20,3,3,9,10,82,3,107,3,0,5,13,39,8,68,124,152,559,386,1057,118,2387
202021027,78,145,45,31,11,416,76,66,180,122,112,19,576,9,5,30,16,5,8,74,8,3,22,16,60,3,106,8,7,24,21,41,11,116,327,236,803,433,861,130,2795
202021028,64,109,26,27,0,277,37,46,142,96,115,20,457,9,10,13,9,13,4,51,0,4,13,9,70,0,102,0,3,16,11,31,17,86,188,187,640,403,955,128,2502
202021029,22,28,10,9,0,78,7,13,38,33,73,12,170,0,0,3,0,3,0,10,0,0,3,3,37,0,45,0,0,0,3,22,19,47,31,45,172,153,531,59,996
202021030,71,137,32,38,8,346,32,36,144,65,123,19,425,13,3,24,11,18,6,76,0,0,15,9,85,7,119,7,3,19,16,37,14,97,214,180,747,476,1138,165,2922
202021031,57,121,18,38,8,328,37,46,157,70,61,9,379,3,0,17,7,10,3,39,9,3,17,15,29,0,73,5,9,25,14,23,7,88,263,199,770,358,637,83,2321
202031032,20,46,16,20,3,117,15,23,60,31,65,12,204,0,0,3,8,8,0,23,0,0,0,4,38,4,53,0,0,3,4,36,7,50,49,65,217,179,659,67,1225
202031033,32,59,14,19,4,135,13,10,54,59,79,15,232,0,0,3,0,5,0,11,0,0,5,3,32,3,49,4,0,0,7,22,25,54,35,65,274,267,782,112,1535
203011034,27,105,38,32,0,235,10,25,111,60,113,11,329,0,0,5,10,6,0,19,0,0,3,15,68,3,98,0,0,5,11,43,12,69,71,74,417,376,1039,87,2073
203011035,28,100,29,28,3,234,11,35,97,79,111,13,348,0,0,7,3,7,3,25,4,0,5,11,71,0,94,3,6,6,10,37,9,76,97,126,432,380,1078,107,2222
203011036,22,84,42,22,4,204,19,26,93,49,95,6,303,0,0,11,15,12,3,33,7,4,14,9,57,0,86,3,0,8,8,24,7,61,113,73,479,334,816,92,1909
203021037,105,297,88,80,5,713,84,79,339,132,191,27,849,4,3,31,10,20,0,65,6,3,23,38,88,8,163,3,3,28,19,51,21,134,398,278,1410,727,1562,160,4535
203021038,25,135,82,110,9,425,29,25,153,179,418,40,846,0,0,7,13,18,8,46,3,0,10,35,163,6,221,3,0,13,28,126,82,258,145,99,663,793,2639,379,4725
203021039,81,230,70,52,12,539,131,107,496,164,160,23,1073,4,3,23,14,27,0,71,7,8,27,31,117,0,191,11,0,30,14,43,24,117,413,301,1557,759,1352,153,4543
203021040,133,428,117,116,8,960,114,137,522,222,293,39,1323,12,10,39,17,28,3,106,9,6,49,51,147,5,266,13,5,40,36,77,30,200,536,412,2215,1182,2303,232,6893
203021041,93,404,156,130,19,941,108,93,527,279,399,41,1446,11,0,30,26,48,8,116,6,4,46,61,209,9,324,4,3,32,40,96,21,200,408,294,1994,1389,3114,227,7424
203021042,158,578,124,95,24,1279,143,125,655,234,241,40,1430,10,5,38,22,41,3,118,12,9,49,41,140,3,252,11,5,53,40,58,16,186,783,454,2650,1275,2119,217,7493
203021043,59,209,85,90,17,513,41,55,214,189,255,32,787,3,0,23,21,31,4,87,5,3,27,34,143,5,218,8,0,22,39,83,28,186,227,181,1111,1036,2465,237,5265
203021044,25,159,89,72,4,406,29,51,233,171,269,31,784,3,0,9,13,26,0,50,7,0,15,28,147,4,201,3,0,6,20,69,15,119,154,113,789,767,1928,133,3891
203021045,28,89,55,77,8,279,21,36,180,157,299,33,725,0,0,4,9,26,0,50,9,3,18,15,137,5,186,3,0,8,14,96,28,154,101,91,580,600,1961,193,3529
203021046,81,284,81,41,3,618,146,67,365,111,92,21,809,3,4,22,10,14,8,66,3,5,9,28,60,3,104,8,3,44,16,32,16,111,445,258,1461,587,810,88,3647
203021047,55,158,78,80,9,427,50,37,219,138,202,30,676,3,6,10,9,19,0,49,3,3,19,32,107,3,170,3,3,33,25,82,24,166,194,162,961,730,1673,194,3912
203031048,66,157,74,50,11,405,33,57,217,166,264,20,767,0,5,14,15,13,3,53,0,3,11,36,132,10,186,4,0,19,18,76,15,138,147,168,803,699,1781,158,3764
203031049,37,113,22,16,3,232,30,13,107,45,25,9,233,3,3,26,13,21,0,66,3,0,11,7,29,3,48,0,3,21,11,20,9,67,138,99,568,279,514,73,1673
203031050,178,556,151,96,21,1193,178,159,548,235,283,66,1467,8,9,39,29,63,9,150,15,9,44,50,149,8,267,14,7,44,39,92,30,229,643,539,2440,1419,2736,262,8040
203031051,25,57,26,25,5,170,22,21,81,56,92,18,284,0,0,8,3,13,5,25,0,3,6,6,34,3,53,3,0,16,9,24,14,68,87,65,333,291,688,104,1580
203031052,17,73,20,11,3,156,33,12,82,38,23,3,191,0,4,13,3,3,0,24,3,0,6,5,14,0,36,9,6,7,3,5,6,32,127,81,406,195,271,35,1111
203031053,131,482,121,70,21,996,111,104,470,207,130,32,1053,14,5,21,27,26,3,102,4,8,34,50,116,3,217,10,7,56,33,66,31,207,556,383,2307,1174,1952,214,6593
204011054,47,95,35,56,9,265,13,9,72,43,70,15,231,3,3,3,4,14,7,34,3,0,5,5,42,0,56,0,0,3,7,30,10,52,63,80,342,284,793,105,1667
204011055,27,75,28,25,5,176,12,18,69,62,91,12,263,0,0,6,12,34,3,52,4,3,6,11,38,4,67,3,4,13,6,31,17,73,65,78,349,303,725,109,1622
204011056,77,150,48,66,8,393,24,28,144,147,156,25,533,3,0,10,22,40,3,78,8,0,11,27,131,12,183,3,8,16,23,104,20,171,136,149,627,717,1985,204,3822
204011057,60,125,49,46,10,325,12,10,99,81,73,8,288,3,3,10,7,13,4,35,0,0,9,20,83,3,114,3,3,5,13,64,27,107,113,116,560,454,1238,147,2622
204011058,10,58,18,9,0,100,11,3,42,35,36,8,138,0,0,7,9,12,3,33,0,0,3,9,23,0,33,0,0,8,4,20,12,46,41,25,218,227,527,73,1110
204011059,20,55,25,19,0,137,7,5,46,60,69,8,207,0,0,0,3,12,3,23,0,0,3,15,58,7,79,0,3,0,4,26,8,46,35,41,227,272,722,91,1397
204011060,21,57,16,20,0,118,8,14,31,30,42,5,127,0,0,4,3,7,0,15,0,0,7,3,38,3,49,0,0,4,0,15,14,40,61,48,242,249,641,79,1325
204011061,0,0,0,0,0,4,0,0,0,3,4,0,6,0,0,3,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,4,9,25,3,44
204011062,11,39,22,11,0,97,5,0,45,36,19,4,120,0,0,0,0,4,3,12,3,0,4,0,43,7,56,3,0,5,5,20,16,45,38,25,203,181,422,84,946
204021063,48,118,37,54,12,291,24,26,124,122,166,32,502,0,0,4,3,26,3,38,0,3,7,17,87,4,115,0,3,11,9,50,19,84,98,93,446,454,1239,170,2503
204021064,8,51,10,20,3,109,14,10,40,39,37,7,147,0,0,0,6,8,3,12,0,0,0,0,35,3,41,0,0,4,7,22,8,46,44,51,225,209,531,64,1125
204021065,6,37,10,16,0,81,3,16,40,38,41,10,144,0,0,0,0,4,3,12,0,0,11,8,37,0,57,0,0,9,3,15,15,43,40,42,214,176,530,73,1077
204021066,78,256,70,92,13,559,82,101,389,252,324,46,1203,0,4,15,12,30,4,64,9,3,18,35,163,4,232,3,0,13,30,86,32,160,219,247,1103,893,2357,219,5040
204021067,50,144,62,39,7,338,37,54,181,145,159,27,600,0,0,9,14,7,5,38,4,3,15,10,81,7,110,3,0,15,18,59,19,110,125,167,704,629,1370,163,3152
204031068,44,69,17,19,3,190,35,28,116,89,60,18,346,3,5,8,4,3,0,23,4,0,4,3,22,3,40,4,0,12,3,17,8,50,132,130,406,287,489,72,1509
204031069,43,131,35,40,8,289,21,40,90,78,70,9,318,0,10,21,19,35,3,88,0,3,6,9,42,3,65,5,0,16,10,36,7,75,125,143,602,454,1033,127,2478
204031070,17,18,11,15,0,84,11,13,68,41,47,10,196,0,0,0,7,4,0,14,0,0,3,3,34,0,41,0,0,0,9,30,8,45,37,44,178,181,468,60,973
204031071,13,44,9,18,5,105,13,18,66,51,77,8,228,0,0,0,3,6,0,5,0,0,5,7,48,0,56,0,0,6,5,20,6,43,40,44,234,218,605,70,1216
204031072,30,74,31,28,8,190,17,14,75,84,101,3,302,0,0,0,3,9,0,14,0,0,3,3,72,0,81,3,0,4,9,30,15,58,55,66,316,296,858,120,1717
204031073,64,164,80,88,13,465,50,57,242,195,290,24,856,0,0,7,6,18,0,30,0,0,15,36,160,3,210,0,0,9,15,66,26,114,166,185,858,847,2214,180,4447
204031074,108,305,110,128,7,750,116,99,428,293,418,45,1393,4,0,6,10,20,7,53,8,3,12,50,217,11,307,3,3,29,28,132,50,253,347,306,1440,1405,3566,291,7344
204031075,36,76,24,29,5,203,17,22,78,57,81,10,265,0,0,10,3,3,0,19,0,0,0,10,51,3,60,7,3,10,5,25,7,53,92,105,340,238,709,80,1563
205011076,77,213,88,89,9,531,26,38,174,141,236,28,653,0,0,8,15,17,3,46,7,4,21,30,172,4,239,4,4,15,24,92,25,169,133,174,755,726,2320,206,4318
205011077,27,69,32,42,3,199,14,16,92,57,63,10,253,0,0,3,9,10,0,20,3,0,7,8,70,4,88,0,0,6,12,31,13,69,80,84,367,289,890,96,1803
205011078,32,109,36,29,3,240,18,26,117,77,110,12,363,0,0,4,5,25,0,33,3,0,8,18,71,3,107,3,0,10,8,50,10,82,87,95,423,368,1117,117,2205
205011079,132,357,104,122,17,842,80,66,280,188,234,31,879,3,0,5,15,20,5,57,4,9,25,45,164,12,256,0,3,18,30,90,23,162,327,294,1259,966,2402,232,5484
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,47,161,64,91,14,402,50,57,196,177,236,26,744,3,0,6,12,19,0,39,0,0,11,30,143,7,195,0,0,13,16,58,25,110,118,136,683,629,1834,223,3622
205021082,37,85,27,53,7,218,17,25,83,90,125,19,353,0,0,11,8,6,0,28,0,3,0,7,66,3,88,0,0,11,20,42,14,89,58,104,337,380,1082,143,2098
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,36,100,33,41,0,228,19,30,108,86,136,18,393,0,0,3,4,19,0,30,0,0,5,15,75,11,105,0,0,10,13,46,14,92,69,88,370,368,1176,129,2208
205021085,41,88,27,36,11,209,16,11,58,66,77,16,243,0,0,16,5,6,3,34,0,0,4,7,36,5,50,0,3,5,5,23,18,53,41,64,269,235,627,117,1357
205021086,31,76,23,40,3,195,16,26,86,62,90,9,283,0,0,4,3,17,0,25,0,4,3,6,35,3,56,0,0,7,7,32,9,60,60,78,274,229,687,66,1391
205031087,27,84,30,25,0,189,18,25,91,68,82,16,304,5,3,19,11,22,4,64,0,0,3,13,67,0,85,4,0,13,8,38,16,86,95,99,431,378,1045,127,2180
205031088,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,9,0,26
205031089,29,96,40,28,11,218,23,23,91,70,141,16,362,0,3,9,3,16,3,30,0,0,4,8,108,7,131,0,0,8,9,68,34,123,75,89,425,385,1346,165,2482
205031090,52,148,40,59,9,336,27,38,148,130,147,17,500,3,0,6,6,12,0,27,3,0,9,9,87,4,110,0,0,11,23,52,17,102,97,137,599,497,1477,171,2976
205031091,51,165,33,26,0,297,26,27,113,85,106,16,376,7,4,52,50,56,12,186,0,0,14,12,75,0,94,3,0,7,14,39,21,85,109,127,605,504,1214,161,2713
205031092,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,12
205031093,103,228,73,85,15,558,64,70,261,179,308,49,922,4,5,26,25,50,5,115,0,0,18,42,164,7,233,12,3,30,29,106,39,220,231,237,1024,861,2592,338,5277
205041094,45,148,56,67,7,393,34,33,178,110,140,23,511,0,0,4,3,15,0,25,0,0,12,10,84,4,117,4,0,10,10,64,13,106,142,139,634,530,1566,168,3183
205041095,46,128,85,85,7,376,28,30,166,152,288,34,703,0,0,5,10,22,5,39,0,5,9,28,137,9,185,0,0,4,20,95,35,155,88,108,526,615,2228,228,3788
205041096,39,76,41,62,12,234,24,20,118,103,185,34,481,0,0,5,3,10,0,25,0,3,9,13,87,7,112,0,0,6,4,69,23,106,54,87,426,420,1460,170,2622
205041097,115,369,94,101,20,797,153,107,554,292,367,61,1532,0,4,14,14,31,4,61,6,4,19,46,253,10,339,4,3,25,8,117,50,207,369,326,1737,1271,3728,341,7775
205041098,10,54,22,25,4,134,6,15,55,41,86,13,219,0,0,3,0,3,0,8,0,0,3,6,33,0,44,0,0,4,9,32,6,49,29,39,198,200,767,69,1306
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8
205051100,16,43,24,19,4,107,13,15,43,37,46,14,154,0,0,3,0,8,3,9,0,0,0,7,32,0,37,0,0,5,3,25,12,47,30,40,213,192,537,83,1089
205051101,54,190,37,85,17,412,22,44,164,130,213,26,600,3,3,14,14,21,0,50,3,3,11,17,140,9,175,0,0,11,22,99,36,175,108,146,669,567,2063,233,3777
205051102,11,43,17,23,4,105,9,10,37,41,39,6,148,0,0,6,0,5,0,11,0,0,8,3,36,0,49,0,0,4,5,26,4,41,24,32,197,200,634,62,1143
205051103,78,201,78,71,4,472,87,68,270,146,209,40,814,3,0,3,11,16,0,32,0,3,11,25,109,7,158,0,0,11,16,75,19,124,207,204,930,715,1777,185,4017
205051104,21,49,13,24,5,119,12,14,63,51,92,3,227,0,0,0,6,3,0,7,0,0,4,3,38,0,47,0,0,10,3,20,4,43,33,48,206,181,676,72,1226
206011105,254,697,102,67,30,1862,419,168,673,143,125,30,1562,104,23,279,52,50,16,525,61,20,132,51,92,16,373,58,10,137,48,58,47,359,2517,901,5574,1361,1495,289,12134
206011106,125,302,53,27,10,802,147,88,313,64,46,7,673,28,9,105,18,17,3,182,23,15,66,32,52,3,185,18,10,67,18,19,15,156,1093,432,2523,598,675,102,5423
206011107,141,364,41,44,12,907,168,83,356,119,81,19,834,22,11,97,24,29,8,187,37,7,72,27,57,4,203,22,10,66,28,35,35,188,1049,450,2471,743,884,171,5767
206011108,281,595,111,76,32,1553,254,147,623,193,192,33,1442,26,16,156,47,33,5,283,47,21,83,63,135,14,347,51,9,127,58,73,46,360,1610,780,4058,1415,1783,290,9931
206011109,72,201,52,33,6,475,83,59,189,75,70,5,484,8,8,40,16,17,8,86,4,3,27,17,56,3,113,10,4,41,18,40,15,120,425,244,1341,544,777,95,3427
206021110,92,209,49,24,8,555,155,65,275,61,56,15,621,23,10,48,13,24,0,116,14,7,35,21,35,3,112,11,7,51,14,22,17,123,725,342,1712,483,545,80,3887
206021111,282,639,103,58,10,1688,448,187,787,167,123,36,1753,60,40,216,39,37,6,402,64,30,119,46,90,8,355,42,13,118,43,61,50,328,2261,1003,5009,1247,1313,233,11069
206021112,221,467,80,41,15,1154,262,118,546,143,106,9,1190,17,28,129,37,30,4,238,28,11,71,36,92,14,248,29,11,102,57,54,31,284,1288,652,3403,1058,1166,190,7754
206031113,118,283,56,43,16,715,158,86,393,118,88,19,857,17,18,95,33,37,7,209,19,7,46,24,60,0,163,24,11,58,24,30,32,170,917,437,2541,816,1012,151,5879
206031114,209,602,129,84,15,1333,273,124,647,193,152,38,1424,24,7,98,37,56,3,218,19,10,85,56,125,12,307,35,8,114,53,81,48,344,1451,695,4497,1614,2100,296,10647
206031115,50,188,33,20,5,486,113,46,240,48,65,9,519,15,8,69,13,11,3,117,18,7,33,9,18,0,97,21,4,55,15,25,20,143,765,251,1680,407,457,98,3655
206031116,132,283,66,40,15,735,134,70,372,89,73,30,769,12,9,64,17,32,3,132,19,8,33,30,64,4,164,23,3,71,25,46,9,178,881,414,2462,835,979,154,5720
206041117,55,239,20,11,6,696,153,50,305,61,45,22,634,28,13,82,18,15,4,164,28,5,35,20,20,3,121,37,0,73,17,20,25,175,1304,266,2427,485,427,139,5041
206041118,22,97,27,16,8,265,63,28,155,37,19,10,309,16,0,40,16,18,4,90,13,3,30,16,30,0,97,21,8,74,19,27,16,167,970,199,2358,588,499,174,4794
206041119,26,105,9,0,3,262,118,43,208,29,17,11,418,15,8,37,12,9,0,78,10,0,23,9,12,0,55,21,5,35,19,3,11,93,589,165,1286,256,167,69,2541
206041120,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,3,0,28
206041121,86,268,47,24,7,649,185,82,342,64,59,10,740,23,25,95,25,29,3,201,18,7,46,16,38,5,137,27,3,80,13,22,10,155,1037,386,2463,597,591,107,5175
206041122,64,322,49,29,11,886,212,57,457,70,48,21,867,45,9,147,44,22,8,278,31,13,112,75,70,15,314,103,10,237,89,43,50,534,2763,437,6388,1484,946,370,12389
206041123,84,358,44,28,10,978,255,93,555,89,74,20,1081,44,19,113,32,22,3,232,34,12,73,47,53,6,209,49,11,111,42,31,30,272,1812,463,3919,883,744,195,8020
206041124,35,166,12,18,0,483,127,21,221,27,17,5,422,19,3,52,12,9,0,94,12,0,27,9,14,0,58,19,3,28,7,10,7,76,713,126,1190,189,226,44,2481
206041125,36,119,11,11,3,288,118,40,202,17,14,9,393,8,10,52,16,3,7,94,10,3,23,7,11,0,52,14,3,57,14,11,6,108,618,173,1442,292,219,63,2805
206041126,61,229,42,24,12,603,178,52,359,61,43,16,709,58,14,174,93,75,4,416,35,9,78,39,50,8,222,52,6,151,46,32,30,315,1927,411,4204,1055,875,215,8685
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,62,204,41,13,6,532,223,73,385,66,40,24,805,25,15,109,30,19,4,196,14,3,47,16,34,3,123,56,8,120,35,36,28,288,1366,376,3177,778,667,191,6557
206051129,118,357,64,38,11,859,207,96,487,119,75,32,1013,41,10,113,42,36,3,248,21,16,65,52,85,4,242,38,8,104,35,44,28,261,1203,513,3466,1046,1136,195,7561
206051130,80,221,64,37,18,572,145,56,304,81,61,13,653,25,8,99,35,36,3,205,14,6,59,36,92,13,216,33,11,112,43,52,39,286,1182,452,3084,1030,1093,214,7059
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6
206051132,54,172,39,19,7,403,136,41,235,44,26,19,508,20,13,97,29,17,0,176,20,10,48,22,39,4,136,35,9,62,19,23,17,162,1014,317,2413,585,551,120,5005
206051133,160,450,91,58,10,1161,319,120,628,181,116,50,1410,48,21,192,78,69,10,424,38,8,107,82,164,13,403,57,12,213,71,77,56,486,2128,693,5407,1773,1957,373,12339
206051134,129,383,89,52,15,932,199,104,458,142,100,15,1025,37,13,112,48,32,11,253,21,7,69,64,91,8,264,43,9,104,51,45,28,269,1264,489,3587,1162,1197,194,7887
206061135,55,137,27,12,7,362,140,41,287,59,31,23,584,11,0,44,14,12,3,79,13,3,28,19,21,4,79,16,3,89,20,20,16,163,736,232,2005,493,378,114,3958
206061136,103,360,72,33,17,848,239,115,638,118,96,24,1225,36,12,181,52,57,6,345,18,6,80,69,111,3,290,41,22,151,46,37,37,334,1498,539,4956,1270,1269,226,9755
206061137,90,309,47,30,15,836,286,80,593,66,66,24,1115,36,16,171,46,30,10,311,26,4,77,53,92,6,256,80,15,173,44,52,33,401,2002,512,5276,1111,1081,259,10252
206061138,39,159,34,15,6,384,201,50,415,81,25,33,806,16,4,68,17,10,5,120,9,5,30,24,47,0,116,52,9,120,37,17,34,261,990,251,2628,648,492,188,5197
206071139,67,172,29,15,3,438,116,48,308,52,36,9,567,17,10,63,22,10,5,123,15,7,36,20,38,12,132,20,8,66,19,13,13,137,772,265,2115,518,466,95,4240
206071140,88,253,26,11,6,685,164,38,291,41,16,5,564,24,9,66,16,9,4,136,10,3,31,8,22,3,81,20,6,74,13,21,8,147,1034,285,2065,360,331,70,4145
206071141,39,150,18,18,3,388,102,38,238,48,44,8,477,18,8,64,16,16,4,128,19,4,33,16,29,3,108,22,5,49,20,18,12,129,739,232,1837,445,487,79,3814
206071142,62,169,38,19,4,519,179,46,280,48,40,4,606,33,11,106,12,13,7,186,31,3,39,15,26,4,115,31,12,80,18,16,14,177,1020,281,2154,449,436,104,4444
