SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL31956,5,8,11,4,10,0,0,3,0,33
SAL31957,0,0,6,3,3,0,6,6,0,26
SAL31958,0,0,0,0,0,0,0,0,0,0
SAL31959,6,0,0,0,0,0,0,0,0,7
SAL31960,18,0,0,0,3,0,0,3,0,22
SAL31961,17,11,23,19,15,3,11,27,0,133
SAL31962,9,3,5,6,0,0,4,7,0,38
SAL31963,9,6,9,5,3,5,3,4,0,46
SAL31964,8,0,0,0,0,0,0,0,0,9
SAL31965,29,14,15,10,4,0,21,31,17,139
SAL31966,3,0,0,5,0,0,0,0,0,8
SAL31967,33,53,25,21,14,0,0,8,3,158
SAL31968,265,671,184,212,245,151,83,109,20,1937
SAL31969,888,2141,690,684,898,556,280,462,100,6703
SAL31970,29,18,25,26,19,15,13,27,4,183
SAL31971,14,0,0,0,0,0,0,0,0,13
SAL31972,8,0,0,0,0,0,0,0,0,16
SAL31973,3,0,0,4,0,0,0,0,0,18
SAL31974,24,22,9,0,7,0,12,11,0,89
SAL31975,5,27,3,22,7,3,6,4,0,84
SAL31976,24,16,31,14,16,9,39,19,13,195
SAL31977,27,19,52,23,30,24,29,31,5,228
SAL31978,39,11,25,4,29,7,29,25,3,176
SAL31979,38,9,19,18,17,11,12,13,4,142
SAL31980,17,30,19,16,13,15,5,16,3,138
SAL31981,8,6,19,21,12,17,24,23,4,143
SAL31982,3,0,0,0,0,0,0,0,0,4
SAL31983,0,0,0,0,0,0,0,0,0,3
SAL31984,237,716,235,212,226,128,58,107,26,1943
SAL31985,549,937,717,747,686,447,352,381,78,4892
SAL31986,285,424,514,433,432,252,261,244,45,2887
SAL31987,3,5,0,0,3,0,0,6,0,25
SAL31988,10,0,0,0,0,0,0,0,0,17
SAL31989,0,0,0,0,0,0,0,0,0,0
SAL31990,6,9,9,0,4,3,13,9,0,63
SAL31991,7,8,18,9,10,3,9,8,3,75
SAL31992,6,7,10,10,14,3,3,11,0,77
SAL31993,12,13,17,9,12,10,4,15,0,93
SAL31994,14,11,23,5,14,10,13,12,0,109
SAL31995,3,0,4,0,0,0,0,0,0,15
SAL31996,45,40,24,20,31,12,12,27,6,231
SAL31997,24,53,26,30,24,11,11,21,0,201
SAL31998,5,0,0,0,0,0,0,0,0,8
SAL31999,25,10,15,0,9,3,6,3,3,72
SAL32000,16,15,11,16,7,3,18,13,6,99
SAL32001,31,52,55,90,44,40,61,92,8,480
SAL32002,6,0,0,0,0,0,0,0,0,7
SAL32003,15,4,9,3,5,6,5,6,0,44
SAL32004,3,3,0,0,0,0,0,6,0,8
SAL32005,0,0,0,0,0,0,0,0,0,0
SAL32006,4,11,11,3,9,5,7,4,0,59
SAL32007,120,141,135,65,83,49,33,56,19,699
SAL32008,24,83,22,20,28,5,7,20,8,218
SAL32009,242,383,72,109,150,94,24,58,17,1131
SAL32010,22,8,22,3,12,11,16,8,5,118
SAL32011,3,5,5,11,5,0,12,3,3,45
SAL32012,44,11,12,18,9,0,23,23,3,145
SAL32013,35,79,47,51,51,33,24,46,10,379
SAL32014,205,450,422,208,271,174,223,185,45,2182
SAL32015,49,49,26,16,29,9,6,16,6,206
SAL32016,0,0,0,0,0,0,0,0,0,7
SAL32017,36,57,40,23,37,5,9,11,5,218
SAL32018,0,0,0,0,0,0,0,0,0,0
