SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
115011557,4,5,7,7,8,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,15,16,27,15,4,111,0,0,0,0,3,3,0,5,0,4,0,0,0,0,0,4,0,4,0,0,3,3,0,6,4,26,15,18,24,18,4,118,4,6,3,6,9,4,3,30,0,0,0,0,0,0,0,0,9,34,21,23,34,22,8,149
115011558,8,8,13,18,24,14,13,95,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,4,13,36,49,45,75,60,33,316,0,3,3,0,3,3,0,12,0,0,3,3,0,0,0,7,3,3,9,3,3,3,0,21,14,39,59,47,75,65,36,339,19,20,14,17,26,11,9,116,0,0,0,0,0,0,0,0,36,63,73,68,98,80,47,455
115011559,9,38,47,38,37,20,4,186,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,10,29,91,92,79,104,53,20,468,0,3,0,0,4,0,0,7,4,5,0,4,0,0,0,12,4,6,0,4,5,0,0,27,39,90,98,81,109,53,20,492,26,30,19,9,21,17,3,119,3,0,0,0,0,0,0,3,64,119,115,97,131,66,25,618
115021297,12,49,35,17,26,13,3,143,6,3,5,3,3,0,0,15,0,0,3,0,0,0,0,6,35,96,78,44,79,35,15,387,0,3,0,0,8,0,0,14,0,3,3,3,3,3,3,18,0,5,3,3,9,3,3,29,35,104,85,52,88,36,16,417,34,27,19,14,25,13,4,134,3,3,0,0,3,0,0,9,74,134,105,66,113,50,23,560
115021298,3,15,16,10,8,3,5,57,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,23,18,19,10,8,3,91,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,6,0,4,0,0,3,0,0,8,4,28,18,19,17,8,8,98,3,9,4,0,0,0,4,25,0,0,0,0,0,0,0,0,8,34,25,16,17,5,8,117
115031299,3,3,0,0,0,0,0,7,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,10,10,13,0,0,44,0,0,3,0,3,0,0,3,0,3,0,0,0,0,0,3,0,3,4,0,3,0,0,9,3,8,11,10,16,0,0,48,3,4,4,0,3,0,0,15,0,0,0,0,0,0,0,0,10,8,18,12,20,0,0,69
115031300,23,50,34,27,34,11,3,184,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,11,46,98,65,76,107,31,15,438,3,3,7,3,3,0,0,22,0,3,8,0,4,0,0,19,6,10,7,3,11,0,0,40,47,115,77,81,120,31,15,475,66,39,25,22,22,7,0,182,0,3,0,0,0,0,0,10,117,153,103,104,133,38,17,666
115041301,18,21,19,11,11,4,4,89,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37,51,41,24,36,20,13,212,0,0,0,3,0,0,0,4,3,3,0,0,0,0,0,6,4,5,0,3,4,0,0,13,39,53,41,28,37,20,10,227,22,23,9,12,15,3,3,92,0,0,0,0,0,0,0,3,65,76,53,38,51,19,16,320
115041302,27,50,41,28,31,16,16,199,4,0,0,0,3,0,0,6,0,0,0,0,0,0,0,3,50,113,94,73,81,39,17,475,0,0,0,0,7,0,0,9,0,7,6,0,0,0,0,6,0,4,3,4,4,0,0,17,50,119,99,74,89,42,17,490,23,24,25,11,14,11,7,121,0,0,0,0,0,0,0,0,80,149,118,84,108,53,27,615
116011303,25,41,30,19,25,11,4,144,7,0,0,0,0,0,0,7,3,0,0,0,0,0,0,4,60,84,64,46,67,29,19,372,3,11,0,0,7,3,0,29,5,7,8,3,5,0,0,22,7,17,8,3,10,4,0,52,66,97,73,50,84,35,18,422,95,70,30,11,20,10,4,238,0,3,0,0,5,0,3,14,161,167,101,59,103,47,30,677
