SA2_MAINCODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
507031173,7,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,5,4,4,0,3,5,13,12,25
507031174,2703,2708,5414,280,306,583,37,30,64,29,26,61,32,31,65,9,5,17,1094,1127,2219,8,4,11,10,4,10,0,3,3,0,0,0,1228,1233,2454,255,288,540,52,29,84,1808,1854,3669,577,532,1113,5098,5098,10196
507031261,880,751,1625,26,25,51,24,17,44,14,18,35,19,23,42,5,7,18,1122,1150,2267,3,3,11,11,3,12,0,0,0,0,0,0,1206,1225,2431,173,199,377,20,15,34,1424,1467,2891,1102,144,1240,3403,2357,5766
507041175,2549,2842,5393,357,381,736,44,40,76,84,69,150,39,54,90,5,8,12,1267,1296,2559,3,3,6,7,7,14,0,3,8,0,0,0,1441,1479,2924,409,473,880,13,25,38,2224,2352,4583,252,272,520,5026,5468,10502
507041176,1059,1129,2195,33,35,66,16,16,29,8,5,13,12,11,18,6,10,18,375,373,746,0,0,0,0,3,3,0,0,0,0,0,0,416,406,824,158,154,314,5,3,11,613,598,1208,70,83,157,1748,1810,3555
507041177,3169,3628,6796,370,426,799,57,72,130,59,69,130,69,63,130,13,20,35,1479,1700,3180,9,9,13,5,16,23,12,10,16,0,0,0,1699,1960,3662,300,353,652,47,40,87,2413,2781,5194,399,448,848,5985,6856,12840
507041178,3421,3883,7306,365,369,732,61,69,126,52,45,98,40,46,84,17,20,35,1673,1764,3436,4,3,9,8,7,19,4,7,8,0,0,0,1859,1956,3817,555,541,1094,26,23,51,2806,2885,5689,360,346,709,6585,7118,13703
507041179,2126,2244,4377,101,112,208,31,22,54,34,30,59,11,21,36,7,7,14,752,780,1525,0,3,3,4,0,6,10,3,7,0,0,0,848,863,1717,361,373,741,9,17,24,1323,1365,2688,135,197,334,3587,3812,7399
507041180,3469,3545,7023,170,147,320,17,17,39,25,35,66,19,20,45,11,16,23,880,855,1734,3,3,6,13,11,22,0,3,3,0,0,3,974,961,1932,311,336,645,23,24,47,1480,1465,2945,152,138,292,5105,5147,10254
507041181,4057,4459,8518,543,597,1139,50,58,116,41,62,102,51,59,106,7,14,23,1748,2084,3834,3,6,10,23,12,34,3,4,9,0,0,6,1929,2307,4235,344,368,710,22,23,41,2838,3290,6127,362,380,743,7257,8132,15390
