SA2_MAINCODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
206071141,9,12,68,24,21,11,3,0,0,149,3,18,73,41,30,21,3,0,0,197,68,421,2292,1018,544,287,69,7,3,4711
206071142,0,8,66,37,19,16,4,0,0,146,7,26,94,60,30,19,8,3,0,252,77,498,2303,1188,754,445,140,14,3,5427
206071143,3,17,77,41,32,28,9,0,0,205,9,14,91,67,35,35,11,0,0,261,122,579,2552,1620,1128,778,240,11,5,7038
206071144,3,37,226,111,70,54,16,0,0,523,10,54,316,133,97,45,21,3,0,680,326,1735,8458,3889,2401,1441,465,33,12,18752
206071145,0,18,39,31,26,29,0,0,0,144,3,9,56,36,33,14,6,0,0,163,107,359,1527,1208,986,678,200,13,3,5084
207011146,3,11,23,18,21,12,13,0,0,99,4,7,28,41,43,17,4,0,0,153,177,321,577,883,964,584,140,14,3,3659
207011147,10,11,38,26,32,34,12,0,0,162,11,36,52,55,92,49,25,8,0,332,326,753,1204,1238,1777,1260,454,65,8,7076
207011148,11,34,41,39,56,53,12,4,0,248,18,33,53,74,107,79,16,6,3,402,501,932,1288,1723,2632,1636,433,71,12,9234
207011149,8,33,53,39,48,33,18,0,0,245,13,36,65,71,89,62,30,6,3,377,452,1092,1802,1962,2512,1666,593,56,8,10156
207011150,3,19,37,38,54,44,14,0,0,210,12,16,44,64,87,49,15,3,0,296,364,725,1351,1775,2209,1390,418,40,4,8263
207011151,9,49,109,42,48,30,14,3,0,306,15,61,127,78,66,44,31,9,0,426,375,1542,4464,2454,1919,1243,522,75,9,12610
207011152,12,23,68,38,22,27,10,4,0,195,8,38,88,69,57,47,9,4,0,320,235,919,2568,1726,1337,933,338,48,3,8107
207011153,11,37,74,46,70,41,16,0,0,308,17,39,111,105,130,83,37,14,0,532,457,1293,2706,2313,2721,1898,716,127,19,12255
207011154,3,6,15,19,21,16,3,0,0,84,0,9,12,24,36,14,10,3,0,104,154,291,524,673,840,477,176,21,0,3159
207011155,11,18,24,36,48,42,24,3,0,196,13,26,38,36,105,43,27,6,4,298,373,765,1164,1449,1999,1446,480,57,12,7747
207021156,5,9,25,34,54,36,15,0,0,188,4,24,46,51,62,35,17,5,3,247,193,435,956,1034,1266,749,243,34,8,4921
207021157,5,26,80,65,73,43,18,3,0,321,9,40,127,74,105,60,29,8,0,454,332,787,2228,1801,1958,1318,422,92,9,8942
207021159,7,21,56,41,72,60,13,0,0,265,14,24,65,54,85,67,34,10,3,358,321,702,1325,1363,1776,1522,511,70,7,7602
207021160,6,14,38,44,48,39,16,3,0,211,6,18,57,63,47,45,20,3,0,263,201,471,1034,1423,1459,903,335,53,3,5883
207021424,5,23,33,53,76,44,11,0,0,246,7,24,53,62,67,56,11,3,0,280,313,651,1163,1306,1641,1292,350,33,5,6754
207021425,10,15,48,46,50,37,13,3,0,219,4,24,70,73,47,43,13,0,0,273,206,443,1405,1450,1318,791,253,42,3,5923
207031161,6,26,95,93,81,58,21,0,0,385,7,27,73,85,93,59,24,8,5,382,486,886,2052,2378,2434,1430,389,48,10,10104
207031162,4,20,32,34,34,31,18,0,0,176,0,7,32,26,44,29,11,0,0,151,224,377,896,1105,1177,717,185,23,3,4705
207031163,8,39,94,63,62,63,9,0,0,345,17,50,141,71,88,45,10,6,0,430,339,1022,2581,1792,1754,1108,224,28,0,8852
207031164,6,25,69,56,58,38,16,5,0,262,10,27,74,90,75,47,11,0,0,343,349,717,1791,1855,1921,1233,294,25,3,8186
207031165,4,27,28,48,40,22,6,0,0,169,12,39,72,36,37,21,6,4,0,220,290,819,1322,829,924,563,128,19,3,4895
207031166,0,22,34,28,44,30,10,0,0,173,4,16,53,42,57,32,21,6,0,230,173,493,1013,966,929,679,191,29,0,4471
207031167,9,15,19,24,35,24,12,0,0,137,3,17,17,33,45,33,6,0,0,153,233,516,917,1047,1216,898,239,32,8,5098
208011168,4,6,14,31,59,22,6,0,0,144,10,14,20,54,102,55,24,3,0,291,341,580,579,1262,1885,1305,409,53,4,6422
208011169,11,20,56,43,75,40,16,5,0,267,12,34,65,101,144,116,53,4,9,542,362,811,1542,1988,2710,2026,867,127,24,10461
208011170,4,18,23,43,61,43,10,3,0,197,12,19,42,67,102,69,33,3,0,343,307,542,878,1628,2092,1353,456,57,6,7322
208011171,3,6,34,41,52,21,8,3,0,177,3,14,46,55,62,28,9,6,0,226,233,365,1036,1439,1367,768,204,17,7,5435
208011172,19,17,48,41,64,38,7,0,0,234,11,11,47,78,119,70,28,8,0,363,423,669,1194,1860,2410,1423,423,38,0,8438
208011173,9,23,34,46,47,31,25,6,0,210,14,23,44,87,117,55,34,3,0,388,337,554,1089,1624,2213,1514,525,51,6,7916
208021174,9,29,59,63,108,47,8,0,0,319,16,29,72,97,124,68,23,8,0,430,482,877,1864,2501,2882,1706,363,31,4,10709
208021176,3,14,87,54,52,32,14,3,0,260,7,31,116,76,67,38,11,0,0,344,239,775,2937,2135,1580,1086,261,23,8,9049
208021177,15,41,90,50,50,39,27,3,0,308,18,37,139,89,94,88,38,14,7,524,241,860,2891,2074,1747,1524,681,97,26,10149
208021178,10,32,69,73,70,56,19,3,0,338,16,44,63,84,91,60,41,5,0,394,243,698,1783,1905,1890,1366,614,68,3,8562
208021179,7,7,50,32,43,30,9,0,0,177,3,11,60,53,53,24,13,4,3,234,163,387,1663,1382,1260,803,279,30,6,5965
208021180,0,20,31,21,30,11,0,0,0,116,3,14,36,29,37,14,4,0,0,153,153,345,1011,933,813,444,87,13,3,3805
208021181,5,14,38,29,36,13,5,3,0,148,6,12,41,42,34,38,6,0,3,190,157,411,1260,1167,1031,671,136,26,7,4867
208021182,5,19,70,42,45,26,17,3,0,222,5,20,92,65,53,39,14,0,0,282,199,606,2159,1535,1390,850,187,15,3,6946
208021426,6,19,41,64,82,46,9,0,0,264,4,15,47,73,98,42,11,3,3,303,289,533,1201,1924,1875,1013,231,24,8,7104
208021427,5,22,34,50,64,50,12,3,0,246,7,18,64,53,58,31,7,0,0,243,272,457,1180,1621,1567,935,224,18,8,6278
208031183,10,11,24,34,46,28,4,3,0,153,13,19,32,35,67,35,18,0,0,216,319,432,660,1067,1393,676,125,8,0,4672
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,3,3,6,8,4,0,0,0,22
208031185,10,24,34,63,47,34,11,0,0,220,3,25,47,67,75,65,21,3,3,323,242,447,1024,1314,1413,1069,277,26,3,5812
208031186,7,22,69,46,50,42,10,0,0,240,9,21,67,94,67,27,15,4,3,318,190,470,1639,1909,1394,986,247,16,9,6862
208031187,4,15,29,21,22,20,3,0,0,111,7,13,18,33,43,17,5,3,0,147,129,226,491,656,596,410,92,6,0,2612
208031188,13,25,84,93,98,71,20,4,0,403,16,27,101,108,127,93,23,5,4,502,463,847,2396,2792,2386,1525,393,45,9,10847
208031189,6,15,51,55,62,33,5,0,0,227,7,17,43,71,70,46,16,4,3,280,300,481,1234,1591,1608,924,226,22,3,6400
208031190,12,18,58,52,44,31,10,0,0,226,10,12,55,55,65,37,13,3,3,256,258,565,1442,1522,1506,993,267,50,6,6605
208031191,6,12,32,49,30,20,9,3,0,158,9,11,36,55,41,19,14,0,3,195,171,338,857,1121,993,575,158,15,7,4229
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,8,26,63,83,77,60,22,0,0,335,14,32,52,86,104,57,17,0,3,369,463,767,1871,2568,2557,1581,334,28,4,10168
208041194,9,35,75,48,43,34,17,3,0,255,21,50,82,87,96,42,26,15,4,412,288,972,2797,2127,1992,1398,577,91,13,10262
208041195,6,25,56,47,53,34,10,0,0,248,11,45,83,71,96,59,29,5,0,399,390,1092,2117,2209,2425,1482,475,53,9,10260
209011196,10,18,40,38,35,21,9,0,0,165,8,26,64,42,56,30,21,3,0,241,200,474,980,1009,954,571,185,16,0,4408
209011197,20,34,81,80,81,79,23,0,0,386,11,33,72,79,74,62,15,3,0,340,485,900,2084,2374,2264,1901,403,25,3,10436
209011198,6,18,44,51,34,39,7,3,0,203,9,13,60,61,41,36,7,6,0,244,247,576,1589,1816,1499,1026,256,35,3,7057
209011199,0,18,66,54,37,21,6,0,0,211,5,26,82,58,59,40,11,3,0,282,176,527,1826,1344,1089,762,146,19,3,5888
209011200,10,20,40,23,36,34,13,0,0,174,9,16,45,58,39,25,13,3,0,211,250,501,1295,1276,1369,988,281,31,0,5994
