SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,8
SAL10002,16,24,7,9,25,4,3,5,4,97,29,19,10,23,37,7,7,0,3,146,48,26,139,29,46,23,23,28,8,371,5,4,4,0,14,3,0,0,0,27,14,10,8,7,19,8,3,3,0,65,6,5,0,0,0,4,3,4,0,20,3,3,4,0,3,3,3,0,0,30,233,425,200,101,226,85,47,50,21,1372
SAL10003,43,33,8,4,31,10,4,0,0,137,29,41,16,22,29,23,4,0,3,176,68,29,91,22,46,23,13,12,5,312,6,3,0,0,3,5,0,0,0,20,10,7,6,0,28,15,4,0,0,72,5,4,3,0,6,4,0,0,0,30,9,7,3,0,5,5,0,8,4,39,523,910,167,91,297,134,24,36,40,2219
SAL10004,4,5,0,5,5,3,0,0,0,20,11,6,5,10,7,4,0,0,0,46,33,9,54,21,26,14,17,14,0,180,0,0,0,0,5,0,0,0,0,9,0,0,0,0,4,0,0,4,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,5,86,130,63,45,68,26,15,24,0,463
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
SAL10006,6,8,4,8,4,0,0,5,0,29,8,7,11,17,13,8,4,4,0,72,18,10,115,89,41,18,58,42,7,396,0,0,0,5,3,4,3,10,0,32,0,0,0,9,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,15,42,81,141,143,66,36,69,58,15,647
SAL10007,0,6,0,5,0,0,0,0,0,19,0,0,7,12,8,0,7,9,0,36,20,13,132,32,26,9,75,34,4,346,0,0,5,0,4,0,0,4,0,15,3,0,5,4,3,0,0,7,0,20,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,12,44,69,155,62,50,14,83,55,11,537
SAL10008,4,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,4,3,6,4,4,5,0,42
SAL10009,19,32,13,24,15,5,0,5,0,105,29,47,19,86,44,14,23,9,3,275,90,51,407,189,137,58,141,62,16,1154,0,0,5,9,11,10,10,8,0,66,7,0,5,8,17,0,3,6,0,56,0,0,0,0,5,0,0,0,0,11,4,3,0,9,7,0,5,4,7,42,230,472,468,374,282,113,185,100,32,2255
SAL10010,7,0,4,0,3,5,0,0,0,18,12,17,5,14,10,3,3,5,0,69,32,14,160,58,56,18,56,38,0,426,3,0,0,0,7,3,0,5,0,22,0,0,0,10,4,0,10,4,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,3,6,0,5,0,4,16,61,91,170,96,88,32,77,53,5,675
SAL10011,0,0,0,0,0,0,0,0,0,8,0,0,0,5,3,0,0,0,0,10,4,4,22,10,9,4,17,5,0,65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,29,16,14,6,17,6,0,108
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,7,0,7
SAL10014,19,23,9,14,12,4,0,7,0,92,17,21,10,30,27,10,8,11,8,137,37,17,105,31,39,21,21,17,0,283,0,0,0,0,8,5,4,3,0,21,8,4,0,4,15,4,3,6,0,41,6,4,4,5,6,5,3,4,0,24,4,9,0,6,5,0,0,3,8,35,216,529,158,151,246,69,62,58,23,1516
SAL10015,0,0,5,0,0,0,0,0,0,6,4,0,3,0,0,0,0,0,0,9,6,3,6,0,6,0,8,5,3,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,29,15,17,11,12,0,4,8,3,93
SAL10016,13,39,8,20,26,11,0,3,0,122,44,49,28,37,51,10,8,8,0,248,64,52,254,102,94,34,45,47,6,699,7,0,3,4,14,7,0,6,3,41,3,3,4,5,13,8,3,9,0,49,0,5,0,3,7,3,0,0,0,17,8,3,5,8,3,4,0,0,3,36,332,1016,343,264,313,106,66,94,14,2559
SAL10017,32,33,16,12,20,9,0,6,0,125,33,39,24,44,36,14,6,8,3,210,61,32,191,68,70,25,34,42,7,534,3,4,4,0,15,4,0,0,0,38,7,4,4,6,13,5,4,4,0,46,0,4,5,6,3,0,0,0,0,16,0,5,9,4,8,4,3,5,7,44,354,890,276,205,241,79,55,69,28,2203
SAL10018,5,0,3,0,0,0,0,0,0,8,5,0,0,3,3,5,0,0,0,23,11,8,40,16,15,9,17,10,0,131,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,16,40,41,48,31,29,8,22,28,8,256
SAL10019,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,23
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
SAL10021,4,6,0,3,0,0,0,0,0,12,0,5,0,12,7,0,3,0,0,32,24,3,61,11,18,10,13,12,5,152,0,0,0,0,4,5,4,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,47,69,62,37,46,16,22,16,8,322
SAL10022,0,0,3,7,0,0,5,0,0,20,5,7,6,11,0,10,5,8,4,54,9,7,32,35,9,12,18,15,0,127,0,4,0,4,0,0,3,3,0,14,0,0,3,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,7,3,4,0,3,4,3,0,0,4,22,35,68,60,85,42,32,37,33,6,399
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,13,3,3,0,3,0,7,0,38
SAL10024,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,4,0,0,0,0,0,0,23
SAL10025,31,49,25,69,38,14,3,9,4,236,71,91,53,180,101,40,16,23,6,582,189,105,788,322,266,138,261,173,30,2271,11,0,6,22,33,22,10,18,0,120,18,11,15,29,34,11,13,15,0,161,0,10,3,0,14,0,0,4,0,30,9,11,12,18,11,12,13,6,11,95,443,972,941,752,612,276,329,266,65,4663
SAL10026,13,21,9,27,4,3,0,5,0,90,42,28,21,81,32,15,6,12,0,236,75,39,323,194,117,45,117,93,21,1023,5,4,0,5,13,5,9,3,5,52,7,14,8,21,21,3,5,5,0,92,0,0,3,0,3,0,5,3,0,18,3,3,7,8,13,5,4,9,6,60,189,305,384,394,235,96,147,139,32,1928
SAL10027,23,37,13,22,27,11,3,0,0,133,30,25,14,32,35,8,4,5,7,158,85,17,160,50,56,33,29,26,8,467,3,0,3,4,7,0,0,4,0,23,13,3,0,5,7,5,0,6,0,40,0,10,3,4,0,0,0,3,0,15,3,5,3,0,7,4,0,4,4,30,339,708,219,184,223,90,51,59,29,1906
SAL10028,0,0,0,4,0,0,0,0,0,11,3,4,0,9,3,0,0,0,0,15,11,3,22,26,12,4,5,10,0,99,0,0,0,4,4,4,0,0,0,8,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,29,35,28,51,21,15,11,12,0,202
SAL10029,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,18,13,4,0,5,0,3,3,0,51
SAL10030,58,74,20,22,28,16,6,7,0,245,109,89,42,57,57,30,7,6,0,396,73,49,157,44,61,39,13,32,0,480,5,6,4,0,9,9,0,0,0,38,14,17,3,9,17,8,3,0,0,76,9,13,6,4,4,0,0,3,0,34,21,21,4,3,10,0,0,0,15,85,1271,2764,380,289,556,285,74,99,72,5795
SAL10031,22,32,4,15,17,6,4,0,0,93,23,22,14,21,37,5,0,3,0,122,42,21,130,23,49,19,14,13,4,309,0,0,0,0,0,0,0,3,0,9,7,6,5,7,23,9,5,9,0,58,0,4,0,0,6,0,0,0,0,8,4,3,0,0,5,0,0,0,5,19,229,386,164,93,192,48,31,33,9,1183
SAL10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,6,6,0,0,5,0,43
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,3,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,0,4,0,0,0,0,19
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,5,5,0,0,0,0,38
SAL10036,46,67,14,33,45,23,0,0,0,228,51,54,23,56,37,24,4,8,3,253,83,36,210,48,41,18,18,35,5,491,5,3,0,7,12,7,0,0,0,36,17,13,5,16,23,13,4,4,6,91,8,0,0,4,3,5,0,0,0,26,9,10,8,4,8,3,0,3,4,46,684,934,303,257,306,133,42,69,37,2762
SAL10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,0,0,0,0,30
SAL10038,17,17,16,26,21,11,14,17,0,142,19,34,30,43,30,21,7,18,3,203,29,13,73,35,31,20,26,16,3,252,3,3,0,4,0,4,0,3,0,18,4,5,3,3,3,10,3,3,0,36,4,4,0,4,6,0,0,4,0,23,3,5,7,5,4,4,3,8,9,45,216,646,224,246,255,162,90,175,38,2052
SAL10039,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,6,4,0,0,0,0,0,20
SAL10040,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,3,0,4,3,3,3,0,0,3,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,3,10,4,0,3,5,0,46
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,4,3,0,5,3,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,12,5,11,0,7,7,0,49
SAL10042,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,7,0,0,20
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,18
SAL10044,0,5,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,6,0,0,10,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,9,4,4,3,0,5,0,66
SAL10045,9,4,5,4,7,0,0,0,0,24,4,7,0,4,0,3,0,0,0,19,3,3,18,8,5,0,0,5,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,49,33,29,19,9,0,3,0,181
SAL10046,26,25,8,19,22,0,0,7,0,107,29,30,8,51,30,11,4,11,0,182,66,37,196,100,74,33,32,54,10,601,4,0,0,3,17,8,0,9,0,41,4,0,3,14,15,3,7,8,0,58,0,5,0,0,3,0,0,0,0,12,3,7,8,8,6,4,5,3,4,48,227,511,258,271,214,76,53,109,24,1753
SAL10047,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,0,0,7,3,32
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,3,4,0,17
SAL10049,4,18,10,10,12,4,8,3,0,73,24,23,14,55,32,16,6,10,0,189,56,25,193,106,89,60,85,67,15,702,6,4,3,6,6,3,5,3,0,30,9,0,3,10,6,9,4,6,0,45,0,0,0,3,3,0,3,0,0,12,0,4,7,0,11,7,7,11,0,35,172,297,251,244,214,122,128,113,32,1573
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,4,0,0,0,0,10
SAL10053,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,3,18
SAL10054,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,15
SAL10055,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,0,4,0,23
SAL10056,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,3,6,0,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,6,5,0,10,6,0,58
SAL10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4
SAL10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,10
SAL10059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,9,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,8,7,3,5,0,6,0,62
SAL10060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,10,10,0,20,0,4,3,9,0,3,49,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,21,3,8,0,5,5,5,86
SAL10061,12,19,6,13,11,3,0,3,0,65,22,18,14,29,27,11,4,5,0,131,56,31,212,75,53,31,39,53,11,560,0,0,0,3,4,7,4,0,0,26,4,0,0,12,11,6,3,3,0,46,0,0,0,0,0,0,0,0,0,4,4,3,0,4,5,5,0,3,3,26,118,210,254,172,131,79,50,76,25,1117
SAL10062,49,65,18,18,33,25,0,7,0,214,60,73,29,28,45,16,3,7,0,261,71,34,119,46,55,26,13,18,3,380,8,9,0,3,4,10,0,3,0,32,17,17,6,0,17,8,0,0,3,70,0,18,0,0,3,4,0,0,0,33,7,13,0,4,6,0,0,0,5,39,1031,2277,275,241,439,200,38,58,57,4612
SAL10063,6,12,6,4,6,0,0,0,0,28,9,3,6,6,13,6,0,0,0,54,33,9,92,14,20,7,12,19,4,208,0,0,0,0,0,0,0,0,0,10,3,3,0,0,5,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,114,119,106,40,72,21,10,24,7,522
SAL10064,11,8,0,10,7,0,0,0,0,44,19,17,9,33,24,0,7,8,0,124,54,20,196,52,70,29,55,34,12,516,0,0,0,0,4,6,0,3,0,20,4,0,4,0,8,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,5,26,143,220,225,116,140,49,65,51,22,1034
SAL10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,17
SAL10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,6
SAL10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,10
SAL10068,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,6,3,6,0,0,0,37
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
SAL10070,0,0,0,5,3,0,0,0,0,8,0,3,0,3,0,0,0,0,0,8,9,0,19,7,4,6,0,6,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,33,23,24,17,4,5,5,0,137
SAL10071,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,0,7,0,0,3,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,7,7,4,7,8,6,0,65
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SAL10073,12,6,3,3,6,0,0,3,0,43,13,8,3,6,11,0,0,0,0,47,29,10,54,14,8,7,9,14,0,152,0,0,0,0,5,0,0,0,0,8,4,3,0,0,3,5,0,3,0,23,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,135,169,73,45,53,31,10,29,6,556
SAL10074,5,6,0,8,3,5,0,0,0,30,14,6,9,14,0,3,0,0,0,59,23,6,84,28,38,9,16,17,3,231,0,0,0,4,0,0,0,0,0,9,0,0,0,0,7,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,55,99,105,67,54,23,32,21,8,468
SAL10075,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,12
SAL10076,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,9,7,11,4,5,3,0,73
