SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL20300,0,4,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,5,14,25,57,38,36,36,59,19,57,5,335
SAL20301,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,8,4,3,6,13,0,16,0,52
SAL20302,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,5,6,4,8,8,4,17,0,49
SAL20303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,17
SAL20304,35,74,53,36,113,93,26,46,8,489,22,65,44,44,159,127,30,47,69,611,609,1606,1391,959,2747,2715,638,1059,162,11876
SAL20305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,4,8,3,7,0,25
SAL20306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,11,0,11,0,50
SAL20307,18,23,26,14,33,30,13,11,0,163,7,16,14,10,43,47,3,13,23,173,230,433,430,253,773,877,253,486,48,3780
SAL20308,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,10,0,19,19,8,13,0,64
SAL20309,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,11,9,10,3,9,0,72
SAL20310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,3,0,7,0,5,4,27
SAL20311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,5,0,0,0,22
SAL20312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,12,7,10,13,5,18,0,64
SAL20313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,3,0,3,0,17
SAL20314,15,40,53,21,56,41,8,10,0,239,12,60,69,26,57,60,13,15,94,409,320,1141,1196,559,1526,1339,259,470,123,6933
SAL20315,13,31,37,18,28,37,9,17,0,185,4,41,52,21,48,52,6,16,52,294,287,1019,819,507,1240,1365,306,543,88,6171
SAL20316,15,19,22,14,26,19,6,10,0,145,3,23,11,7,32,45,4,11,27,168,200,708,538,355,838,956,260,417,51,4328
SAL20317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
SAL20318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
SAL20319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,8,0,24
SAL20320,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,7,0,22
SAL20321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,5,10,7,10,9,6,8,5,61
SAL20322,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,17,16,22,20,39,9,34,7,159
SAL20323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,8
SAL20324,21,28,34,24,34,24,4,8,6,178,11,41,32,16,75,50,0,12,83,314,253,615,587,314,1119,882,172,281,123,4341
SAL20325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,12,0,7,0,16
SAL20326,0,3,0,0,7,4,0,0,0,20,0,3,0,0,8,6,3,0,4,23,35,60,67,38,93,87,24,41,11,450
SAL20327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,7,13,9,7,11,0,12,0,74
SAL20328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL20329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,0,11,0,26
SAL20330,4,6,5,0,5,3,4,0,0,20,6,5,0,0,3,4,0,0,5,21,50,61,59,43,104,102,32,58,11,518
