SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC50287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50289,0,0,0,0,0,0,0,0,0,31,19,3,53,7,0,7,55,27,0,85
SSC50290,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,7,7,0,9
SSC50291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50292,0,0,0,0,0,0,0,0,0,41,38,3,80,3,6,10,92,44,0,133
SSC50293,0,0,0,0,0,0,0,0,0,52,27,0,82,0,3,4,89,64,0,152
SSC50294,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,11,3,0,17
SSC50295,0,3,0,0,0,3,0,0,0,99,71,5,172,10,9,20,188,85,0,276
SSC50296,3,4,0,0,0,10,11,4,18,248,193,21,465,45,20,67,529,249,9,788
SSC50297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50300,0,7,0,0,0,8,0,0,10,87,66,14,173,13,17,34,206,190,3,399
SSC50301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC50302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50303,0,0,0,0,0,0,0,0,0,20,7,0,27,5,0,3,31,16,0,48
SSC50304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
