SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC21303,73,72,151,25,15,39,8,20,35,4,3,3,3,3,5,38,42,84,26,20,46,7.9,7.1,6,52.1,58.3,55.6,50.7,52.8,51,0,4,4,0,0,0,9,11,21,3,15,18,17,5,25,0,0,0,4,3,9,21,10,28,63,54,121,8,9,18,57,48,103,18,22,34
SSC21304,1302,1320,2627,564,357,922,188,281,476,42,46,85,75,70,150,876,756,1631,390,535,923,8.6,9.3,9.2,67.3,57.3,62.1,61,51.8,56.5,33,31,67,7,32,41,147,194,337,119,145,262,285,119,407,8,13,27,24,17,47,319,157,475,1337,1363,2702,159,137,297,1018,1025,2045,415,423,846
SSC21305,28,20,51,15,0,21,3,11,13,0,0,0,0,3,3,21,14,37,6,6,12,0,21.4,8.1,75,70,72.5,64.3,55,66.7,0,0,0,0,0,0,0,3,3,0,0,0,8,6,16,0,0,0,0,0,0,8,6,16,32,28,60,0,0,3,26,20,43,7,4,10
SSC21306,2361,2501,4863,1127,597,1717,318,674,998,69,71,139,52,76,133,1567,1420,2986,700,979,1676,3.3,5.4,4.5,66.4,56.8,61.4,64.1,53.7,58.7,69,87,153,33,71,109,335,424,758,225,265,491,565,176,743,20,30,46,42,40,78,627,247,870,2450,2521,4973,231,247,477,1957,2051,4005,657,681,1330
SSC21307,4140,4225,8365,1754,898,2660,515,964,1479,118,117,237,211,178,392,2601,2159,4761,1332,1901,3231,8.1,8.2,8.2,62.8,51.1,56.9,57.7,46.8,52.3,117,88,199,40,69,111,417,512,929,296,382,677,899,371,1262,19,56,78,58,85,145,973,510,1486,4219,4336,8560,389,390,775,3408,3454,6869,1031,1087,2118
SSC21308,5758,6262,12020,2573,1440,4009,635,1509,2138,165,184,346,201,173,379,3571,3298,6872,1869,2595,4462,5.6,5.2,5.5,62,52.7,57.2,58.6,50,54,211,206,419,98,160,254,819,1044,1856,468,576,1046,1241,408,1649,24,68,87,67,131,193,1329,603,1935,5789,6179,11963,688,709,1392,4305,4638,8941,1950,1971,3921
SSC21309,750,740,1491,387,184,568,104,226,333,15,23,38,30,16,53,533,450,984,173,251,426,5.6,3.6,5.4,71.1,60.8,66,67.5,58.5,63,18,9,30,10,27,37,89,121,209,61,84,140,180,61,243,4,4,12,14,23,36,204,84,285,748,739,1484,64,65,126,632,621,1252,162,158,320
SSC21310,31,24,61,12,7,21,6,4,14,4,0,4,0,0,0,21,11,32,11,9,18,0,0,0,67.7,45.8,52.5,71,45.8,63.9,3,0,3,0,3,3,0,3,7,6,3,7,4,3,7,0,0,0,0,0,0,4,3,8,31,24,54,0,0,0,28,20,45,3,5,12
SSC21311,1103,1152,2255,451,253,704,128,223,350,21,33,61,47,33,86,652,547,1196,393,542,939,7.2,6,7.2,59.1,47.5,53,54.4,44.2,49.4,17,24,45,6,14,16,92,129,220,92,119,211,262,98,359,3,10,11,20,27,47,286,142,427,1101,1131,2233,119,125,242,851,874,1722,306,312,618
SSC21312,8,4,20,4,3,3,0,0,0,0,0,0,0,0,0,3,3,12,0,0,3,0,0,0,37.5,75,60,50,75,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,3,14,0,0,3,4,3,14,0,0,4
SSC21313,24,25,43,9,10,19,3,5,7,0,0,3,0,4,4,16,17,29,8,8,12,0,23.5,13.8,66.7,68,67.4,50,60,67.4,3,0,3,0,4,4,0,3,8,3,4,6,7,0,8,0,0,0,0,0,0,7,4,11,28,28,60,0,3,3,27,17,44,8,10,12
SSC21314,26,15,43,17,3,18,3,3,3,0,0,0,0,0,0,20,8,26,0,3,8,0,0,0,76.9,53.3,60.5,76.9,40,48.8,0,0,0,0,0,0,0,0,3,5,3,8,3,4,5,0,0,0,4,0,4,8,4,13,18,9,28,4,4,6,10,3,14,9,6,20
