SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC10001,7,9,18,4,3,6,0,3,3,0,0,0,0,0,0,7,8,11,3,0,3,0,0,0,100,88.9,61.1,57.1,66.7,50,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,0,0,0,0,0,7,3,10,12,6,22,0,0,0,9,7,13,8,4,7
SSC10002,1711,1795,3504,948,564,1517,192,481,678,53,56,106,60,45,104,1254,1147,2404,395,595,991,4.8,3.9,4.3,73.3,63.9,68.6,69.7,61.3,65.7,58,42,95,12,22,32,214,284,497,141,221,363,422,149,578,12,23,34,42,62,105,476,238,715,1806,1890,3692,158,185,351,1466,1532,3000,450,488,939
SSC10003,2115,2430,4545,1035,777,1814,260,470,735,45,67,113,53,47,96,1397,1366,2757,568,899,1472,3.8,3.4,3.5,66.1,56.2,60.7,63.4,54.1,58.6,217,181,398,39,81,124,429,579,1011,180,267,444,313,138,454,8,20,32,61,73,134,384,232,613,1970,2175,4145,305,354,662,1314,1479,2795,888,1020,1909
SSC10004,408,430,833,226,130,354,57,138,188,6,15,23,9,6,21,299,291,587,92,126,213,3,2.1,3.6,73.3,67.7,70.5,70.8,65.8,67.8,15,14,30,8,9,15,49,88,139,31,40,77,140,64,204,3,16,14,4,12,20,150,92,235,415,442,853,86,98,184,277,298,574,204,226,426
SSC10005,13,7,22,4,3,4,3,3,6,0,0,0,0,0,0,7,3,14,4,4,7,0,0,0,53.8,42.9,63.6,53.8,85.7,45.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,5,0,10,9,12,20,0,0,0,9,5,17,3,0,5
SSC10006,945,998,1941,348,192,536,102,243,348,22,36,62,73,63,138,552,533,1084,339,396,743,13.2,11.8,12.7,58.4,53.4,55.8,49.9,47.2,48.7,7,3,7,0,6,8,21,46,70,33,86,119,285,168,452,14,26,41,11,20,29,313,214,525,939,950,1884,168,192,361,618,600,1222,414,466,871
SSC10007,827,809,1631,366,181,544,114,193,303,29,23,58,26,36,66,534,434,969,231,313,543,4.9,8.3,6.8,64.6,53.6,59.4,61.5,49.1,55.5,3,3,9,6,6,10,8,54,59,24,50,72,263,118,385,3,28,26,18,22,39,282,163,449,830,815,1649,104,111,216,589,575,1166,291,302,598
SSC10008,40,34,76,27,19,44,5,10,16,0,0,3,3,0,4,37,25,61,3,4,7,8.1,0,6.6,92.5,73.5,80.3,80,85.3,82.9,0,0,3,0,3,3,3,8,13,3,3,8,10,6,16,0,0,4,0,0,0,14,4,17,37,32,77,7,9,16,31,24,60,12,15,30
SSC10009,1890,2071,3964,1140,579,1719,204,636,837,50,85,139,83,92,173,1474,1390,2869,352,610,960,5.6,6.6,6,78,67.1,72.4,73.8,62.8,68,27,39,68,15,35,51,119,241,352,158,229,389,700,403,1098,18,57,75,21,67,84,744,521,1261,1931,2043,3973,525,541,1065,901,943,1845,1365,1479,2841
SSC10010,928,937,1866,378,164,545,89,259,347,34,28,66,64,36,93,568,494,1055,309,389,696,11.3,7.3,8.8,61.2,52.7,56.5,54,48.1,51.3,0,4,7,5,8,11,31,57,89,39,65,103,304,159,462,4,16,24,15,32,44,331,205,530,952,960,1911,107,105,216,692,687,1383,326,327,653
SSC10011,131,132,259,52,19,68,12,38,43,4,0,3,0,5,9,64,67,129,35,39,73,0,7.5,7,48.9,50.8,49.8,51.9,43.2,44,0,0,0,0,0,0,4,5,8,6,12,20,44,27,71,0,4,8,4,3,4,49,31,85,126,115,246,15,12,24,95,77,171,40,41,79
SSC10012,5,3,11,3,3,5,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,60,100,45.5,60,100,45.5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10,0,3,3,7,6,10,0,0,3
SSC10013,20,9,32,6,3,9,3,3,7,0,0,0,0,0,5,13,8,22,7,3,11,0,0,22.7,65,88.9,68.8,45,66.7,50,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,3,0,3,11,12,27,5,5,13,16,12,28,5,3,9
SSC10014,1418,1483,2904,894,588,1482,152,356,505,34,55,91,40,67,108,1121,1062,2184,258,386,649,3.6,6.3,4.9,79.1,71.6,75.2,76.2,67.4,71.6,120,107,230,21,31,53,284,363,650,144,158,299,276,137,415,16,10,23,22,32,56,317,182,503,1578,1617,3198,202,189,383,1083,1101,2180,589,620,1216
SSC10015,137,128,262,58,22,87,13,29,44,4,6,8,6,0,6,79,64,145,47,58,103,7.6,0,4.1,57.7,50,55.3,54.7,44.5,53.1,0,0,3,0,0,0,3,8,14,13,13,25,41,13,59,0,4,3,0,3,7,43,24,69,137,125,262,13,15,28,98,100,205,44,31,71
SSC10016,2361,2562,4919,1152,702,1862,334,740,1075,71,104,175,123,97,218,1678,1652,3328,601,828,1426,7.3,5.9,6.6,71.1,64.5,67.7,65.9,60.3,63.3,96,119,220,34,66,102,355,491,845,166,300,466,621,296,914,23,34,54,49,72,124,691,398,1091,2189,2357,4539,533,578,1109,1460,1602,3059,1163,1251,2412
SSC10017,2071,2121,4191,987,514,1496,273,640,910,47,64,108,90,49,139,1389,1274,2662,636,804,1442,6.5,3.8,5.2,67.1,60.1,63.5,63.1,57.4,60,128,115,243,48,58,106,376,503,880,220,231,451,528,170,703,21,24,48,46,73,123,602,272,876,2243,2248,4495,259,268,526,1619,1672,3294,772,755,1528
SSC10018,387,382,764,165,62,224,26,98,122,16,15,26,17,18,30,219,186,409,138,174,314,7.8,9.7,7.3,56.6,48.7,53.5,53.5,45.8,48.7,3,3,5,0,4,3,12,20,38,11,36,51,118,54,173,8,12,18,13,8,18,133,71,211,404,392,791,38,37,76,308,309,620,118,102,216
SSC10019,32,31,58,17,8,29,3,7,13,0,0,0,0,4,4,21,20,46,6,8,11,0,20,8.7,65.6,64.5,79.3,62.5,48.4,72.4,0,0,0,0,0,0,0,6,6,3,3,4,12,7,17,0,3,3,0,0,0,12,8,15,40,33,76,0,3,3,30,31,64,5,7,13
SSC10020,21,17,45,9,5,14,7,4,9,0,0,0,0,0,0,14,9,17,5,7,20,0,0,0,66.7,52.9,37.8,76.2,52.9,51.1,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,0,0,0,0,0,0,4,0,6,21,19,41,0,4,6,15,14,32,6,3,12
SSC10021,365,331,693,195,112,303,45,94,136,14,5,18,6,7,17,263,217,476,80,103,185,2.3,3.2,3.6,72.1,65.6,68.7,69.6,63.7,65.9,9,12,15,3,8,6,21,40,57,23,32,54,115,46,160,0,8,8,10,13,22,123,66,189,393,359,754,44,44,84,279,251,526,134,145,280
SSC10022,905,1242,2147,168,108,272,64,123,185,41,26,66,93,94,181,362,342,703,432,771,1205,25.7,27.5,25.7,40,27.5,32.7,30.2,20.7,24.4,3,3,8,0,0,0,10,14,28,16,73,96,106,132,235,11,34,43,9,29,39,119,191,319,988,1208,2201,138,146,292,780,969,1744,271,330,600
SSC10023,63,70,136,13,6,13,4,7,11,0,0,0,3,0,0,14,18,34,31,42,69,21.4,0,0,22.2,25.7,25,27,18.6,17.6,4,0,6,0,5,5,0,3,3,0,0,0,13,3,13,0,0,0,0,0,4,13,9,19,56,62,118,8,12,20,42,43,82,19,22,47
SSC10024,27,31,58,21,8,29,0,4,11,0,0,0,0,0,0,21,15,37,5,9,12,0,0,0,77.8,48.4,63.8,77.8,38.7,69,0,0,0,0,0,0,0,7,6,0,5,5,13,0,10,0,0,3,0,0,0,13,3,17,33,30,67,0,4,4,24,25,53,5,7,14
SSC10025,4982,5385,10371,2604,1269,3875,553,1588,2145,157,169,331,176,207,386,3495,3242,6734,1300,1943,3244,5,6.4,5.7,70.2,60.2,64.9,66.5,56.2,61.2,77,84,160,43,76,118,273,524,802,352,575,922,1751,923,2672,37,102,138,99,183,285,1886,1207,3095,5290,5702,10988,702,738,1441,3845,4023,7867,1870,2113,3988
SSC10026,2695,2937,5634,1168,555,1725,299,728,1032,76,76,148,120,108,228,1660,1475,3128,851,1198,2049,7.2,7.3,7.3,61.6,50.2,55.5,57.3,46.3,51.6,18,25,47,10,26,39,107,186,293,153,258,415,912,454,1370,41,65,98,61,110,171,1005,627,1633,2668,2805,5467,379,406,788,1931,2014,3945,965,1040,2003
SSC10027,1939,2105,4047,828,519,1353,245,572,822,46,68,116,83,56,137,1200,1221,2428,543,694,1237,6.9,4.6,5.6,61.9,58,60,57.7,55.1,56.6,114,112,226,51,78,128,334,429,767,147,254,406,371,209,575,14,16,33,36,52,88,421,279,703,1635,1764,3396,380,409,793,1034,1150,2179,919,996,1915
SSC10028,790,342,1125,107,58,160,40,77,122,19,13,28,11,5,16,172,152,323,598,177,774,6.4,3.3,5,21.8,44.4,28.7,21,43.3,27.6,0,3,3,0,0,0,14,29,44,9,32,39,110,43,153,9,10,13,3,16,16,125,69,190,295,292,589,30,33,61,228,230,459,82,88,172
SSC10029,67,74,143,34,19,49,8,17,21,3,4,6,0,0,3,43,40,86,19,32,47,0,0,3.5,64.2,54.1,60.1,67.2,54.1,53.1,0,0,0,0,0,0,0,6,14,3,11,19,8,6,15,0,0,4,3,0,3,17,7,20,56,59,117,18,17,31,47,43,94,22,27,47
SSC10030,3796,3592,7390,2471,1957,4434,383,610,993,118,127,248,122,79,204,3097,2784,5874,375,535,916,3.9,2.8,3.5,81.6,77.5,79.5,78.3,75,76.8,428,544,966,122,151,267,1226,1260,2492,347,355,707,410,175,583,25,22,43,44,61,101,475,257,727,2758,2653,5413,959,943,1902,1391,1303,2694,2252,2220,4471
SSC10031,1272,1320,2590,727,436,1158,151,410,565,35,37,74,41,30,70,956,912,1867,281,379,660,4.3,3.3,3.7,75.2,69.1,72.1,71.8,66.9,69.4,63,55,118,21,30,56,210,244,451,121,165,290,306,118,419,12,13,25,36,49,78,348,178,524,1338,1393,2731,100,116,216,1099,1141,2239,307,339,645
SSC10032,43,34,84,29,8,41,3,19,24,0,0,0,0,0,0,35,31,60,3,3,5,0,0,0,81.4,91.2,71.4,74.4,79.4,77.4,0,0,0,0,0,0,3,7,11,7,3,9,14,6,24,0,0,0,3,3,3,20,9,29,45,41,89,0,0,0,37,23,58,6,12,25
SSC10033,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,3,3,10,0,0,0
SSC10034,42,36,75,15,7,24,7,4,9,0,0,3,0,0,3,21,16,40,12,11,23,0,0,7.5,50,44.4,53.3,52.4,30.6,48,0,0,0,0,0,0,0,0,3,0,0,0,9,5,16,0,0,0,0,0,0,9,11,19,34,36,65,3,3,10,19,19,38,20,19,32
SSC10035,36,33,65,16,7,17,5,9,8,0,0,0,0,0,0,20,15,33,10,20,26,0,0,0,55.6,45.5,50.8,58.3,48.5,38.5,3,0,3,0,0,0,3,4,11,3,6,4,5,3,13,0,0,0,0,0,0,4,8,14,33,31,66,3,3,10,24,24,48,6,10,17
SSC10036,2599,2846,5441,1283,699,1983,379,861,1241,66,96,160,64,48,111,1785,1706,3492,730,999,1723,3.6,2.8,3.2,68.7,59.9,64.2,66.5,58.2,62.2,159,160,322,52,84,137,495,600,1098,243,369,612,577,231,804,15,27,42,59,90,144,641,347,992,2855,3030,5889,341,352,695,2108,2242,4357,946,980,1928
SSC10037,29,29,57,15,6,24,4,16,17,0,0,0,0,0,3,24,23,43,5,4,9,0,0,7,82.8,79.3,75.4,65.5,75.9,71.9,0,0,0,0,0,0,0,3,3,3,3,8,6,0,7,0,0,0,0,0,0,6,3,15,32,26,52,7,5,14,21,22,46,13,9,18
SSC10038,2397,2457,4856,1072,741,1818,447,531,974,75,75,143,129,116,247,1721,1459,3180,573,902,1478,7.5,8,7.8,71.8,59.4,65.5,66.5,54.8,60.4,256,221,478,20,42,62,506,589,1095,264,268,535,247,153,400,12,27,35,41,54,96,305,226,534,2112,2163,4274,518,498,1013,1246,1337,2583,1294,1218,2509
SSC10039,22,21,40,9,7,13,0,7,9,0,0,3,0,0,0,7,11,20,4,7,9,0,0,0,31.8,52.4,50,40.9,66.7,62.5,0,0,0,0,0,0,0,0,3,0,0,0,3,3,5,0,0,0,0,0,3,8,3,8,27,19,47,0,0,0,17,12,29,10,9,16
SSC10040,47,62,108,12,13,20,5,12,20,4,0,4,0,3,4,21,34,51,22,23,45,0,8.8,7.8,44.7,54.8,47.2,44.7,40.3,40.7,0,0,0,0,0,0,3,6,14,6,7,10,14,7,23,0,3,5,0,0,0,15,10,28,47,65,110,8,0,10,44,63,99,12,3,15
SSC10041,72,58,132,42,12,55,3,10,11,0,4,3,3,3,5,45,26,73,20,22,44,6.7,11.5,6.8,62.5,44.8,55.3,62.5,44.8,52.3,0,0,0,0,0,0,0,5,5,0,6,5,26,14,38,0,0,0,0,3,8,28,16,44,75,61,129,16,8,21,58,51,104,28,16,38
SSC10042,32,26,56,17,6,21,4,8,9,0,0,0,0,0,0,20,14,38,8,11,16,0,0,0,62.5,53.8,67.9,65.6,53.8,53.6,3,0,3,0,5,5,3,3,10,0,6,6,8,3,12,0,0,0,0,0,0,12,3,12,31,25,56,3,4,10,22,12,35,15,12,31
SSC10043,19,15,34,15,3,17,3,10,9,0,0,0,0,0,0,16,12,31,3,3,6,0,0,0,84.2,80,91.2,94.7,86.7,76.5,0,0,0,0,0,0,3,3,3,0,0,3,3,4,5,0,0,0,0,0,0,3,3,5,29,22,48,0,0,4,20,14,31,11,9,20
SSC10044,50,54,108,27,8,36,12,14,27,0,0,0,0,4,0,36,28,66,7,19,32,0,14.3,0,72,51.9,61.1,78,40.7,58.3,4,3,7,0,0,3,12,9,23,12,5,12,7,4,16,0,0,0,0,0,3,13,9,17,47,56,111,10,4,8,39,44,84,15,16,35
SSC10045,185,189,369,81,37,117,34,63,90,11,3,12,4,7,12,124,108,234,49,69,116,3.2,6.5,5.1,67,57.1,63.4,68.1,54.5,59.3,8,8,11,3,8,12,33,36,68,12,29,44,53,14,61,0,0,0,6,10,13,60,22,81,171,184,358,27,25,54,129,151,280,61,58,120
SSC10046,2102,2656,4763,731,462,1193,314,596,909,51,68,119,76,71,140,1164,1197,2362,835,1317,2151,6.5,5.9,5.9,55.4,45.1,49.6,52.1,42.4,46.6,72,74,141,40,64,110,281,398,678,179,314,489,566,299,860,12,47,58,33,85,118,615,425,1036,2114,2496,4613,306,367,671,1403,1703,3108,887,1078,1962
SSC10047,36,42,76,16,14,23,9,6,12,0,0,0,0,0,0,19,16,40,12,18,28,0,0,0,52.8,38.1,52.6,69.4,47.6,46.1,0,0,0,0,0,0,0,4,3,0,7,6,16,7,16,0,0,0,0,0,0,16,10,22,30,36,67,4,9,15,30,29,60,6,17,19
SSC10048,18,15,33,10,4,18,3,3,5,0,0,0,0,0,0,16,10,22,3,3,7,0,0,0,88.9,66.7,66.7,72.2,46.7,69.7,0,0,0,0,0,3,0,5,5,0,3,3,5,0,5,0,0,0,0,0,0,5,0,4,14,20,41,0,0,0,13,17,23,3,4,11
SSC10049,2697,2966,5660,1224,689,1913,283,576,854,73,83,156,148,163,313,1720,1514,3233,801,1235,2036,8.6,10.8,9.7,63.8,51,57.1,58.6,45.4,51.6,45,43,82,12,22,39,157,218,374,169,266,433,638,401,1037,26,74,103,51,103,151,715,575,1292,2806,2930,5731,416,450,861,2011,2134,4141,1010,1100,2112
SSC10050,9,18,26,5,6,9,0,3,4,0,0,0,0,0,0,8,8,15,5,7,10,0,0,0,88.9,44.4,57.7,55.6,50,50,0,0,0,0,0,0,0,3,3,0,3,3,0,8,10,0,0,0,0,0,0,0,8,10,14,10,27,0,3,3,12,8,24,8,3,7
SSC10051,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,6
SSC10052,20,8,29,11,4,16,0,0,0,0,0,0,0,0,0,12,13,21,3,0,3,0,0,0,60,162.5,72.4,55,50,55.2,0,0,0,0,0,0,4,3,4,0,0,0,3,0,3,0,0,0,0,0,0,4,0,6,22,10,34,0,3,6,16,12,31,3,4,8
SSC10053,14,12,29,3,3,6,3,3,4,0,0,0,0,3,3,7,11,13,4,0,4,0,27.3,23.1,50,91.7,44.8,42.9,50,34.5,0,0,0,0,0,0,0,0,0,0,3,3,3,0,8,0,0,0,0,0,0,3,3,7,11,8,23,0,0,0,7,3,6,3,6,10
SSC10054,33,27,58,15,6,26,3,7,7,3,0,3,0,0,0,20,18,41,7,12,22,0,0,0,60.6,66.7,70.7,63.6,48.1,62.1,0,0,0,0,0,0,5,3,8,0,7,7,10,7,17,0,0,0,0,0,0,10,7,17,36,30,62,0,5,7,31,17,44,7,5,18
SSC10055,24,24,51,13,4,15,3,6,6,0,0,4,0,0,3,18,14,27,4,5,9,0,0,11.1,75,58.3,52.9,66.7,41.7,49,0,0,0,0,0,0,0,3,3,4,8,7,5,0,12,0,0,0,0,0,0,5,3,9,23,24,48,4,5,6,23,24,48,3,4,5
SSC10056,71,56,128,40,17,55,4,9,20,6,3,3,0,0,0,49,34,82,15,20,40,0,0,0,69,60.7,64.1,70.4,51.8,60.9,0,0,0,0,0,0,3,4,8,0,6,7,26,18,41,0,0,0,0,5,5,26,18,48,72,62,132,3,3,9,52,51,104,14,19,30
SSC10057,26,28,52,9,7,9,4,4,6,0,3,3,0,0,0,12,10,22,11,11,22,0,0,0,46.2,35.7,42.3,50,50,34.6,0,0,0,0,0,0,4,3,3,0,0,0,4,3,6,0,0,0,0,0,0,4,3,10,25,23,42,0,0,0,19,17,37,0,0,3
SSC10058,46,39,81,12,4,20,0,3,3,0,0,0,0,0,0,11,6,23,23,23,42,0,0,0,23.9,15.4,28.4,26.1,17.9,28.4,3,0,3,0,0,0,3,4,8,0,3,4,15,5,16,0,0,0,0,5,5,15,9,19,29,21,53,3,4,11,26,17,37,13,13,26
SSC10059,94,99,194,27,18,46,17,31,49,5,0,9,6,3,5,56,53,113,33,34,66,10.7,5.7,4.4,59.6,53.5,58.2,52.1,49.5,53.6,9,7,12,3,0,4,19,25,49,6,15,21,17,6,31,0,0,0,0,3,3,17,14,29,85,90,174,9,14,21,56,64,120,36,41,75
SSC10060,1552,1693,3243,551,294,848,177,413,591,46,39,88,70,47,118,845,795,1645,556,711,1260,8.3,5.9,7.2,54.4,47,50.7,49.9,44.1,47.1,16,17,28,15,23,38,78,146,221,109,160,272,532,246,777,9,31,37,22,41,61,559,316,877,1438,1461,2897,205,267,471,953,960,1911,654,713,1362
SSC10061,3740,4154,7891,1977,1694,3676,491,956,1451,101,133,238,113,123,240,2687,2908,5596,744,925,1675,4.2,4.2,4.3,71.8,70,70.9,68.7,67,68,518,637,1155,96,197,293,1098,1368,2465,309,343,652,357,195,556,15,33,46,43,69,115,425,302,726,3156,3487,6639,873,916,1797,1926,2106,4034,1950,2154,4101
SSC10062,589,565,1153,306,172,475,94,167,264,16,20,38,8,8,14,425,363,792,146,172,319,1.9,2.2,1.8,72.2,64.2,68.7,70.6,63.5,67.4,20,20,43,4,12,15,71,92,158,40,82,122,182,53,240,0,7,9,19,22,39,200,82,287,603,557,1154,66,65,128,469,439,912,202,177,374
SSC10063,978,977,1953,602,335,936,85,264,351,23,40,63,18,27,48,734,663,1399,187,269,458,2.5,4.1,3.4,75.1,67.9,71.6,72.6,65.4,69.1,6,27,31,10,17,28,62,114,183,68,111,184,388,161,543,8,26,33,12,29,37,405,211,615,979,927,1909,245,249,492,571,559,1132,548,566,1111
SSC10064,16,17,31,6,0,6,0,3,7,0,0,0,0,0,0,10,3,18,3,6,10,0,0,0,62.5,17.6,58.1,37.5,17.6,41.9,0,0,0,0,0,0,4,0,4,0,0,0,3,0,5,0,0,0,0,3,3,3,0,10,14,14,30,0,0,0,10,9,16,3,3,10
SSC10065,16,15,28,6,5,15,3,7,9,0,0,3,0,0,0,12,11,23,3,3,3,0,0,0,75,73.3,82.1,56.3,80,96.4,0,0,0,0,0,0,0,4,4,0,0,0,7,0,9,0,0,0,0,0,0,7,0,8,14,17,29,0,0,0,7,6,16,12,5,16
SSC10066,8,5,11,6,0,4,0,3,3,0,0,0,0,0,0,6,4,7,0,3,3,0,0,0,75,80,63.6,75,60,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,3,6,6,0,0,0
SSC10067,48,44,91,23,9,29,3,11,11,0,3,5,0,0,0,30,25,48,20,19,32,0,0,0,62.5,56.8,52.7,54.2,52.3,49.5,0,0,0,0,0,0,0,6,9,10,3,11,3,0,9,0,0,5,3,4,3,7,5,16,50,44,98,5,3,8,33,32,68,16,14,33
SSC10068,9,4,14,4,3,4,3,0,3,0,0,0,0,0,0,5,4,14,0,0,0,0,0,0,55.6,100,100,77.8,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,7,4,11,0,0,0,7,3,10,0,0,3
SSC10069,197,187,381,53,32,86,14,50,65,9,9,13,10,3,14,86,92,181,103,85,181,11.6,3.3,7.7,43.7,49.2,47.5,38.6,48.7,43,8,6,9,0,3,3,21,30,45,27,29,61,74,19,89,0,7,7,0,15,17,70,38,109,166,153,321,34,32,63,140,126,265,62,58,119
SSC10070,81,71,155,23,11,33,3,13,19,5,3,9,5,0,3,41,31,65,30,34,60,12.2,0,4.6,50.6,43.7,41.9,38.3,38,39.4,0,3,3,3,0,6,4,10,17,6,9,14,23,6,25,0,0,0,0,0,0,24,9,27,65,58,121,6,6,14,52,42,95,21,26,45
SSC10071,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,0,0,0,0,0,3,0,0,0
SSC10072,546,560,1107,276,153,434,90,180,267,9,13,22,14,12,25,388,362,753,140,181,319,3.6,3.3,3.3,71.1,64.6,68,68.7,61.8,65.3,26,37,62,7,20,29,81,104,185,51,77,129,144,47,189,3,18,14,5,25,33,154,90,239,604,589,1188,56,50,109,450,443,892,193,196,386
SSC10073,566,547,1118,241,120,363,65,162,220,9,19,31,35,18,48,353,309,663,189,210,403,9.9,5.8,7.2,62.4,56.5,59.3,55.7,55,54.9,8,16,26,3,6,11,39,56,89,45,65,109,222,88,305,5,12,18,13,22,32,232,121,352,544,534,1074,103,99,201,403,379,784,217,225,438
SSC10074,23,21,42,11,3,13,3,0,4,0,0,0,0,0,7,17,12,25,5,12,13,0,0,28,73.9,57.1,59.5,60.9,14.3,40.5,0,0,0,0,0,0,0,0,3,0,3,3,3,4,10,0,0,0,0,0,0,3,7,13,20,25,47,3,0,3,10,9,24,12,15,28
SSC10075,92,83,171,22,23,45,10,21,36,3,3,6,4,0,4,50,49,92,44,35,77,8,0,4.3,54.3,59,53.8,38,56.6,50.9,3,6,11,0,3,3,8,11,24,11,12,28,20,5,26,0,3,4,3,3,6,22,15,38,94,90,185,8,11,18,76,60,141,25,31,55
SSC10076,231,222,457,64,26,94,24,35,60,8,3,9,12,3,15,100,75,174,97,109,206,12,4,8.6,43.3,33.8,38.1,41.6,28.8,35.7,0,0,0,0,0,0,11,16,26,9,13,24,48,22,67,0,9,11,3,9,13,53,38,87,191,183,372,19,22,46,150,136,288,60,64,116
SSC10077,11,9,20,8,3,6,0,8,10,0,0,0,0,0,0,9,9,19,4,3,7,0,0,0,81.8,100,95,72.7,122.2,80,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,3,3,6,10,11,19,29,0,0,0,6,7,18,0,6,12
SSC10078,548,565,1111,194,92,288,54,123,177,20,15,26,42,27,68,306,253,561,217,270,489,13.7,10.7,12.1,55.8,44.8,50.5,48.9,40.7,44.2,5,3,5,0,3,3,13,41,52,20,41,60,170,61,231,3,15,14,8,11,16,181,90,269,534,507,1039,83,93,179,397,384,777,192,210,406
SSC10079,110,80,189,29,8,43,16,17,34,0,3,6,0,4,3,49,37,87,47,39,89,0,10.8,3.4,44.5,46.3,46,40.9,35,43.9,0,0,0,0,0,0,9,3,13,6,7,12,36,16,57,5,3,9,0,4,3,44,22,66,109,76,184,8,7,18,82,50,133,34,31,60
SSC10080,3,4,9,3,0,8,0,3,3,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,100,100,100,100,75,122.2,0,0,0,0,0,0,0,0,3,0,0,3,0,4,4,0,0,0,0,0,0,0,4,4,10,10,15,0,0,0,4,0,5,8,8,12
SSC10081,196,191,384,85,28,117,17,47,60,7,5,17,3,0,4,112,88,192,71,88,157,2.7,0,2.1,57.1,46.1,50,55.6,41.9,50.5,0,0,0,0,3,4,13,23,37,4,20,28,47,17,62,7,3,10,3,8,12,56,28,87,205,196,408,17,26,44,163,154,315,49,57,111
